RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
HRG|ENSG00000113905.5|chr3	0	0	0	0	0	0
KNG1|ENSG00000113889.14|chr3	0	0	0	0	0	0
EIF4A2|ENSG00000156976.17|chr3	574	459	590	978	1205	951
RFC4|ENSG00000163918.12|chr3	138	112	94	122	143	118
ADIPOQ|ENSG00000181092.10|chr3	0	0	0	0	0	0
ST6GAL1|ENSG00000073849.16|chr3	28	10	43	32	21	8
RPL39L|ENSG00000163923.10|chr3	67	62	49	46	44	23
RTP1|ENSG00000175077.6|chr3	0	0	0	8	0	0
MASP1|ENSG00000127241.18|chr3	0	0	0	0	0	0
RTP4|ENSG00000136514.3|chr3	0	0	0	0	0	0
SST|ENSG00000157005.4|chr3	0	0	0	0	0	0
RTP2|ENSG00000198471.1|chr3	0	0	0	0	0	0
BCL6|ENSG00000113916.18|chr3	45	29	27	43	54	41
ENSG00000285938|ENSG00000285938.1|chr3	0	0	0	0	0	0
LPP|ENSG00000145012.14|chr3	217	255	196	215	150	158
TPRG1|ENSG00000188001.10|chr3	0	0	0	1	0	0
TP63|ENSG00000073282.14|chr3	0	0	0	0	0	0
P3H2|ENSG00000090530.10|chr3	5	15	2	10	7	10
CLDN1|ENSG00000163347.6|chr3	26	24	14	33	10	12
CLDN16|ENSG00000113946.4|chr3	0	1	0	0	0	0
TMEM207|ENSG00000198398.3|chr3	0	0	0	0	0	0
IL1RAP|ENSG00000196083.10|chr3	23	9	7	8	7	17
GMNC|ENSG00000205835.9|chr3	0	0	7	0	0	0
UTS2B|ENSG00000188958.10|chr3	0	0	0	0	4	1
CCDC50|ENSG00000152492.15|chr3	314	230	279	349	435	376
FGF12|ENSG00000114279.15|chr3	29	10	17	6	21	1
MB21D2|ENSG00000180611.7|chr3	254	223	176	219	309	268
PLAAT1|ENSG00000127252.7|chr3	27	22	23	8	3	29
ATP13A5|ENSG00000187527.12|chr3	0	0	0	0	0	0
ATP13A4|ENSG00000127249.15|chr3	0	0	0	0	0	0
HES1|ENSG00000114315.4|chr3	1117	945	924	1552	1483	1464
CPN2|ENSG00000178772.7|chr3	0	0	0	0	0	0
LRRC15|ENSG00000172061.9|chr3	0	0	1	0	0	0
GP5|ENSG00000178732.6|chr3	0	0	0	0	0	0
ATP13A3|ENSG00000133657.17|chr3	311	252	389	288	370	350
TMEM44|ENSG00000145014.18|chr3	3	0	0	1	0	0
LSG1|ENSG00000041802.11|chr3	219	209	269	294	291	215
FAM43A|ENSG00000185112.6|chr3	80	64	83	84	84	82
XXYLT1|ENSG00000173950.16|chr3	217	192	192	251	223	161
ACAP2|ENSG00000114331.16|chr3	123	74	95	77	86	99
PPP1R2|ENSG00000184203.8|chr3	155	154	154	130	82	123
APOD|ENSG00000189058.9|chr3	0	0	0	0	0	0
MUC20|ENSG00000176945.18|chr3	0	0	0	0	0	0
MUC4|ENSG00000145113.22|chr3	0	0	0	0	0	0
TNK2|ENSG00000061938.21|chr3	120	102	76	76	78	66
TFRC|ENSG00000072274.14|chr3	246	217	327	202	296	179
SLC51A|ENSG00000163959.10|chr3	0	0	0	0	0	0
PCYT1A|ENSG00000161217.12|chr3	120	88	97	142	180	131
DYNLT2B|ENSG00000213123.11|chr3	23	35	31	21	20	3
TM4SF19|ENSG00000145107.16|chr3	0	0	0	0	0	0
UBXN7|ENSG00000163960.12|chr3	519	441	661	560	407	506
RNF168|ENSG00000163961.4|chr3	217	195	156	276	316	267
SMCO1|ENSG00000214097.5|chr3	0	0	0	0	0	0
WDR53|ENSG00000185798.8|chr3	59	25	33	48	80	58
FBXO45|ENSG00000174013.8|chr3	894	754	789	918	853	794
NRROS|ENSG00000174004.6|chr3	0	0	2	0	0	0
PIGX|ENSG00000163964.18|chr3	142	106	123	121	149	136
CEP19|ENSG00000174007.9|chr3	54	62	35	33	31	35
PAK2|ENSG00000180370.10|chr3	199	120	227	134	94	137
SENP5|ENSG00000119231.11|chr3	181	230	241	253	226	241
NCBP2|ENSG00000114503.11|chr3	247	150	126	165	117	195
NCBP2AS2|ENSG00000270170.2|chr3	361	335	298	420	351	321
PIGZ|ENSG00000119227.8|chr3	0	0	0	0	0	1
MELTF|ENSG00000163975.14|chr3	6	11	8	7	10	10
DLG1|ENSG00000075711.21|chr3	92	44	86	57	68	71
BDH1|ENSG00000161267.12|chr3	0	0	0	0	0	0
RUBCN|ENSG00000145016.16|chr3	158	114	121	122	64	108
FYTTD1|ENSG00000122068.13|chr3	214	189	209	218	211	203
LRCH3|ENSG00000186001.14|chr3	101	64	88	82	46	105
IQCG|ENSG00000114473.14|chr3	0	1	2	5	1	2
RPL35A|ENSG00000182899.17|chr3	3626	2656	2775	2963	3040	2641
LMLN|ENSG00000185621.11|chr3	38	23	50	13	49	48
ZNF595|ENSG00000272602.6|chr4	95	31	30	76	29	82
ZNF718|ENSG00000250312.8|chr4	15	16	14	14	0	17
ZNF732|ENSG00000186777.12|chr4	0	0	0	0	0	0
ZNF141|ENSG00000131127.14|chr4	0	0	0	0	0	0
ZNF721|ENSG00000182903.16|chr4	125	178	138	197	165	130
PIGG|ENSG00000174227.16|chr4	50	38	47	60	75	69
TMEM271|ENSG00000273238.3|chr4	45	41	16	31	17	6
PDE6B|ENSG00000133256.13|chr4	0	0	0	0	0	0
ATP5ME|ENSG00000169020.10|chr4	501	431	397	343	359	348
MYL5|ENSG00000215375.7|chr4	0	4	4	0	5	1
SLC49A3|ENSG00000169026.13|chr4	0	0	0	0	0	0
PCGF3|ENSG00000185619.19|chr4	200	176	137	119	77	162
CPLX1|ENSG00000168993.15|chr4	2	7	11	23	3	2
GAK|ENSG00000178950.18|chr4	85	48	65	61	134	80
TMEM175|ENSG00000127419.17|chr4	11	4	2	20	10	6
DGKQ|ENSG00000145214.14|chr4	15	30	13	37	28	19
SLC26A1|ENSG00000145217.14|chr4	0	0	0	0	0	0
IDUA|ENSG00000127415.13|chr4	0	0	0	0	7	5
FGFRL1|ENSG00000127418.15|chr4	106	106	101	79	92	69
RNF212|ENSG00000178222.14|chr4	0	0	0	0	0	0
SPON2|ENSG00000159674.12|chr4	13	5	0	6	16	6
CTBP1|ENSG00000159692.17|chr4	463	347	228	381	375	359
MAEA|ENSG00000090316.16|chr4	306	273	237	253	274	287
UVSSA|ENSG00000163945.19|chr4	61	34	88	31	40	43
FAM53A|ENSG00000174137.14|chr4	0	0	0	0	0	0
SLBP|ENSG00000163950.13|chr4	811	541	584	715	607	657
TACC3|ENSG00000013810.21|chr4	756	564	657	579	543	479
TMEM129|ENSG00000168936.11|chr4	200	135	135	154	268	121
FGFR3|ENSG00000068078.20|chr4	126	111	126	144	112	105
LETM1|ENSG00000168924.15|chr4	177	216	144	137	169	165
NSD2|ENSG00000109685.19|chr4	193	161	116	201	120	130
NELFA|ENSG00000185049.16|chr4	305	301	232	357	275	336
C4orf48|ENSG00000243449.8|chr4	37	23	31	36	37	18
NAT8L|ENSG00000185818.8|chr4	181	130	178	93	71	122
POLN|ENSG00000130997.16|chr4	0	0	0	5	0	0
HAUS3|ENSG00000214367.9|chr4	131	87	108	186	133	146
MXD4|ENSG00000123933.17|chr4	129	157	96	131	136	99
ZFYVE28|ENSG00000159733.14|chr4	13	1	12	19	11	20
CFAP99|ENSG00000206113.11|chr4	0	0	0	0	0	0
RNF4|ENSG00000063978.16|chr4	237	156	227	160	231	136
FAM193A|ENSG00000125386.16|chr4	144	74	139	139	123	128
TNIP2|ENSG00000168884.15|chr4	181	162	206	154	192	137
SH3BP2|ENSG00000087266.17|chr4	82	47	65	71	66	50
ADD1|ENSG00000087274.19|chr4	242	162	182	165	96	160
MFSD10|ENSG00000109736.15|chr4	77	48	49	111	53	69
NOP14|ENSG00000087269.16|chr4	321	258	298	372	328	345
GRK4|ENSG00000125388.20|chr4	2	0	0	0	0	0
HTT|ENSG00000197386.14|chr4	104	99	157	122	156	46
MSANTD1|ENSG00000188981.11|chr4	0	3	0	0	0	0
RGS12|ENSG00000159788.20|chr4	0	0	0	0	0	0
HGFAC|ENSG00000109758.9|chr4	0	0	0	0	0	0
DOK7|ENSG00000175920.18|chr4	0	0	12	0	0	0
LRPAP1|ENSG00000163956.13|chr4	177	105	166	147	197	104
ADRA2C|ENSG00000184160.8|chr4	114	123	70	99	140	57
OTOP1|ENSG00000163982.6|chr4	0	0	0	0	0	0
LYAR|ENSG00000145220.14|chr4	469	395	359	395	426	365
ZBTB49|ENSG00000168826.16|chr4	13	26	33	50	26	41
NSG1|ENSG00000168824.15|chr4	57	37	30	40	7	25
STX18|ENSG00000168818.10|chr4	91	78	92	81	112	83
MSX1|ENSG00000163132.8|chr4	837	575	587	803	610	622
CYTL1|ENSG00000170891.11|chr4	0	0	0	0	0	0
STK32B|ENSG00000152953.13|chr4	0	0	0	0	0	0
EVC2|ENSG00000173040.13|chr4	0	0	0	0	0	0
EVC|ENSG00000072840.13|chr4	2	10	0	5	0	1
CRMP1|ENSG00000072832.15|chr4	46	50	57	21	32	52
C4orf50|ENSG00000181215.16|chr4	0	0	0	0	0	0
JAKMIP1|ENSG00000152969.21|chr4	0	0	0	0	0	0
WFS1|ENSG00000109501.15|chr4	63	29	31	32	30	58
PPP2R2C|ENSG00000074211.14|chr4	56	35	36	31	31	38
MAN2B2|ENSG00000013288.9|chr4	11	16	15	15	3	7
ENSG00000170846|ENSG00000170846.17|chr4	232	159	233	342	426	259
S100P|ENSG00000163993.7|chr4	0	0	0	18	0	6
BLOC1S4|ENSG00000186222.5|chr4	370	243	274	263	282	315
KIAA0232|ENSG00000170871.12|chr4	102	92	196	97	113	63
TBC1D14|ENSG00000132405.19|chr4	190	159	134	106	115	156
CCDC96|ENSG00000173013.6|chr4	11	15	11	24	2	5
TADA2B|ENSG00000173011.12|chr4	145	140	154	109	99	96
GRPEL1|ENSG00000109519.13|chr4	722	612	463	610	551	569
SORCS2|ENSG00000184985.16|chr4	0	6	4	0	0	2
PSAPL1|ENSG00000178597.7|chr4	0	0	0	0	0	0
AFAP1|ENSG00000196526.11|chr4	58	56	22	32	32	23
ABLIM2|ENSG00000163995.21|chr4	0	0	0	0	0	0
SH3TC1|ENSG00000125089.18|chr4	0	0	0	0	0	0
HTRA3|ENSG00000170801.10|chr4	3	0	4	0	0	6
ACOX3|ENSG00000087008.16|chr4	7	3	2	9	41	0
TRMT44|ENSG00000155275.19|chr4	23	7	14	29	42	28
GPR78|ENSG00000155269.12|chr4	0	0	0	0	0	0
CPZ|ENSG00000109625.19|chr4	0	0	0	0	0	0
HMX1|ENSG00000215612.8|chr4	0	0	0	0	0	0
FAM90A26|ENSG00000229924.3|chr4	0	0	0	0	0	0
DEFB131A|ENSG00000186146.2|chr4	0	0	0	0	0	0
SLC2A9|ENSG00000109667.12|chr4	0	0	0	0	0	0
DRD5|ENSG00000169676.6|chr4	0	0	0	0	0	0
WDR1|ENSG00000071127.18|chr4	578	457	565	415	425	506
ZNF518B|ENSG00000178163.8|chr4	174	168	134	191	195	132
CLNK|ENSG00000109684.16|chr4	4	1	0	0	0	0
HS3ST1|ENSG00000002587.10|chr4	0	0	0	0	0	0
RAB28|ENSG00000157869.16|chr4	73	75	103	91	113	97
NKX3-2|ENSG00000109705.8|chr4	36	18	26	44	46	48
BOD1L1|ENSG00000038219.13|chr4	41	45	25	56	26	32
CPEB2|ENSG00000137449.17|chr4	36	32	47	72	54	45
C1QTNF7|ENSG00000163145.13|chr4	0	0	0	0	0	0
CC2D2A|ENSG00000048342.18|chr4	0	7	0	6	0	3
FBXL5|ENSG00000118564.15|chr4	186	177	165	204	141	188
FAM200B|ENSG00000237765.8|chr4	46	37	14	42	43	40
BST1|ENSG00000109743.11|chr4	0	0	2	0	0	0
CD38|ENSG00000004468.13|chr4	0	0	0	0	0	0
FGFBP1|ENSG00000137440.5|chr4	12	0	8	1	17	0
TAPT1|ENSG00000169762.17|chr4	104	98	107	180	130	145
LDB2|ENSG00000169744.13|chr4	0	0	0	0	0	0
QDPR|ENSG00000151552.12|chr4	110	93	71	43	41	62
CLRN2|ENSG00000249581.2|chr4	0	0	0	0	0	0
LAP3|ENSG00000002549.13|chr4	81	53	53	55	27	61
MED28|ENSG00000118579.13|chr4	329	248	291	259	349	261
FAM184B|ENSG00000047662.5|chr4	9	9	13	12	3	5
DCAF16|ENSG00000163257.11|chr4	268	251	229	250	199	276
NCAPG|ENSG00000109805.10|chr4	188	185	188	149	110	103
LCORL|ENSG00000178177.17|chr4	19	22	31	49	24	35
SLIT2|ENSG00000145147.20|chr4	511	468	585	417	486	333
PACRGL|ENSG00000163138.19|chr4	74	35	83	102	88	81
KCNIP4|ENSG00000185774.16|chr4	0	0	0	0	0	0
ADGRA3|ENSG00000152990.14|chr4	45	19	45	19	17	13
GBA3|ENSG00000249948.7|chr4	4	0	0	0	0	0
PPARGC1A|ENSG00000109819.9|chr4	39	20	29	55	44	75
DHX15|ENSG00000109606.13|chr4	651	539	626	636	626	603
SOD3|ENSG00000109610.6|chr4	0	0	0	0	0	0
CCDC149|ENSG00000181982.20|chr4	6	8	0	14	0	5
LGI2|ENSG00000153012.12|chr4	29	12	40	18	16	19
SEPSECS|ENSG00000109618.13|chr4	19	27	15	52	40	28
PI4K2B|ENSG00000038210.14|chr4	57	69	46	108	63	94
ZCCHC4|ENSG00000168228.16|chr4	28	16	24	42	30	16
ANAPC4|ENSG00000053900.11|chr4	93	53	77	48	92	118
SLC34A2|ENSG00000157765.13|chr4	0	0	0	0	0	0
SEL1L3|ENSG00000091490.11|chr4	45	40	14	33	31	44
SMIM20|ENSG00000250317.9|chr4	128	130	84	107	106	95
RBPJ|ENSG00000168214.22|chr4	860	666	925	935	865	863
CCKAR|ENSG00000163394.6|chr4	0	0	0	0	0	0
TBC1D19|ENSG00000109680.11|chr4	10	2	4	8	4	12
STIM2|ENSG00000109689.20|chr4	275	177	165	242	169	163
PCDH7|ENSG00000169851.16|chr4	263	170	241	175	219	230
ARAP2|ENSG00000047365.13|chr4	39	25	47	35	22	41
DTHD1|ENSG00000197057.10|chr4	0	0	0	0	0	0
NWD2|ENSG00000174145.8|chr4	0	0	0	0	0	0
C4orf19|ENSG00000154274.15|chr4	5	6	6	0	3	8
PGM2|ENSG00000169299.14|chr4	86	83	22	95	63	58
TBC1D1|ENSG00000065882.18|chr4	36	42	48	51	41	36
PTTG2|ENSG00000250254.2|chr4	3	5	8	10	2	2
KLF3|ENSG00000109787.13|chr4	69	82	82	135	149	153
TLR10|ENSG00000174123.11|chr4	0	0	0	0	0	0
TLR1|ENSG00000174125.8|chr4	0	0	0	0	0	0
TLR6|ENSG00000174130.13|chr4	16	16	18	3	4	0
FAM114A1|ENSG00000197712.12|chr4	8	4	8	6	0	2
KLHL5|ENSG00000109790.18|chr4	93	51	107	92	70	63
RFC1|ENSG00000035928.17|chr4	163	132	112	172	194	180
KLB|ENSG00000134962.7|chr4	0	0	0	4	2	0
LIAS|ENSG00000121897.15|chr4	59	38	40	85	56	49
UGDH|ENSG00000109814.12|chr4	65	65	113	106	160	159
SMIM14|ENSG00000163683.12|chr4	10	20	14	30	8	9
UBE2K|ENSG00000078140.14|chr4	658	605	622	652	660	615
PDS5A|ENSG00000121892.15|chr4	279	164	201	198	219	286
N4BP2|ENSG00000078177.14|chr4	87	94	127	174	106	133
RHOH|ENSG00000168421.14|chr4	3	0	0	15	5	5
CHRNA9|ENSG00000174343.6|chr4	0	0	0	0	0	0
RBM47|ENSG00000163694.15|chr4	113	66	57	111	129	98
NSUN7|ENSG00000179299.17|chr4	0	0	0	0	0	0
APBB2|ENSG00000163697.17|chr4	92	92	43	91	89	61
UCHL1|ENSG00000154277.13|chr4	1805	1355	1315	1550	1689	1513
LIMCH1|ENSG00000064042.18|chr4	41	35	20	28	18	29
PHOX2B|ENSG00000109132.7|chr4	0	0	0	0	0	0
TMEM33|ENSG00000109133.13|chr4	442	322	342	436	415	305
DCAF4L1|ENSG00000182308.7|chr4	34	16	50	34	23	39
SLC30A9|ENSG00000014824.14|chr4	53	61	58	81	62	73
BEND4|ENSG00000188848.17|chr4	92	102	78	85	93	93
SHISA3|ENSG00000178343.5|chr4	13	14	27	9	4	16
ATP8A1|ENSG00000124406.17|chr4	50	52	93	73	72	75
GRXCR1|ENSG00000215203.3|chr4	0	0	0	0	0	0
KCTD8|ENSG00000183783.7|chr4	0	0	0	0	0	0
YIPF7|ENSG00000177752.15|chr4	0	0	0	0	0	0
GUF1|ENSG00000151806.14|chr4	131	93	41	86	67	105
GNPDA2|ENSG00000163281.12|chr4	40	28	15	59	37	35
GABRG1|ENSG00000163285.8|chr4	0	0	0	0	0	0
GABRA2|ENSG00000151834.16|chr4	0	0	0	0	0	0
COX7B2|ENSG00000170516.17|chr4	0	0	0	0	0	0
GABRA4|ENSG00000109158.11|chr4	0	0	0	0	0	0
GABRB1|ENSG00000163288.14|chr4	0	0	0	0	0	0
COMMD8|ENSG00000169019.11|chr4	121	121	123	132	108	92
ATP10D|ENSG00000145246.14|chr4	14	23	4	16	24	13
CORIN|ENSG00000145244.12|chr4	0	0	0	0	0	0
NFXL1|ENSG00000170448.12|chr4	60	77	81	141	176	146
NIPAL1|ENSG00000163293.12|chr4	117	113	157	97	118	95
CNGA1|ENSG00000198515.16|chr4	0	3	0	0	3	0
TXK|ENSG00000074966.11|chr4	0	0	0	2	4	0
TEC|ENSG00000135605.13|chr4	4	3	4	16	10	0
SLAIN2|ENSG00000109171.15|chr4	163	74	121	141	114	122
SLC10A4|ENSG00000145248.7|chr4	48	20	23	25	15	30
ZAR1|ENSG00000182223.7|chr4	0	7	4	0	0	0
FRYL|ENSG00000075539.15|chr4	110	80	109	74	103	148
OCIAD1|ENSG00000109180.15|chr4	266	262	417	353	340	336
OCIAD2|ENSG00000145247.12|chr4	133	88	55	78	109	85
CWH43|ENSG00000109182.12|chr4	0	0	0	0	0	0
DCUN1D4|ENSG00000109184.15|chr4	116	150	107	220	195	225
LRRC66|ENSG00000188993.4|chr4	4	1	0	0	0	0
SGCB|ENSG00000163069.13|chr4	109	116	81	169	72	91
SPATA18|ENSG00000163071.11|chr4	15	6	14	24	27	23
USP46|ENSG00000109189.13|chr4	119	117	98	90	48	68
ERVMER34-1|ENSG00000226887.8|chr4	25	21	23	18	49	16
RASL11B|ENSG00000128045.7|chr4	43	53	53	42	30	52
SCFD2|ENSG00000184178.17|chr4	81	95	92	103	62	58
FIP1L1|ENSG00000145216.16|chr4	193	193	246	233	203	196
LNX1|ENSG00000072201.14|chr4	7	6	10	5	2	12
CHIC2|ENSG00000109220.11|chr4	96	68	82	104	64	99
GSX2|ENSG00000180613.11|chr4	0	0	0	0	0	0
PDGFRA|ENSG00000134853.12|chr4	0	6	17	2	0	0
KIT|ENSG00000157404.17|chr4	139	98	114	134	118	111
KDR|ENSG00000128052.10|chr4	0	0	0	0	0	0
SRD5A3|ENSG00000128039.13|chr4	86	45	51	87	91	93
ENSG00000288695|ENSG00000288695.1|chr4	0	0	0	0	0	0
TMEM165|ENSG00000134851.13|chr4	125	124	124	114	102	81
CLOCK|ENSG00000134852.15|chr4	265	191	257	215	237	184
PDCL2|ENSG00000163440.12|chr4	0	0	0	0	0	0
EXOC1L|ENSG00000250821.3|chr4	0	1	0	2	0	0
EXOC1|ENSG00000090989.18|chr4	57	50	62	79	81	51
CRACD|ENSG00000109265.15|chr4	35	31	20	25	3	15
AASDH|ENSG00000157426.14|chr4	71	42	51	32	62	43
PPAT|ENSG00000128059.8|chr4	203	189	165	315	268	193
PAICS|ENSG00000128050.9|chr4	897	644	744	823	800	856
SRP72|ENSG00000174780.17|chr4	230	260	219	243	268	242
ARL9|ENSG00000196503.5|chr4	1	0	0	3	0	0
THEGL|ENSG00000249693.3|chr4	0	0	0	0	0	0
HOPX|ENSG00000171476.22|chr4	19	6	17	3	15	13
SPINK2|ENSG00000128040.12|chr4	0	1	0	2	10	0
REST|ENSG00000084093.19|chr4	345	208	298	261	284	301
NOA1|ENSG00000084092.7|chr4	187	158	194	162	164	149
POLR2B|ENSG00000047315.17|chr4	496	283	492	336	412	365
IGFBP7|ENSG00000163453.11|chr4	11	4	14	0	14	10
ADGRL3|ENSG00000150471.17|chr4	53	25	32	22	26	18
TECRL|ENSG00000205678.8|chr4	0	0	0	0	0	0
EPHA5|ENSG00000145242.14|chr4	0	0	0	0	0	0
CENPC|ENSG00000145241.11|chr4	73	47	57	54	85	100
STAP1|ENSG00000035720.8|chr4	0	0	0	0	0	0
UBA6|ENSG00000033178.13|chr4	146	195	162	209	240	220
GNRHR|ENSG00000109163.7|chr4	0	0	0	0	0	0
TMPRSS11D|ENSG00000153802.12|chr4	0	0	0	0	0	0
TMPRSS11A|ENSG00000187054.16|chr4	0	0	0	0	0	0
TMPRSS11F|ENSG00000198092.6|chr4	0	0	0	0	0	0
TMPRSS11B|ENSG00000185873.8|chr4	0	0	0	0	0	0
YTHDC1|ENSG00000083896.13|chr4	1	0	0	2	0	0
TMPRSS11E|ENSG00000087128.10|chr4	0	0	0	0	0	0
UGT2B17|ENSG00000197888.3|chr4	0	0	0	0	0	0
UGT2B15|ENSG00000196620.10|chr4	0	0	0	0	0	0
UGT2B10|ENSG00000109181.12|chr4	0	0	0	0	0	0
UGT2A3|ENSG00000135220.11|chr4	0	0	0	0	0	0
UGT2B7|ENSG00000171234.14|chr4	0	0	0	0	0	0
UGT2B11|ENSG00000213759.10|chr4	0	0	0	0	0	0
UGT2B28|ENSG00000135226.18|chr4	0	0	0	0	0	0
UGT2B4|ENSG00000156096.14|chr4	0	0	0	0	0	0
UGT2A2|ENSG00000271271.6|chr4	0	0	0	0	0	0
UGT2A1|ENSG00000173610.13|chr4	0	0	0	0	0	0
SULT1B1|ENSG00000173597.9|chr4	0	0	0	0	0	0
SULT1E1|ENSG00000109193.12|chr4	0	0	0	0	0	0
CSN1S1|ENSG00000126545.14|chr4	0	0	0	0	0	0
SMR3A|ENSG00000109208.5|chr4	0	0	0	0	0	0
SMR3B|ENSG00000171201.12|chr4	0	0	0	0	0	0
OPRPN|ENSG00000171199.11|chr4	0	0	0	0	0	0
MUC7|ENSG00000171195.11|chr4	0	0	0	0	0	0
AMTN|ENSG00000187689.10|chr4	0	0	0	0	0	0
AMBN|ENSG00000178522.15|chr4	3	0	6	8	10	0
ENAM|ENSG00000132464.13|chr4	0	0	0	0	0	0
JCHAIN|ENSG00000132465.12|chr4	0	0	0	0	0	0
UTP3|ENSG00000132467.4|chr4	459	254	439	379	443	405
RUFY3|ENSG00000018189.13|chr4	96	58	83	103	114	88
MOB1B|ENSG00000173542.9|chr4	56	55	41	41	49	43
DCK|ENSG00000156136.10|chr4	121	47	72	76	126	89
NPFFR2|ENSG00000056291.19|chr4	0	0	0	0	0	0
ADAMTS3|ENSG00000156140.10|chr4	46	23	23	26	30	31
COX18|ENSG00000163626.17|chr4	97	65	88	123	86	98
ANKRD17|ENSG00000132466.20|chr4	267	217	234	194	246	202
RASSF6|ENSG00000169435.14|chr4	3	0	1	2	5	9
CXCL8|ENSG00000169429.12|chr4	3	7	5	11	11	5
CXCL6|ENSG00000124875.10|chr4	0	1	2	0	4	2
PF4V1|ENSG00000109272.4|chr4	0	0	1	0	0	0
CXCL1|ENSG00000163739.5|chr4	5	0	0	0	6	0
PF4|ENSG00000163737.5|chr4	1	0	1	0	0	0
ENSG00000288796|ENSG00000288796.1|chr4	1	0	1	0	0	0
PPBP|ENSG00000163736.4|chr4	0	0	0	0	0	0
CXCL5|ENSG00000163735.7|chr4	0	0	0	0	0	0
CXCL3|ENSG00000163734.4|chr4	8	21	4	5	38	19
CXCL2|ENSG00000081041.9|chr4	0	6	0	2	2	20
MTHFD2L|ENSG00000163738.19|chr4	0	2	17	4	13	6
EPGN|ENSG00000182585.10|chr4	0	0	0	0	0	0
EREG|ENSG00000124882.4|chr4	0	0	0	0	0	0
PARM1|ENSG00000169116.11|chr4	53	21	65	40	62	43
RCHY1|ENSG00000163743.14|chr4	135	93	92	206	158	160
THAP6|ENSG00000174796.12|chr4	143	130	159	117	131	108
ODAPH|ENSG00000174792.11|chr4	0	0	0	0	0	0
G3BP2|ENSG00000138757.15|chr4	189	139	187	234	216	274
USO1|ENSG00000138768.15|chr4	63	13	51	43	57	84
PPEF2|ENSG00000156194.18|chr4	0	0	0	0	0	0
SDAD1|ENSG00000198301.12|chr4	89	41	62	80	67	112
CXCL9|ENSG00000138755.6|chr4	0	0	0	0	0	0
ART3|ENSG00000156219.18|chr4	0	0	0	0	0	0
CXCL10|ENSG00000169245.6|chr4	0	0	0	0	0	0
CXCL11|ENSG00000169248.13|chr4	0	0	0	0	0	0
NUP54|ENSG00000138750.16|chr4	290	263	231	352	503	318
SCARB2|ENSG00000138760.11|chr4	193	221	236	161	232	169
FAM47E|ENSG00000189157.14|chr4	0	0	0	0	0	0
FAM47E-STBD1|ENSG00000272414.6|chr4	61	43	31	51	64	70
STBD1|ENSG00000118804.9|chr4	57	43	31	46	64	68
CCDC158|ENSG00000163749.18|chr4	0	0	0	0	0	0
SHROOM3|ENSG00000138771.16|chr4	141	140	137	121	117	79
SOWAHB|ENSG00000186212.4|chr4	8	8	13	8	6	11
SEPTIN11|ENSG00000138758.12|chr4	252	164	272	250	196	228
CCNI|ENSG00000118816.11|chr4	1317	882	1005	876	987	870
CCNG2|ENSG00000138764.15|chr4	83	106	89	84	116	106
CXCL13|ENSG00000156234.8|chr4	0	0	0	0	0	0
CNOT6L|ENSG00000138767.14|chr4	331	323	344	286	283	282
MRPL1|ENSG00000169288.18|chr4	115	104	109	147	150	189
FRAS1|ENSG00000138759.20|chr4	24	12	15	26	40	10
ANXA3|ENSG00000138772.13|chr4	15	26	18	42	7	28
BMP2K|ENSG00000138756.19|chr4	97	83	98	90	112	67
PAQR3|ENSG00000163291.14|chr4	156	126	165	164	160	156
GK2|ENSG00000196475.6|chr4	0	0	0	0	0	0
ANTXR2|ENSG00000163297.18|chr4	44	21	9	33	29	17
PRDM8|ENSG00000152784.16|chr4	41	26	49	88	58	34
FGF5|ENSG00000138675.17|chr4	22	14	9	0	0	10
CFAP299|ENSG00000197826.12|chr4	0	0	0	0	0	0
BMP3|ENSG00000152785.8|chr4	7	4	9	2	2	9
PRKG2|ENSG00000138669.10|chr4	0	0	0	5	0	1
RASGEF1B|ENSG00000138670.19|chr4	45	84	49	87	97	74
ENOPH1|ENSG00000145293.17|chr4	122	125	124	178	225	189
TMEM150C|ENSG00000249242.8|chr4	26	14	28	2	12	0
SCD5|ENSG00000145284.12|chr4	69	106	61	53	35	60
SEC31A|ENSG00000138674.17|chr4	281	215	232	307	272	274
THAP9|ENSG00000168152.13|chr4	20	29	22	28	35	18
LIN54|ENSG00000189308.11|chr4	143	72	74	127	140	92
COPS4|ENSG00000138663.9|chr4	135	131	89	153	122	191
COQ2|ENSG00000173085.15|chr4	103	66	55	78	79	110
HPSE|ENSG00000173083.16|chr4	5	9	1	4	20	7
HELQ|ENSG00000163312.11|chr4	45	28	13	28	43	40
MRPS18C|ENSG00000163319.11|chr4	62	70	89	55	91	75
ABRAXAS1|ENSG00000163322.14|chr4	30	15	6	26	23	23
GPAT3|ENSG00000138678.11|chr4	116	119	58	133	63	65
NKX6-1|ENSG00000163623.10|chr4	30	36	30	53	68	45
CDS1|ENSG00000163624.6|chr4	327	227	329	361	302	288
WDFY3|ENSG00000163625.16|chr4	72	79	72	52	30	47
ARHGAP24|ENSG00000138639.18|chr4	12	15	3	2	18	0
MAPK10|ENSG00000109339.24|chr4	0	0	0	0	0	2
PTPN13|ENSG00000163629.13|chr4	38	37	52	65	57	46
SLC10A6|ENSG00000145283.8|chr4	0	0	0	0	0	0
ENSG00000285458|ENSG00000285458.1|chr4	3	2	4	0	0	13
