Gene	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
PRDM6|ENSG00000061455.11|chr5	9	25	28	18	28	41
CEP120|ENSG00000168944.17|chr5	18	32	37	72	23	60
CSNK1G3|ENSG00000151292.19|chr5	166	189	140	230	182	109
ZNF608|ENSG00000168916.16|chr5	0	0	4	12	1	12
GRAMD2B|ENSG00000155324.10|chr5	0	0	1	0	0	0
ALDH7A1|ENSG00000164904.18|chr5	999	1320	1007	1314	1201	1000
PHAX|ENSG00000164902.14|chr5	473	720	417	995	712	665
TEX43|ENSG00000196900.5|chr5	0	0	0	0	0	0
LMNB1|ENSG00000113368.12|chr5	683	958	743	876	948	520
MARCHF3|ENSG00000173926.6|chr5	65	67	25	101	121	114
C5orf63|ENSG00000164241.14|chr5	13	21	1	0	55	0
MEGF10|ENSG00000145794.17|chr5	0	0	0	0	0	0
PRRC1|ENSG00000164244.21|chr5	269	348	263	439	304	347
CTXN3|ENSG00000205279.9|chr5	0	0	0	0	0	0
CCDC192|ENSG00000230561.6|chr5	0	0	0	0	0	0
SLC12A2|ENSG00000064651.14|chr5	514	832	588	620	750	649
FBN2|ENSG00000138829.12|chr5	144	141	123	102	53	126
SLC27A6|ENSG00000113396.13|chr5	8	27	18	17	0	35
ISOC1|ENSG00000066583.12|chr5	769	971	860	879	599	457
ADAMTS19|ENSG00000145808.10|chr5	24	48	13	3	27	0
MINAR2|ENSG00000186367.7|chr5	0	0	0	0	0	0
CHSY3|ENSG00000198108.4|chr5	0	0	0	0	0	0
HINT1|ENSG00000169567.13|chr5	17435	21954	16299	17388	16405	11537
LYRM7|ENSG00000186687.16|chr5	1063	1339	1012	1037	903	535
CDC42SE2|ENSG00000158985.14|chr5	42	23	38	100	40	40
RAPGEF6|ENSG00000158987.22|chr5	1	27	20	18	22	55
ENSG00000273217|ENSG00000273217.1|chr5	1	13	11	17	18	32
FNIP1|ENSG00000217128.13|chr5	0	10	37	23	11	33
MEIKIN|ENSG00000239642.6|chr5	0	0	0	0	0	0
ACSL6|ENSG00000164398.15|chr5	33	18	24	30	14	0
IL3|ENSG00000164399.5|chr5	0	0	0	0	0	0
CSF2|ENSG00000164400.6|chr5	0	0	0	0	0	0
P4HA2|ENSG00000072682.20|chr5	134	186	97	234	162	173
PDLIM4|ENSG00000131435.13|chr5	0	0	0	0	0	0
SLC22A4|ENSG00000197208.6|chr5	0	0	0	0	0	0
SLC22A5|ENSG00000197375.14|chr5	135	102	126	33	72	130
ENSG00000283782|ENSG00000283782.2|chr5	212	334	222	317	346	365
IRF1|ENSG00000125347.15|chr5	19	27	10	44	41	51
IL5|ENSG00000113525.10|chr5	0	0	0	0	0	0
RAD50|ENSG00000113522.14|chr5	223	358	230	365	420	397
IL13|ENSG00000169194.10|chr5	0	0	0	0	0	0
IL4|ENSG00000113520.11|chr5	0	0	0	0	0	0
KIF3A|ENSG00000131437.16|chr5	65	125	102	185	83	150
CCNI2|ENSG00000205089.8|chr5	0	1	0	0	0	0
SEPTIN8|ENSG00000164402.14|chr5	4	0	1	4	0	0
SOWAHA|ENSG00000198944.6|chr5	15	19	29	15	9	0
SHROOM1|ENSG00000164403.15|chr5	27	29	50	48	105	29
GDF9|ENSG00000164404.9|chr5	0	0	0	0	0	0
UQCRQ|ENSG00000164405.11|chr5	15864	17129	12868	13603	11603	8530
LEAP2|ENSG00000164406.8|chr5	2	1	10	0	0	0
AFF4|ENSG00000072364.13|chr5	102	49	64	174	154	145
ZCCHC10|ENSG00000155329.12|chr5	135	113	90	151	228	201
HSPA4|ENSG00000170606.16|chr5	1492	1905	1584	1411	1505	1133
FSTL4|ENSG00000053108.17|chr5	9	30	33	11	36	0
C5orf15|ENSG00000113583.8|chr5	1252	1484	1143	1166	958	855
VDAC1|ENSG00000213585.11|chr5	2704	3475	2901	2576	1900	1661
TCF7|ENSG00000081059.20|chr5	343	318	307	219	205	176
SKP1|ENSG00000113558.19|chr5	6012	7111	5451	4809	4355	3648
ENSG00000272772|ENSG00000272772.2|chr5	5678	6768	5053	4531	4106	3471
PPP2CA|ENSG00000113575.11|chr5	1538	2010	1297	2031	2187	1527
CDKL3|ENSG00000006837.12|chr5	2	20	5	18	0	0
UBE2B|ENSG00000119048.9|chr5	889	1101	856	867	1004	655
CDKN2AIPNL|ENSG00000237190.4|chr5	1530	1665	1351	1093	961	734
JADE2|ENSG00000043143.22|chr5	7	8	10	25	67	34
SAR1B|ENSG00000152700.14|chr5	379	422	432	296	288	200
SEC24A|ENSG00000113615.13|chr5	68	38	17	74	111	39
CAMLG|ENSG00000164615.6|chr5	437	788	598	1066	1012	829
DDX46|ENSG00000145833.16|chr5	1074	1403	1045	1130	1080	882
C5orf24|ENSG00000181904.9|chr5	142	101	97	183	223	191
TXNDC15|ENSG00000113621.15|chr5	331	500	341	267	362	237
PCBD2|ENSG00000132570.15|chr5	78	94	120	97	106	66
CATSPER3|ENSG00000152705.8|chr5	0	6	4	4	0	0
PITX1|ENSG00000069011.16|chr5	535	571	501	363	270	180
MACROH2A1|ENSG00000113648.17|chr5	4044	5343	4395	4131	4314	3408
DCANP1|ENSG00000251380.3|chr5	0	0	0	0	0	0
TIFAB|ENSG00000255833.2|chr5	0	0	0	0	0	0
NEUROG1|ENSG00000181965.6|chr5	0	0	0	0	0	0
CXCL14|ENSG00000145824.13|chr5	0	0	0	0	0	0
IL9|ENSG00000145839.2|chr5	0	0	15	0	0	0
LECT2|ENSG00000145826.9|chr5	0	0	0	0	0	0
TGFBI|ENSG00000120708.17|chr5	0	4	0	0	0	0
SMAD5|ENSG00000113658.18|chr5	440	528	310	680	732	454
SMIM32|ENSG00000271824.2|chr5	18	16	1	18	0	15
TRPC7|ENSG00000069018.19|chr5	0	0	0	0	0	0
SPOCK1|ENSG00000152377.14|chr5	42	41	55	25	10	29
KLHL3|ENSG00000146021.15|chr5	4	6	0	28	0	24
HNRNPA0|ENSG00000177733.7|chr5	1640	2134	1519	1656	1303	1309
MYOT|ENSG00000120729.10|chr5	0	0	0	0	0	0
FAM13B|ENSG00000031003.11|chr5	14	36	35	77	31	19
WNT8A|ENSG00000061492.12|chr5	0	0	0	0	0	0
NME5|ENSG00000112981.5|chr5	44	61	56	74	34	24
BRD8|ENSG00000112983.18|chr5	0	0	0	0	0	0
KIF20A|ENSG00000112984.12|chr5	283	576	423	439	294	294
CDC23|ENSG00000094880.11|chr5	266	302	358	432	418	254
GFRA3|ENSG00000146013.11|chr5	0	0	0	0	0	0
CDC25C|ENSG00000158402.21|chr5	223	335	359	279	330	311
FAM53C|ENSG00000120709.11|chr5	220	286	215	471	575	203
KDM3B|ENSG00000120733.14|chr5	40	56	67	52	9	12
REEP2|ENSG00000132563.17|chr5	632	599	402	342	301	359
EGR1|ENSG00000120738.8|chr5	63	23	5	16	38	43
ETF1|ENSG00000120705.13|chr5	738	1226	988	923	783	611
HSPA9|ENSG00000113013.16|chr5	2111	2452	1826	1839	1657	1703
CTNNA1|ENSG00000044115.21|chr5	952	1298	973	1176	987	581
LRRTM2|ENSG00000146006.8|chr5	0	0	4	15	0	0
SIL1|ENSG00000120725.13|chr5	125	99	146	205	263	117
MATR3|ENSG00000280987.4|chr5	1846	2143	1933	1679	1411	1550
MATR3|ENSG00000015479.20|chr5	1846	2143	1933	1679	1411	1550
PAIP2|ENSG00000120727.13|chr5	2194	2775	1972	1700	1654	1381
MZB1|ENSG00000170476.16|chr5	0	0	0	0	0	0
PROB1|ENSG00000228672.4|chr5	0	20	6	13	0	34
SPATA24|ENSG00000170469.11|chr5	7	15	0	28	0	16
DNAJC18|ENSG00000170464.10|chr5	0	1	0	0	0	0
ECSCR|ENSG00000249751.4|chr5	0	0	0	0	0	0
SMIM33|ENSG00000283288.2|chr5	0	0	0	0	0	0
STING1|ENSG00000184584.14|chr5	0	0	0	0	0	0
UBE2D2|ENSG00000131508.17|chr5	2287	2531	2041	2162	1825	1718
CXXC5|ENSG00000171604.12|chr5	202	196	56	341	209	271
PSD2|ENSG00000146005.4|chr5	0	0	0	0	0	0
NRG2|ENSG00000158458.21|chr5	30	13	28	6	25	15
PURA|ENSG00000185129.8|chr5	1278	1635	1559	1480	1505	1382
IGIP|ENSG00000182700.5|chr5	8	3	0	2	0	30
CYSTM1|ENSG00000120306.11|chr5	798	1087	942	799	874	692
PFDN1|ENSG00000113068.10|chr5	1032	1152	978	949	1099	564
ANKHD1|ENSG00000131503.21|chr5	56	58	18	70	55	88
ANKHD1-EIF4EBP3|ENSG00000254996.5|chr5	44	51	7	72	101	59
SRA1|ENSG00000213523.12|chr5	1051	1200	930	914	638	725
EIF4EBP3|ENSG00000243056.2|chr5	44	51	7	72	101	59
APBB3|ENSG00000113108.20|chr5	37	44	24	82	33	45
SLC35A4|ENSG00000176087.16|chr5	901	946	535	413	434	365
CD14|ENSG00000170458.15|chr5	0	0	0	0	0	0
NDUFA2|ENSG00000131495.9|chr5	3090	3281	2503	2214	2176	1535
TMCO6|ENSG00000113119.13|chr5	28	26	7	4	30	0
IK|ENSG00000113141.19|chr5	1186	1349	1223	1171	1043	886
WDR55|ENSG00000120314.19|chr5	104	220	87	80	168	193
DND1|ENSG00000256453.2|chr5	0	0	0	0	0	0
HARS1|ENSG00000170445.16|chr5	640	804	672	807	779	800
HARS2|ENSG00000112855.17|chr5	69	120	65	207	58	145
ZMAT2|ENSG00000146007.11|chr5	1852	2796	1919	2097	1793	1378
PCDHA1|ENSG00000204970.10|chr5	3	0	24	0	0	0
PCDHA2|ENSG00000204969.7|chr5	3	0	24	0	0	0
PCDHA3|ENSG00000255408.4|chr5	3	0	24	0	0	0
PCDHA4|ENSG00000204967.12|chr5	3	0	24	0	0	0
PCDHA5|ENSG00000204965.9|chr5	3	0	24	0	0	0
PCDHA6|ENSG00000081842.18|chr5	3	0	24	0	0	0
PCDHA7|ENSG00000204963.6|chr5	3	0	24	0	0	0
PCDHA8|ENSG00000204962.6|chr5	3	0	24	0	0	0
PCDHA9|ENSG00000204961.7|chr5	3	0	24	0	0	0
PCDHA10|ENSG00000250120.8|chr5	3	0	24	0	0	0
PCDHA11|ENSG00000249158.7|chr5	3	0	24	0	0	0
PCDHA12|ENSG00000251664.5|chr5	3	0	24	0	0	0
PCDHA13|ENSG00000239389.8|chr5	3	0	24	0	0	0
PCDHAC1|ENSG00000248383.5|chr5	3	0	24	0	0	0
PCDHAC2|ENSG00000243232.6|chr5	3	0	24	0	0	0
PCDHB1|ENSG00000171815.6|chr5	0	0	0	0	0	0
PCDHB2|ENSG00000112852.7|chr5	0	0	0	0	0	0
PCDHB3|ENSG00000113205.5|chr5	0	0	0	0	0	0
PCDHB4|ENSG00000081818.4|chr5	0	0	0	0	0	0
PCDHB5|ENSG00000113209.9|chr5	0	0	0	0	0	0
PCDHB6|ENSG00000113211.6|chr5	0	0	0	0	0	0
PCDHB7|ENSG00000113212.7|chr5	0	0	0	0	0	0
PCDHB8|ENSG00000120322.4|chr5	0	0	0	0	0	0
PCDHB16|ENSG00000272674.4|chr5	0	0	0	0	0	0
PCDHB9|ENSG00000177839.7|chr5	0	0	0	0	0	0
PCDHB10|ENSG00000120324.9|chr5	0	0	0	0	0	0
PCDHB11|ENSG00000197479.7|chr5	0	0	0	0	0	0
PCDHB12|ENSG00000120328.6|chr5	0	0	0	0	0	0
PCDHB13|ENSG00000187372.11|chr5	0	0	0	0	0	0
PCDHB14|ENSG00000120327.7|chr5	0	0	3	0	0	0
ENSG00000279983|ENSG00000279983.1|chr5	0	0	0	0	0	0
PCDHB15|ENSG00000113248.6|chr5	0	0	1	0	0	0
TAF7|ENSG00000178913.9|chr5	285	283	251	372	243	300
SLC25A2|ENSG00000120329.7|chr5	0	0	0	0	0	0
PCDHGA1|ENSG00000204956.6|chr5	190	259	224	77	119	112
PCDHGA2|ENSG00000081853.15|chr5	190	259	224	77	119	112
PCDHGA3|ENSG00000254245.3|chr5	190	259	224	77	119	112
PCDHGB1|ENSG00000254221.3|chr5	190	259	224	77	119	112
PCDHGA4|ENSG00000262576.3|chr5	190	259	224	77	119	112
PCDHGB2|ENSG00000253910.3|chr5	190	259	224	77	119	112
PCDHGA5|ENSG00000253485.3|chr5	190	259	224	77	119	112
PCDHGB3|ENSG00000262209.3|chr5	190	259	224	77	119	112
PCDHGA6|ENSG00000253731.3|chr5	190	259	224	77	119	112
PCDHGA7|ENSG00000253537.3|chr5	190	259	224	77	119	112
PCDHGB4|ENSG00000253953.3|chr5	190	259	224	77	119	112
PCDHGA8|ENSG00000253767.3|chr5	190	259	224	77	119	112
PCDHGB5|ENSG00000276547.2|chr5	190	259	224	77	119	112
PCDHGA9|ENSG00000261934.3|chr5	190	259	224	77	119	112
PCDHGB6|ENSG00000253305.3|chr5	190	259	224	77	119	112
PCDHGA10|ENSG00000253846.3|chr5	190	259	224	77	119	112
PCDHGB7|ENSG00000254122.3|chr5	190	259	224	77	119	112
PCDHGA11|ENSG00000253873.6|chr5	190	259	224	77	119	112
PCDHGA12|ENSG00000253159.3|chr5	190	259	224	77	119	112
PCDHGC3|ENSG00000240184.7|chr5	190	259	224	77	119	112
PCDHGC4|ENSG00000242419.6|chr5	190	259	224	77	119	112
PCDHGC5|ENSG00000240764.4|chr5	190	259	224	77	119	112
DIAPH1|ENSG00000131504.18|chr5	712	835	751	968	723	461
HDAC3|ENSG00000171720.10|chr5	793	1117	953	896	708	426
FCHSD1|ENSG00000197948.11|chr5	17	8	17	30	57	0
ARAP3|ENSG00000120318.16|chr5	14	5	7	0	7	2
PCDH1|ENSG00000156453.14|chr5	0	0	0	0	0	0
DELE1|ENSG00000081791.9|chr5	154	180	130	185	246	145
PCDH12|ENSG00000113555.6|chr5	0	0	0	0	0	0
RNF14|ENSG00000013561.18|chr5	212	425	227	421	466	329
GNPDA1|ENSG00000113552.16|chr5	1673	2426	1879	1349	901	1009
SPRY4|ENSG00000187678.10|chr5	0	2	1	4	83	0
FGF1|ENSG00000113578.18|chr5	0	0	0	0	1	0
ARHGAP26|ENSG00000145819.18|chr5	60	57	35	53	103	68
NR3C1|ENSG00000113580.15|chr5	100	161	86	155	247	105
HMHB1|ENSG00000158497.6|chr5	0	0	0	0	0	0
YIPF5|ENSG00000145817.17|chr5	781	1166	978	818	1086	795
KCTD16|ENSG00000183775.11|chr5	0	0	0	0	0	0
GRXCR2|ENSG00000204928.3|chr5	0	0	0	0	0	0
SH3RF2|ENSG00000156463.18|chr5	0	6	9	0	0	0
PLAC8L1|ENSG00000173261.9|chr5	0	1	0	0	7	0
LARS1|ENSG00000133706.19|chr5	698	765	669	726	561	444
ENSG00000275740|ENSG00000275740.1|chr5	0	0	0	0	0	0
RBM27|ENSG00000091009.8|chr5	105	126	116	115	136	87
POU4F3|ENSG00000091010.6|chr5	0	0	0	0	0	0
TCERG1|ENSG00000113649.13|chr5	291	379	278	308	377	144
GPR151|ENSG00000173250.3|chr5	0	0	0	0	0	0
PPP2R2B|ENSG00000156475.19|chr5	0	0	0	4	0	0
STK32A|ENSG00000169302.16|chr5	0	0	0	0	0	0
DPYSL3|ENSG00000113657.13|chr5	719	889	678	654	584	430
SPINK1|ENSG00000164266.11|chr5	0	2	7	0	0	0
SCGB3A2|ENSG00000164265.9|chr5	0	0	0	0	0	0
SPINK5|ENSG00000133710.17|chr5	0	0	0	0	0	0
SPINK14|ENSG00000196800.7|chr5	0	0	0	0	0	0
SPINK6|ENSG00000178172.7|chr5	0	0	0	0	0	0
MARCOL|ENSG00000248109.3|chr5	0	0	0	0	0	0
SPINK13|ENSG00000214510.10|chr5	3	0	0	0	0	0
SPINK7|ENSG00000145879.11|chr5	0	0	0	0	0	0
SPINK9|ENSG00000204909.8|chr5	0	0	0	0	0	0
FBXO38|ENSG00000145868.17|chr5	65	47	18	93	31	74
HTR4|ENSG00000164270.18|chr5	0	0	0	0	0	0
ADRB2|ENSG00000169252.6|chr5	0	0	0	0	0	0
SH3TC2|ENSG00000169247.14|chr5	0	0	0	0	0	0
ABLIM3|ENSG00000173210.20|chr5	2	0	17	0	0	0
AFAP1L1|ENSG00000157510.14|chr5	20	35	41	57	22	31
GRPEL2|ENSG00000164284.15|chr5	69	54	89	217	203	367
PCYOX1L|ENSG00000145882.11|chr5	148	159	147	152	147	154
IL17B|ENSG00000127743.6|chr5	0	0	0	0	0	0
CSNK1A1|ENSG00000113712.19|chr5	965	1185	822	975	1002	753
ARHGEF37|ENSG00000183111.12|chr5	14	0	0	17	0	0
PPARGC1B|ENSG00000155846.17|chr5	25	52	16	37	65	45
PDE6A|ENSG00000132915.12|chr5	0	4	0	12	0	0
SLC26A2|ENSG00000155850.9|chr5	137	170	126	151	142	71
TIGD6|ENSG00000164296.7|chr5	21	7	15	0	23	0
HMGXB3|ENSG00000113716.13|chr5	75	84	40	47	19	86
CSF1R|ENSG00000182578.14|chr5	0	0	0	0	0	0
PDGFRB|ENSG00000113721.14|chr5	0	0	0	22	0	0
CDX1|ENSG00000113722.18|chr5	0	0	0	0	0	0
SLC6A7|ENSG00000011083.9|chr5	0	0	0	0	0	0
CAMK2A|ENSG00000070808.17|chr5	0	0	0	0	0	0
ARSI|ENSG00000183876.9|chr5	0	0	0	0	0	0
CD74|ENSG00000019582.17|chr5	0	1	5	0	0	0
RPS14|ENSG00000164587.13|chr5	12791	15616	11951	12985	12054	8674
NDST1|ENSG00000070614.15|chr5	260	220	260	145	128	100
SYNPO|ENSG00000171992.13|chr5	2	0	4	2	0	0
MYOZ3|ENSG00000164591.14|chr5	0	0	0	0	0	0
RBM22|ENSG00000086589.12|chr5	505	586	488	888	703	589
DCTN4|ENSG00000132912.13|chr5	471	528	511	726	603	341
SMIM3|ENSG00000256235.3|chr5	29	23	24	6	29	14
IRGM|ENSG00000237693.5|chr5	0	0	0	0	0	0
ZNF300|ENSG00000145908.13|chr5	49	32	28	35	82	55
GPX3|ENSG00000211445.13|chr5	606	572	417	358	467	197
TNIP1|ENSG00000145901.16|chr5	122	304	181	224	153	154
ANXA6|ENSG00000197043.15|chr5	635	779	712	920	724	730
CCDC69|ENSG00000198624.13|chr5	66	99	48	13	20	1
GM2A|ENSG00000196743.9|chr5	374	474	306	212	262	173
SLC36A3|ENSG00000186334.10|chr5	0	0	0	0	0	0
SLC36A2|ENSG00000186335.9|chr5	0	0	0	0	0	0
SLC36A1|ENSG00000123643.13|chr5	64	85	83	50	2	21
FAT2|ENSG00000086570.13|chr5	0	0	0	0	0	0
SPARC|ENSG00000113140.11|chr5	57	72	96	63	11	65
G3BP1|ENSG00000145907.16|chr5	1071	1162	986	967	757	622
GLRA1|ENSG00000145888.11|chr5	0	0	0	0	0	0
NMUR2|ENSG00000132911.5|chr5	0	0	0	0	0	1
GRIA1|ENSG00000155511.18|chr5	0	0	0	0	0	0
FAM114A2|ENSG00000055147.19|chr5	126	162	204	178	252	182
MFAP3|ENSG00000037749.13|chr5	62	31	21	39	27	77
GALNT10|ENSG00000164574.16|chr5	79	46	65	4	24	43
SAP30L|ENSG00000164576.12|chr5	204	239	220	164	143	261
HAND1|ENSG00000113196.3|chr5	6	0	11	1	33	14
LARP1|ENSG00000155506.19|chr5	2711	2975	2791	2576	2584	1862
FAXDC2|ENSG00000170271.11|chr5	0	8	7	18	10	0
CNOT8|ENSG00000155508.14|chr5	207	91	108	203	215	157
GEMIN5|ENSG00000082516.9|chr5	141	147	177	272	166	146
MRPL22|ENSG00000082515.18|chr5	1464	2312	1593	1981	1789	1647
KIF4B|ENSG00000226650.6|chr5	0	0	0	0	0	0
SGCD|ENSG00000170624.14|chr5	0	0	0	0	0	0
PPP1R2B|ENSG00000231989.5|chr5	0	0	0	0	0	0
TIMD4|ENSG00000145850.9|chr5	0	0	0	0	0	0
HAVCR1|ENSG00000113249.14|chr5	0	0	0	0	0	0
HAVCR2|ENSG00000135077.10|chr5	0	0	0	0	14	0
MED7|ENSG00000155868.8|chr5	52	23	37	19	75	1
ITK|ENSG00000113263.14|chr5	0	0	0	0	0	0
GARIN3|ENSG00000170613.4|chr5	0	0	0	0	0	0
CYFIP2|ENSG00000055163.21|chr5	888	1284	937	560	826	500
ENSG00000285868|ENSG00000285868.1|chr5	0	8	0	0	0	0
FNDC9|ENSG00000172568.5|chr5	0	8	0	0	0	0
ADAM19|ENSG00000135074.16|chr5	6	20	11	0	9	0
NIPAL4|ENSG00000172548.15|chr5	0	2	0	0	0	0
SOX30|ENSG00000039600.11|chr5	0	0	10	0	0	0
C5orf52|ENSG00000187658.7|chr5	0	0	0	0	0	0
THG1L|ENSG00000113272.14|chr5	85	168	134	143	184	153
LSM11|ENSG00000155858.6|chr5	68	149	54	91	177	147
CLINT1|ENSG00000113282.14|chr5	752	970	677	887	783	611
EBF1|ENSG00000164330.17|chr5	6	13	32	0	0	0
RNF145|ENSG00000145860.12|chr5	33	34	57	28	11	28
UBLCP1|ENSG00000164332.8|chr5	314	488	352	367	381	407
IL12B|ENSG00000113302.6|chr5	0	0	0	0	0	0
ADRA1B|ENSG00000170214.5|chr5	21	0	0	0	0	0
TTC1|ENSG00000113312.12|chr5	843	892	897	986	903	639
PWWP2A|ENSG00000170234.13|chr5	16	24	29	3	11	32
FABP6|ENSG00000170231.16|chr5	0	0	0	0	1	0
CCNJL|ENSG00000135083.17|chr5	0	0	0	0	0	17
C1QTNF2|ENSG00000145861.9|chr5	17	12	12	8	6	29
ZBED8|ENSG00000221886.4|chr5	20	11	11	6	13	17
SLU7|ENSG00000164609.10|chr5	289	275	210	234	226	139
PTTG1|ENSG00000164611.13|chr5	3272	4214	3210	2911	2728	2226
ATP10B|ENSG00000118322.14|chr5	0	0	0	0	0	0
GABRB2|ENSG00000145864.14|chr5	0	0	0	0	0	0
GABRA6|ENSG00000145863.11|chr5	0	0	0	0	0	0
GABRA1|ENSG00000022355.18|chr5	0	0	0	0	0	0
GABRG2|ENSG00000113327.17|chr5	0	0	0	0	0	0
NUDCD2|ENSG00000170584.11|chr5	579	659	617	684	410	455
HMMR|ENSG00000072571.20|chr5	165	225	152	214	149	167
MAT2B|ENSG00000038274.18|chr5	430	474	420	496	380	446
TENM2|ENSG00000145934.17|chr5	0	0	0	0	0	0
WWC1|ENSG00000113645.15|chr5	289	211	88	139	231	132
RARS1|ENSG00000113643.9|chr5	806	703	583	722	737	770
FBLL1|ENSG00000188573.8|chr5	17	30	0	25	3	42
PANK3|ENSG00000120137.7|chr5	121	78	97	289	188	252
SLIT3|ENSG00000184347.15|chr5	4	10	13	0	0	0
SPDL1|ENSG00000040275.17|chr5	91	145	118	395	204	260
DOCK2|ENSG00000134516.20|chr5	3	0	0	0	0	0
INSYN2B|ENSG00000204767.4|chr5	0	0	0	0	0	0
FOXI1|ENSG00000168269.10|chr5	0	0	0	0	0	0
C5orf58|ENSG00000234511.10|chr5	0	0	0	0	0	0
LCP2|ENSG00000043462.13|chr5	0	0	0	0	0	0
KCNIP1|ENSG00000182132.14|chr5	0	0	0	5	0	0
KCNMB1|ENSG00000145936.9|chr5	0	0	0	0	0	0
GABRP|ENSG00000094755.17|chr5	0	0	0	0	0	0
RANBP17|ENSG00000204764.14|chr5	16	14	14	8	28	1
TLX3|ENSG00000164438.6|chr5	17	30	14	41	26	29
NPM1|ENSG00000181163.14|chr5	8938	11738	9173	10812	9434	8795
FGF18|ENSG00000156427.8|chr5	15	1	11	0	0	0
SMIM23|ENSG00000185662.10|chr5	0	0	0	0	0	0
STK10|ENSG00000072786.13|chr5	37	27	33	73	29	27
EFCAB9|ENSG00000214360.5|chr5	0	0	0	0	0	0
UBTD2|ENSG00000168246.6|chr5	45	81	16	61	113	43
SH3PXD2B|ENSG00000174705.13|chr5	5	7	19	2	33	0
NEURL1B|ENSG00000214357.9|chr5	17	8	10	13	3	20
DUSP1|ENSG00000120129.6|chr5	3	8	8	20	17	1
ERGIC1|ENSG00000113719.17|chr5	856	916	688	455	376	371
RPL26L1|ENSG00000037241.7|chr5	1394	1860	1527	1061	1080	1013
CREBRF|ENSG00000164463.12|chr5	15	20	7	17	76	66
BNIP1|ENSG00000113734.18|chr5	43	102	85	285	247	249
NKX2-5|ENSG00000183072.10|chr5	59	58	49	145	70	149
STC2|ENSG00000113739.11|chr5	47	165	60	486	363	444
CPEB4|ENSG00000113742.14|chr5	101	48	69	46	115	114
NSG2|ENSG00000170091.11|chr5	0	0	0	0	0	0
MSX2|ENSG00000120149.9|chr5	114	102	126	151	240	116
DRD1|ENSG00000184845.4|chr5	0	0	0	0	0	0
SFXN1|ENSG00000164466.13|chr5	1258	1496	1292	755	685	787
HRH2|ENSG00000113749.8|chr5	0	0	7	0	0	0
CPLX2|ENSG00000145920.15|chr5	3	0	0	0	2	30
THOC3|ENSG00000051596.10|chr5	1164	1645	1461	1417	1282	1117
SIMC1|ENSG00000170085.18|chr5	15	79	51	28	60	75
KIAA1191|ENSG00000122203.15|chr5	836	900	712	555	572	537
ARL10|ENSG00000175414.7|chr5	117	57	57	102	50	77
NOP16|ENSG00000048162.22|chr5	338	470	354	580	412	525
HIGD2A|ENSG00000146066.3|chr5	2297	2823	2377	2159	1571	1675
CLTB|ENSG00000175416.16|chr5	831	1360	990	900	537	454
FAF2|ENSG00000113194.13|chr5	390	423	292	443	523	264
RNF44|ENSG00000146083.12|chr5	50	80	92	99	85	147
CDHR2|ENSG00000074276.11|chr5	0	0	0	0	0	0
GPRIN1|ENSG00000169258.7|chr5	5	42	22	9	26	14
SNCB|ENSG00000074317.11|chr5	19	16	6	11	15	21
EIF4E1B|ENSG00000175766.13|chr5	0	0	0	10	0	0
TSPAN17|ENSG00000048140.18|chr5	77	200	85	100	49	169
UNC5A|ENSG00000113763.12|chr5	6	3	8	0	0	0
HK3|ENSG00000160883.11|chr5	0	0	0	0	0	0
UIMC1|ENSG00000087206.17|chr5	230	208	165	430	341	267
ZNF346|ENSG00000113761.12|chr5	159	144	172	290	228	122
FGFR4|ENSG00000160867.15|chr5	60	22	5	10	0	0
NSD1|ENSG00000165671.22|chr5	78	146	99	94	102	69
RAB24|ENSG00000169228.14|chr5	485	585	466	666	616	437
MXD3|ENSG00000213347.11|chr5	21	39	27	47	51	41
PRELID1|ENSG00000169230.10|chr5	3453	4519	3249	2554	2209	2368
LMAN2|ENSG00000169223.16|chr5	1821	2048	1658	2032	2041	1608
RGS14|ENSG00000169220.18|chr5	2	14	4	15	21	10
SLC34A1|ENSG00000131183.11|chr5	0	0	0	0	0	0
PFN3|ENSG00000196570.3|chr5	0	0	0	0	0	0
F12|ENSG00000131187.11|chr5	132	230	192	107	25	204
GRK6|ENSG00000198055.11|chr5	396	517	506	238	275	276
PRR7|ENSG00000131188.12|chr5	20	35	21	22	61	0
DBN1|ENSG00000113758.14|chr5	63	79	60	177	200	146
PDLIM7|ENSG00000196923.14|chr5	19	39	36	66	72	36
DOK3|ENSG00000146094.16|chr5	21	13	96	14	11	37
DDX41|ENSG00000183258.12|chr5	740	832	666	636	628	409
TMED9|ENSG00000184840.12|chr5	3295	4128	3169	4097	3961	3337
B4GALT7|ENSG00000027847.14|chr5	247	300	164	114	99	139
FAM153A|ENSG00000170074.20|chr5	0	0	0	0	0	0
PROP1|ENSG00000175325.2|chr5	0	0	0	0	0	0
N4BP3|ENSG00000145911.6|chr5	45	25	4	0	12	0
RMND5B|ENSG00000145916.19|chr5	180	237	145	355	244	129
NHP2|ENSG00000145912.10|chr5	2240	3049	2104	2097	1956	1488
GMCL2|ENSG00000244234.3|chr5	0	0	0	0	0	0
HNRNPAB|ENSG00000197451.12|chr5	5004	6531	5379	5423	4846	4042
COL23A1|ENSG00000050767.18|chr5	2	6	13	22	10	0
CLK4|ENSG00000113240.14|chr5	13	14	14	29	32	54
MSANTD5|ENSG00000285891.2|chr5	0	0	0	0	0	0
