rownames(nonTcReadCount)	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	TPG.L10a.1	TPG.L10a.2	TPG.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
ERO1B|ENSG00000086619.15|chr1	26	24	19	16	101	42	0.521845267930277	0.752718820989547	8984	0.228433419898396	0.356646598150884	118.599893837216	0.640503571554479
EDARADD|ENSG00000186197.15|chr1	231	148	405	125	153	171	0.731824388543386	0.87743685164792	11170	-0.0855623165738905	0.249671407968457	473.624259181787	-0.342699699857904
LGALS8|ENSG00000116977.19|chr1	143	193	169	109	163	157	0.222109518647265	0.480149259925008	5566	0.349252418528887	0.28605255641065	212.470585400983	1.22093793850774
HEATR1|ENSG00000119285.11|chr1	194	193	242	197	221	247	0.491739522987145	0.731294313764462	8630	0.13693410171545	0.199163916945885	540.29174944139	0.687544731070217
ACTN2|ENSG00000077522.15|chr1	6	6	7	46	17	3	0.20975556479933	1	5408	2.60708191815907	2.0786184296545	4.30254373443335	1.25423785383853
MTR|ENSG00000116984.15|chr1	335	315	325	236	466	339	0.10742075405625	0.312528915425597	3973	0.279754196795212	0.173771690428945	850.666945570617	1.60989512218391
MT1HL1|ENSG00000244020.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
RYR2|ENSG00000198626.18|chr1	0	3	2	0	0	8	0.39972975114962	1	7645	2.67230027773795	3.17336139818812	1.31489618955294	0.842103984520561
ZP4|ENSG00000116996.10|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
CHRM3|ENSG00000133019.12|chr1	0	0	0	0	1	0	0.100175641829327	1	3839.5	4.88501272558672	2.97141402798588	2.67031304662455	1.64400271371739
FMN2|ENSG00000155816.21|chr1	24	12	32	6	24	47	0.232983657530171	1	5677	-1.85225620222752	1.55298348799146	5.4269069657319	-1.19270823968845
GREM2|ENSG00000180875.5|chr1	6	2	7	0	1	7	0.653286982388418	1	10366	0.769737311111208	1.71357156883491	6.86594585183837	0.449200561628463
FH|ENSG00000091483.8|chr1	141	161	229	137	187	206	0.624642339440236	0.817802175128342	10076	0.0996390401310969	0.203643542441548	623.056238826964	0.489281609112141
KMO|ENSG00000117009.12|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OPN3|ENSG00000054277.14|chr1	10	0	8	0	2	6	0.891098980403512	1	12723	0.323977990635151	2.36629280112822	3.12335912576199	0.136913737167557
CHML|ENSG00000203668.3|chr1	248	237	428	116	268	132	0.484439087944707	0.726682073097776	8557	-0.176177829302364	0.251977522025343	382.589673639156	-0.699180735989002
WDR64|ENSG00000162843.18|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
EXO1|ENSG00000174371.17|chr1	375	238	276	294	460	306	8.03113659745625e-06	0.00037653948401171	226	1.63599720491302	0.366457916710627	211.393073448387	4.46435219519322
MAP1LC3C|ENSG00000197769.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PLD5|ENSG00000180287.17|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
CEP170|ENSG00000143702.16|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SDCCAG8|ENSG00000054282.16|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
AKT3|ENSG00000117020.19|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
ZBTB18|ENSG00000179456.12|chr1	273	153	242	145	254	165	0.679130974835347	0.848493315570728	10664	0.318114908671145	0.769044989575459	29.0927568125828	0.413649283180112
C1orf100|ENSG00000173728.11|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
ADSS2|ENSG00000035687.10|chr1	222	243	245	220	398	297	0.137953430424448	0.361719395330527	4449	0.371311996365817	0.250302078950505	343.652515562467	1.48345550273772
CATSPERE|ENSG00000179397.18|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
DESI2|ENSG00000121644.19|chr1	831	505	754	281	517	509	0.52533691444041	0.75498032624584	9020	-0.0997574072519898	0.157063576379888	972.521227487978	-0.63514030147071
ENSG00000284188|ENSG00000284188.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
COX20|ENSG00000203667.10|chr1	229	234	279	184	347	230	0.359771697972817	0.624224809516942	7184	-0.172491749289072	0.188350853236366	528.417451486293	-0.915800201194773
HNRNPU|ENSG00000153187.20|chr1	4128	3632	4013	3382	5265	4350	0.111673066734259	0.320326966734221	4033	0.214403268356645	0.134783962892729	8150.70854014334	1.59071794414653
EFCAB2|ENSG00000203666.13|chr1	5	4	6	2	6	9	0.993661009087983	0.998055441321363	13647	0.00705484420002907	0.887979195408598	34.5775246532112	0.00794483050560979
KIF26B|ENSG00000162849.16|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SMYD3|ENSG00000185420.19|chr1	20	26	5	0	15	17	0.831657340801282	0.928807380517032	12216	-0.0897994345491632	0.422433595138761	107.903291398012	-0.212576451263697
TFB2M|ENSG00000162851.8|chr1	127	70	97	57	234	146	0.106728852422257	0.311028305903806	3966	0.938705998486237	0.581936802281803	45.1352860798226	1.61307206350505
CNST|ENSG00000162852.14|chr1	30	49	22	7	18	21	0.0566924068550877	0.20785908063547	3075	2.01180881583277	1.05569364939383	16.6289596606071	1.90567482999251
SCCPDH|ENSG00000143653.10|chr1	140	100	85	102	91	77	0.999811229018821	0.999811229018821	13716	-5.03813561005484e-05	0.212948545156889	486.926548452598	-0.000236589341633821
AHCTF1|ENSG00000153207.16|chr1	65	80	66	36	86	72	0.0087976368949197	0.0609118476596573	1566	1.53044821214543	0.584180828599882	42.5562158171721	2.61981930460382
ZNF695|ENSG00000197472.15|chr1	26	51	30	13	40	43	0.00250257204319559	1	1083	3.66977943086185	1.21394068052394	10.9675598654808	3.02303027630475
ZNF670|ENSG00000277462.2|chr1	23	9	5	7	28	13	0.711247282668582	1	10994	-0.601449260031921	1.62474167316003	6.43782337646588	-0.370181469440698
ZNF669|ENSG00000188295.15|chr1	12	34	10	21	6	7	0.51206735127099	0.746028551363592	8894	0.657318029392362	1.00258686462193	13.2431067241935	0.655622023973187
ZNF124|ENSG00000196418.13|chr1	30	50	54	38	138	57	0.47256478498036	0.718303896378123	8436	0.463648892867439	0.645469848966428	26.8462029476621	0.718312239696194
VN1R5|ENSG00000197617.9|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
ZNF496|ENSG00000162714.13|chr1	40	52	74	63	67	41	0.439676051123235	0.691483633644272	8074	0.55944620664651	0.723976939701473	23.9984311043368	0.772740367776347
NLRP3|ENSG00000162711.18|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2B11|ENSG00000177535.10|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
GCSAML|ENSG00000169224.13|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2C3|ENSG00000196242.10|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR14L1P|ENSG00000198452.8|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR13G1|ENSG00000197437.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR6F1|ENSG00000169214.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR1C1|ENSG00000221888.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR9H1P|ENSG00000228336.2|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR14A16|ENSG00000196772.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
TRIM58|ENSG00000162722.9|chr1	8	21	18	4	10	0	0.8767045137926	0.950724600736034	12607	0.137577451723929	0.886748831951187	15.2226817510173	0.155148162328228
OR2T8|ENSG00000177462.9|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2AJ1|ENSG00000177275.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2AK2|ENSG00000187080.10|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2L5|ENSG00000197454.2|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2L2|ENSG00000203663.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2L3|ENSG00000198128.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2L13|ENSG00000196071.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2M2|ENSG00000198601.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2M3|ENSG00000228198.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2M4|ENSG00000171180.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T33|ENSG00000177212.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T12|ENSG00000177201.3|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T6|ENSG00000198104.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T1|ENSG00000175143.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T7|ENSG00000227152.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T2|ENSG00000196240.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T5|ENSG00000203661.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2G6|ENSG00000188558.7|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T29|ENSG00000182783.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T10|ENSG00000184022.4|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T11|ENSG00000279301.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T35|ENSG00000177151.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR2T27|ENSG00000187701.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
OR14I1|ENSG00000189181.5|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
LYPD8|ENSG00000259823.6|chr1	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SH3BP5L|ENSG00000175137.11|chr1	22	12	33	10	44	21	0.387202701547682	0.647537851262507	7510	0.860379787384424	0.995002192230253	18.8879822565259	0.864701398753626
ZNF672|ENSG00000171161.13|chr1	38	26	36	47	49	37	0.218313514011285	0.475195150875838	5510	1.10595946572636	0.89840536573152	15.1921846792254	1.23102500041932
ZNF692|ENSG00000171163.16|chr1	16	11	4	0	0	9	0.501127559956015	1	8745	0.756041109889508	1.12386260540074	9.79832985267024	0.672716670397554
PGBD2|ENSG00000185220.12|chr1	9	1	0	0	29	24	0.819760673018696	1	12084.5	-0.929747190088228	4.0804728567969	0.147987081487783	-0.227852805965744
FAM110C|ENSG00000184731.6|chr2	17	7	0	0	0	10	0.407140954341535	1	7720	-3.27893699910346	3.95560008787054	0.8879224889267	-0.82893541466894
SH3YL1|ENSG00000035115.22|chr2	2	1	22	11	9	4	0.935077991540985	0.973002690598868	13136	-0.059739580136359	0.7333819387094	24.8341339445069	-0.0814576648035378
ACP1|ENSG00000143727.16|chr2	520	464	524	226	482	397	0.0128275639341133	0.0791157552071388	1765	-0.375638097463366	0.150948329667441	1242.34481299804	-2.48852106075598
ALKAL2|ENSG00000189292.16|chr2	0	1	0	0	0	5	1	1	16610.5	NA	NA	0	NA
TMEM18|ENSG00000151353.15|chr2	290	111	286	232	294	239	0.247014593597714	0.509711126341068	5851	0.321367126864053	0.277607533423554	269.55229411324	1.15763114531094
SNTG2|ENSG00000172554.12|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
TPO|ENSG00000115705.22|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
PXDN|ENSG00000130508.11|chr2	109	61	90	68	73	50	0.128309324683793	0.347198582171405	4303	-0.366909936685772	0.241260688147757	278.039863506798	-1.52080282744225
MYT1L|ENSG00000186487.21|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
EIPR1|ENSG00000032389.13|chr2	68	62	58	94	117	119	0.736548889159679	0.880213773607842	11212	0.0789219346269527	0.234588584763846	353.355620262695	0.336427003498065
TRAPPC12|ENSG00000171853.16|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
ADI1|ENSG00000182551.14|chr2	0	0	0	0	0	0	0.0402878497352649	1	2687.5	-5.13068981428556	2.50181701504044	3.20605936373239	-2.05078540254577
RNASEH1|ENSG00000171865.10|chr2	780	548	608	551	689	666	0.907285114714685	0.961996772742004	12880	0.0179005287342022	0.153700600352039	1049.93699482742	0.11646362273929
RPS7|ENSG00000171863.15|chr2	5	29	5	24	6	8	0.503647310741569	0.739608268227498	8798	-0.603233544534907	0.902015283202449	14.0991863576039	-0.668761999678354
COLEC11|ENSG00000118004.18|chr2	1	0	0	0	9	20	0.264883903085362	1	6073	3.8409486470659	3.44503838672222	1.28679504003945	1.11492187195057
ALLC|ENSG00000151360.10|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
DCDC2C|ENSG00000214866.9|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SOX11|ENSG00000176887.7|chr2	0	0	0	0	0	0	0.575019159833525	1	9583.5	2.2482800984491	4.00995295727998	0.419893071824734	0.560674931202722
CMPK2|ENSG00000134326.12|chr2	3	7	0	6	5	8	0.576784932089753	1	9612	1.28645701097784	2.30511884074797	4.54957850407759	0.558087066157685
RSAD2|ENSG00000134321.13|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
RNF144A|ENSG00000151692.15|chr2	34	21	29	1	18	3	0.992608048732647	0.997503308457049	13641	0.00799303528266308	0.862753011173631	15.3993428288733	0.00926456955715506
KIDINS220|ENSG00000134313.17|chr2	26	13	62	0	14	39	0.906373720702211	0.961996772742004	12870	-0.0382131151538046	0.324903505654	162.353780319097	-0.117613736044138
MBOAT2|ENSG00000143797.12|chr2	189	130	146	63	138	99	0.880787319357692	0.952232161002253	12643	0.0333356343854331	0.222280206635183	341.064441337642	0.149971222764541
ASAP2|ENSG00000151693.11|chr2	46	18	34	21	38	24	0.388979794883241	0.649177808565573	7526	0.541246133118269	0.628282783646592	27.6140856731502	0.861468986905615
ITGB1BP1|ENSG00000119185.13|chr2	254	238	187	56	157	137	0.0264981260505926	0.129606944574279	2270	-0.427765620819118	0.192788609365831	711.299351771934	-2.21883244153393
CPSF3|ENSG00000119203.14|chr2	159	175	144	139	191	179	0.949258487758979	0.981038764147384	13233	-0.0136441283123043	0.214402278066195	636.062232165428	-0.0636379819998545
IAH1|ENSG00000134330.19|chr2	246	211	214	164	191	165	0.0356551747446822	0.156052140270406	2554	-0.40706006886703	0.193760792794961	618.525624966078	-2.10083816749131
ADAM17|ENSG00000151694.15|chr2	237	139	246	173	253	210	0.175567839466882	0.419746576487156	4955	0.308505472422049	0.227758575180213	345.069571482854	1.35452846145505
YWHAQ|ENSG00000134308.14|chr2	306	219	294	225	277	281	0.0611195486554434	0.217396017976864	3173	-0.293295179171249	0.156622097912117	1848.20659058669	-1.87262961664465
TAF1B|ENSG00000115750.17|chr2	63	43	47	49	71	34	0.00138279297326108	0.0163710327873456	902	1.39896601443439	0.437420352214657	66.1399125073624	3.19821884681733
GRHL1|ENSG00000134317.18|chr2	57	48	47	55	47	79	0.0121764246739153	0.0760291077459086	1742	2.05874888069066	0.821203553198876	17.9976105814574	2.50698973801454
KLF11|ENSG00000172059.11|chr2	87	71	45	50	168	118	0.588549912080202	0.79524035557279	9728	-0.548894572937082	1.01470774050962	20.5209481087234	-0.540938588545121
CYS1|ENSG00000205795.5|chr2	3	4	2	0	4	0	0.199515713043548	1	5261	-2.03857379657929	1.58899532164099	6.59841330357104	-1.28293253530414
RRM2|ENSG00000171848.16|chr2	1072	1031	1135	1113	1723	1426	0.242189439626035	0.504867067140953	5778	0.185028202776601	0.158207073875222	2007.37724398367	1.16953179301283
HPCAL1|ENSG00000115756.13|chr2	132	49	95	60	54	47	0.446404476202236	0.696832915415276	8141	-0.300549846823328	0.394721280351332	192.564951206009	-0.761422962946957
ODC1|ENSG00000115758.14|chr2	874	682	1140	437	604	599	5.19585242391335e-06	0.000262167868018028	210	-0.74162657871716	0.162754463680337	2241.38820458933	-4.55672036235993
NOL10|ENSG00000115761.17|chr2	99	71	119	87	58	56	0.895166247937102	0.959358912019979	12756	-0.0365249269082317	0.277187053604824	239.742497769681	-0.131769959791499
ATP6V1C2|ENSG00000143882.12|chr2	0	7	0	0	0	1	0.49365186847536	0.732698585006992	8649	0.648334430284009	0.947148276840342	13.5427423710748	0.684512072858152
PDIA6|ENSG00000143870.13|chr2	938	633	901	1684	2883	2069	0.405072143445878	0.663392642207324	7689	-0.107474912819298	0.129083979229022	5019.14590521578	-0.832596837045244
KCNF1|ENSG00000162975.5|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
C2orf50|ENSG00000150873.12|chr2	4	0	5	0	0	0	0.990503102452784	1	13614	-0.0182941265030391	1.53694997278778	9.92128664661065	-0.0119028770141793
SLC66A3|ENSG00000162976.13|chr2	0	4	13	0	0	11	0.338001843726434	0.602629597155909	6909	-0.733992560470584	0.766075169060924	21.6265450791283	-0.958120808654237
ROCK2|ENSG00000134318.16|chr2	165	94	90	84	122	98	0.00161616811585569	0.0183941110156895	940	0.783830332764792	0.248600402985923	245.830497640755	3.15297289686685
E2F6|ENSG00000169016.17|chr2	227	174	185	67	109	126	0.311522922380796	0.579104716762617	6593	-0.656993629512472	0.64918289045412	40.846503173049	-1.01203164651011
GREB1|ENSG00000196208.14|chr2	1	4	0	0	2	0	0.693602201395729	1	10820	0.531319461909661	1.34862466491489	9.22460307636713	0.393971336675199
NTSR2|ENSG00000169006.7|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
LPIN1|ENSG00000134324.12|chr2	64	68	122	27	98	105	1.73976337291883e-05	0.00069043193630891	269	1.54913358090723	0.360606423840155	110.554563438225	4.29591232571584
TRIB2|ENSG00000071575.12|chr2	258	183	221	167	195	180	0.6379594400649	0.825475421532261	10220	0.172001279378042	0.365529503014776	97.502573794261	0.470553752732482
LRATD1|ENSG00000162981.14|chr2	0	0	0	0	0	0	0.349139665509808	1	7058.5	-3.69214388985554	3.94350543862935	1.18389665190227	-0.936259362973981
NBAS|ENSG00000151779.14|chr2	3	7	3	0	17	11	0.387607694337562	0.647908365546743	7514	0.438576160009993	0.507632476825429	53.0152915056543	0.863963950361704
DDX1|ENSG00000079785.16|chr2	197	222	207	232	280	222	0.00364668711443561	0.0327182867608465	1199	0.461459122859631	0.158729221283794	1062.20372115837	2.90720964374029
MYCN|ENSG00000134323.13|chr2	0	0	0	0	0	0	0.15882698548989	1	4729.5	4.5367167865525	3.21974995427217	2.09810310806215	1.40902767326167
CYRIA|ENSG00000197872.11|chr2	3	0	2	0	0	0	0.914484701364833	1	12949	0.23076907943282	2.14901697368587	4.14209633200259	0.107383553624064
RAD51AP2|ENSG00000214842.6|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
VSNL1|ENSG00000163032.12|chr2	0	0	0	0	3	2	0.354883715104933	1	7121	-2.18065126587121	2.35705815895839	2.54275973419122	-0.925158022759551
SMC6|ENSG00000163029.16|chr2	55	22	34	24	49	31	0.0240904366253053	0.12166933578729	2182	0.888112901028102	0.393722238256282	84.6170812105562	2.25568386729024
GEN1|ENSG00000178295.15|chr2	27	41	14	24	26	46	0.102195638212097	0.303408512887469	3878	0.864952594564453	0.529249220295475	41.4630733182427	1.63430112203388
MSGN1|ENSG00000151379.4|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
KCNS3|ENSG00000170745.12|chr2	32	39	36	0	59	9	0.0375565099009963	0.161178120255552	2607	1.58181750779229	0.760612642742826	19.9484591877018	2.07966239173746
RDH14|ENSG00000240857.2|chr2	402	291	525	290	381	351	0.648786332838581	0.830807367747252	10321	0.184072562876424	0.404156358360394	71.7833364352862	0.455448885236349
NT5C1B-RDH14|ENSG00000250741.6|chr2	5	2	1	5	0	6	0.537859850447477	1	9155	1.19115616151821	1.93353018257195	5.3816946955771	0.616052530368963
NT5C1B|ENSG00000185013.17|chr2	0	0	0	0	0	0	0.0647900771936486	1	3239	5.1654475504365	2.79711748221108	3.24252298518696	1.84670382394997
OSR1|ENSG00000143867.7|chr2	0	4	10	0	6	10	0.850933077619477	1	12379	-0.459478851607653	2.44497256281177	2.06053623313521	-0.187928019559959
TTC32|ENSG00000183891.6|chr2	114	38	64	41	98	28	0.608661937500802	0.807987348286134	9938	0.27402214779709	0.535215829631738	43.9865092555805	0.511984385786262
WDR35|ENSG00000118965.16|chr2	18	26	9	23	38	13	0.154186908658217	0.388113634448029	4673	0.717282631590713	0.503392534779381	54.6830996287251	1.42489723631891
MATN3|ENSG00000132031.13|chr2	0	0	0	0	0	0	0.347798163465507	1	7040	2.1639403109892	2.30483806876564	2.47618086365025	0.938868695512349
LAPTM4A|ENSG00000068697.7|chr2	656	705	658	533	800	593	0.293235175589121	0.561679346191294	6380	-0.165863016795453	0.157806823560323	1855.86763815257	-1.05105098153154
SDC1|ENSG00000115884.11|chr2	114	79	92	85	63	104	0.12513418268073	0.34217336766065	4246	-0.484297035427938	0.315796070371329	146.389290182709	-1.53357524322097
PUM2|ENSG00000055917.16|chr2	312	196	334	134	240	217	0.0788389579173233	0.256015200150768	3507	0.807987934433479	0.459746821579009	80.1348620764155	1.75746279584583
RHOB|ENSG00000143878.10|chr2	246	171	179	159	234	171	0.82774981340265	0.927323776149747	12180	-0.125895844055807	0.578596269938952	34.201533905189	-0.21758841284803
HS1BP3|ENSG00000118960.13|chr2	29	9	7	24	9	5	0.951028833253035	0.982046334043107	13246	0.0284444466577873	0.463152654790621	60.6398550844727	0.0614148410109973
GDF7|ENSG00000143869.7|chr2	54	67	97	28	58	39	0.36570806556968	0.628216336436045	7253	0.725372339186925	0.801922217144547	23.2275784674337	0.904542016269112
LDAH|ENSG00000118961.15|chr2	111	135	155	102	151	135	0.10370377306277	0.305829440404427	3910	0.478300122064329	0.293948367249221	182.410676277327	1.62715692738925
APOB|ENSG00000084674.15|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
TDRD15|ENSG00000218819.6|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
KLHL29|ENSG00000119771.15|chr2	19	7	65	2	18	6	0.2427141778384	1	5784	1.76612880863795	1.51179944539531	7.9270833694048	1.16822956511678
ATAD2B|ENSG00000119778.15|chr2	34	31	15	26	50	40	0.00046418132876451	0.00757852905945877	654	1.68777724786046	0.482136989879624	86.5817881965192	3.50061763210048
UBXN2A|ENSG00000173960.14|chr2	403	217	392	154	307	158	0.416854756404854	0.673637849300866	7845	0.18153328884259	0.223593454983035	377.526246316252	0.811889994080389
MFSD2B|ENSG00000205639.12|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
WDCP|ENSG00000163026.12|chr2	110	93	112	97	148	114	0.990648892250559	0.997245367106683	13615	0.00843135246854606	0.719389844892395	26.4241933634921	0.0117201438530276
FKBP1B|ENSG00000119782.14|chr2	61	36	47	8	23	21	0.00382963813797023	0.0338222337325383	1218	-1.00673726218342	0.348127470536801	142.706519394063	-2.89186389293286
SF3B6|ENSG00000115128.7|chr2	645	676	665	481	691	547	0.000164355538456072	0.00355160546957718	492	-0.580189886126039	0.15396547995427	1861.27892244248	-3.76831148318677
TP53I3|ENSG00000115129.14|chr2	6	3	3	3	3	7	0.789868793224514	0.908735041585988	11686	-0.157481925646327	0.590968691390225	38.8094263263017	-0.266480996270476
PFN4|ENSG00000176732.7|chr2	2	0	8	0	0	0	0.748340410324068	1	11314.5	1.28650676154082	4.00995243961982	0.565121462812582	0.320828433980827
FAM228A|ENSG00000186453.13|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
ITSN2|ENSG00000198399.16|chr2	10	9	6	0	4	0	0.249627989621953	1	5886	1.12622789771558	0.978262359685022	11.4855360184973	1.1512534307036
NCOA1|ENSG00000084676.16|chr2	242	117	150	81	119	143	0.204220023272309	0.458190437380737	5322	0.469466342553337	0.369769178299098	86.2056474683479	1.26961999567632
PTRHD1|ENSG00000184924.6|chr2	488	410	518	190	297	325	0.000838597646864935	0.0115758853980351	772	-0.541270295219316	0.16207005794891	1393.658187744	-3.33973037382353
ADCY3|ENSG00000138031.15|chr2	78	57	53	58	81	68	0.030292903839631	0.140782284686285	2401	-0.686526803992902	0.31692103330755	152.721070314231	-2.16623932096887
DNAJC27|ENSG00000115137.12|chr2	38	17	43	0	26	72	0.689519638442159	0.853522206651065	10789	0.458758453513903	1.14831131647468	16.7462678855097	0.399507038668131
EFR3B|ENSG00000084710.14|chr2	15	21	55	0	27	24	0.091001710824483	0.281626339422405	3705	0.671062569605479	0.397046211654043	84.2769673214366	1.69013719287213
POMC|ENSG00000115138.11|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
DNMT3A|ENSG00000119772.19|chr2	15	41	29	25	28	28	0.528749984151293	0.7575222866505	9072	-0.285988248944501	0.4540106210064	67.7278465744468	-0.629915327334313
ASXL2|ENSG00000143970.18|chr2	177	131	162	57	315	171	0.660584338064734	0.837963229669325	10433	0.212753950978769	0.484515555934149	65.1436465666011	0.439106543377288
KIF3C|ENSG00000084731.15|chr2	22	41	82	9	20	22	0.643777358318312	0.828879375862858	10269	-0.298044682597087	0.644526976209644	37.9740299579309	-0.462423907141698
RAB10|ENSG00000084733.11|chr2	589	465	585	383	559	379	0.833286957184062	0.929813458121559	12228	0.0364082061987092	0.172970608214208	843.779428674485	0.210487819720337
GAREM2|ENSG00000157833.13|chr2	29	25	36	43	32	30	0.647896799492523	0.830524375444323	10311	0.284031203333894	0.621939892631691	42.5229284469609	0.456685938141125
HADHA|ENSG00000084754.12|chr2	72	32	32	39	26	24	0.521724213774905	0.752718820989547	8981	0.13068974452827	0.203982856465459	639.241405088128	0.640689844199727
HADHB|ENSG00000138029.14|chr2	133	80	118	63	91	100	0.542791831240438	0.767534999776996	9209	0.144011458480212	0.236628743394711	581.332747597702	0.608596641364029
ADGRF3|ENSG00000173567.16|chr2	0	0	3	0	0	0	1	1	16610.5	NA	NA	0	NA
SELENOI|ENSG00000138018.19|chr2	83	114	95	151	201	127	0.000392903497949404	0.006682512783743	628	1.03087755052965	0.290813605369112	178.564225261902	3.54480509679464
DRC1|ENSG00000157856.12|chr2	0	0	0	0	0	2	1	1	16610.5	NA	NA	0	NA
FAM166C|ENSG00000173557.15|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
CIB4|ENSG00000157884.11|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
KCNK3|ENSG00000171303.8|chr2	0	0	0	0	0	0	1	1	16610.5	NA	NA	0	NA
SLC35F6|ENSG00000213699.9|chr2	144	177	201	87	185	148	0.0112666326493693	0.0722346535107243	1694	-0.574695473402926	0.226765305661417	356.20857604655	-2.53431834171759
DPYSL5|ENSG00000157851.17|chr2	45	34	66	114	49	46	0.158150631474484	0.394575957406082	4721	-0.361876552289393	0.256410210434365	224.296195599671	-1.41131880698653
MAPRE3|ENSG00000084764.12|chr2	14	2	14	3	1	11	0.0975361247062991	0.294778316425541	3799	1.16669861735662	0.70413796051568	24.1427280717451	1.65691765361177
