rownames(nonTcReadCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	TPG.P0.1	TPG.P0.2	TPG.P0.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
DBI|ENSG00000155368.18|chr2	480	748	469	442	374	300	6.69987781163522e-05	0.00152452551653486	497	-0.571756793685733	0.143416072736534	2430.00799905525	-3.98669955728109
TMEM37|ENSG00000171227.7|chr2	4	6	14	0	8	0	0.911657369486963	0.966526032767232	12579	-0.127814263060015	1.1520167491034	13.3695974467261	-0.110948268034724
SCTR|ENSG00000080293.10|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CFAP221|ENSG00000163075.13|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
TMEM177|ENSG00000144120.13|chr2	171	276	211	235	231	219	0.454041579798686	0.712369065752406	8255	0.323293085033499	0.431809293220275	93.0919124667723	0.748694134446478
PTPN4|ENSG00000088179.9|chr2	44	26	39	1	7	0	0.633415846020631	0.833825204252804	9971	0.423007233487616	0.886947902163119	31.7866268237076	0.476924554932676
EPB41L5|ENSG00000115109.14|chr2	15	28	0	3	0	0	2.24294491116721e-05	0.000624765123162315	406	-7.16978617960912	1.69129713476027	14.1329342357896	-4.23922327558687
TMEM185B|ENSG00000226479.4|chr2	205	323	183	323	168	89	0.0237954601434271	0.124873716362885	2179	0.87675677465273	0.387874122778795	141.00770201703	2.26041574614851
RALB|ENSG00000144118.14|chr2	15	37	11	18	7	55	0.329103285160227	0.610336020314367	6836	-0.451687545821696	0.46283176421576	123.275661242439	-0.975921664726388
INHBB|ENSG00000163083.6|chr2	23	33	40	0	40	0	0.0654705082729482	0.242438106764496	3191	3.07666863581786	1.67025821566013	10.823142964886	1.84203173316042
GLI2|ENSG00000074047.22|chr2	55	54	43	61	35	0	0.239898764082338	0.51412931716491	5731	1.71255098158015	1.45719272109579	8.31471848290471	1.17523986826693
TFCP2L1|ENSG00000115112.8|chr2	30	43	33	25	11	44	0.481043877214144	0.733574000200733	8498	0.46892177558733	0.665491620561788	36.8845710808933	0.704624612991341
CLASP1|ENSG00000074054.21|chr2	57	54	73	55	25	1	0.35691003144851	0.636137989858346	7156	0.537476957434403	0.583409395794623	67.9425101170681	0.921268943059001
NIFK|ENSG00000155438.12|chr2	606	705	399	644	627	428	3.93580845712431e-07	2.11952656388661e-05	210	1.16215203891344	0.229129273010682	440.317736954769	5.0720365130267
TSN|ENSG00000211460.12|chr2	338	424	337	366	112	170	0.789638635947113	0.912446707934678	11452	-0.0744374555087153	0.279021985141175	641.930315407698	-0.26677989360248
CNTNAP5|ENSG00000155052.15|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
GYPC|ENSG00000136732.16|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
BIN1|ENSG00000136717.15|chr2	9	17	23	0	4	0	0.561858133354281	0.789439109142307	9295	0.408655934314252	0.704477458254566	42.819698807708	0.580083762121716
CYP27C1|ENSG00000186684.14|chr2	2	13	0	5	0	0	0.944900134809436	0.978067336397618	12874	0.0675019838839376	0.976698308722155	23.544794425055	0.0691124201620176
ERCC3|ENSG00000163161.14|chr2	108	141	131	109	131	25	0.92065673064341	0.970607529304216	12657	-0.0313863347588073	0.315103268647333	263.795529022075	-0.0996065032696797
MAP3K2|ENSG00000169967.17|chr2	407	567	441	383	364	334	0.274000148493684	0.552544165355754	6177	0.299528354321267	0.273817690760808	245.671075456313	1.09389701406444
PROC|ENSG00000115718.18|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
IWS1|ENSG00000163166.15|chr2	141	84	152	217	123	100	0.024337866978158	0.126313417923813	2203	0.909168160101848	0.403760111790104	141.212699234715	2.2517532900191
MYO7B|ENSG00000169994.20|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
LIMS2|ENSG00000072163.20|chr2	0	0	0	0	0	0	0.71723610815912	1	10757	-0.775951261078407	2.14259359452336	4.6308311754966	-0.362155129681055
GPR17|ENSG00000144230.17|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
WDR33|ENSG00000136709.12|chr2	70	128	142	82	135	23	0.766121665368232	0.901755819488899	11223	0.145329252224652	0.488580983862083	74.6939417767106	0.297451716347756
SFT2D3|ENSG00000173349.6|chr2	124	164	152	179	84	90	0.191364651394458	0.452181956251552	5147	0.635855781430366	0.486666749175527	86.3214167608802	1.30655275403052
POLR2D|ENSG00000144231.11|chr2	325	400	325	273	294	317	0.986830552104964	0.995017351174354	13213	-0.00379594438935853	0.229970756549608	342.086552834919	-0.0165062047292943
AMMECR1L|ENSG00000144233.12|chr2	109	162	178	256	336	207	0.587332034617618	0.80706415303653	9524	0.447758333737764	0.825047234985378	44.5341849924421	0.542706301834585
SAP130|ENSG00000136715.19|chr2	82	123	78	69	87	71	0.0286348962952784	0.141103286363095	2328	1.25620837357655	0.574010392999555	69.5004517533413	2.18847670512043
UGGT1|ENSG00000136731.13|chr2	39	65	60	15	50	7	0.878607104569205	0.95227134566542	12314	-0.0461384472537059	0.30208130595827	236.440262081079	-0.152735195272493
HS6ST1|ENSG00000136720.7|chr2	117	224	162	86	40	94	0.557814007769106	0.787081301456106	9255	0.509475614625681	0.869276535187472	33.5453602934414	0.586091530143288
RAB6C|ENSG00000222014.6|chr2	0	6	0	0	0	0	1	1	16415.5	NA	NA	0	NA
POTEF|ENSG00000196604.13|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CCDC74B|ENSG00000152076.19|chr2	15	0	13	0	4	0	0.067669484615054	0.247717148268324	3231	-2.24216760902774	1.22710476076094	28.751827217481	-1.82720145885291
SMPD4|ENSG00000136699.20|chr2	263	276	252	293	257	145	0.0346669969774848	0.160281712517733	2487	0.34364472674498	0.162693096850015	890.823483433406	2.1122268455052
MZT2B|ENSG00000152082.15|chr2	413	536	427	411	464	286	0.0563148265803595	0.219500903945994	3013	-0.157275802646075	0.0824041255957292	5336.84399796957	-1.90859136613696
TUBA3E|ENSG00000152086.9|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CCDC115|ENSG00000136710.10|chr2	126	178	125	112	165	13	0.000999116369455894	0.0135805372862701	832	0.891134895561016	0.270797844691904	229.023018925834	3.29077543646956
IMP4|ENSG00000136718.10|chr2	188	321	282	305	252	309	0.000683541868193568	0.0102250991896839	756	1.03171943400861	0.303795651728169	500.139812923914	3.39609677801369
PTPN18|ENSG00000072135.13|chr2	22	62	20	0	21	20	0.882178918401696	0.952780191787296	12361	0.062284229810856	0.420249848437495	135.260849902715	0.148207619925221
POTEI|ENSG00000196834.14|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CFC1B|ENSG00000152093.8|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CFC1|ENSG00000136698.10|chr2	0	5	0	0	0	0	1	1	16415.5	NA	NA	0	NA
POTEJ|ENSG00000222038.4|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
GPR148|ENSG00000173302.5|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
AMER3|ENSG00000178171.11|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
ARHGEF4|ENSG00000136002.20|chr2	4	1	1	9	1	0	0.18043566440858	0.437799544520801	4996	1.57501132231965	1.17589509072492	18.0327131473822	1.33941482938643
PLEKHB2|ENSG00000115762.17|chr2	257	304	166	93	193	84	0.798661221195881	0.91640216624434	11530	-0.0650307641781194	0.254942506382275	342.151864770287	-0.255080116301237
POTEE|ENSG00000188219.16|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
RAB6D|ENSG00000233087.8|chr2	5	10	0	0	0	0	0.722543449797487	1	10823	-1.44028499381385	4.05643704564762	0.260454945598298	-0.355061591639692
MZT2A|ENSG00000173272.16|chr2	266	244	196	245	179	246	0.791453551576789	0.913175739994728	11464	-0.0288918149738641	0.109263387505719	2688.56549356765	-0.264423569810627
TUBA3D|ENSG00000075886.11|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CCDC74A|ENSG00000163040.15|chr2	4	0	8	0	0	0	0.52690365784329	0.766793651595647	8938	-1.47222867973753	2.32675260146629	28.6714809571486	-0.632739672799658
ANKRD30BL|ENSG00000163046.16|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
GPR39|ENSG00000183840.7|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
LYPD1|ENSG00000150551.11|chr2	279	439	240	180	131	164	0.656788626740822	0.846390650564713	10182	-0.126594908913112	0.284898261067116	241.986663834913	-0.444351286803007
NCKAP5|ENSG00000176771.18|chr2	8	9	0	1	0	3	0.431940740094959	1	7999	2.03458405556724	2.58894116099183	5.34891042564775	0.785874969359206
MGAT5|ENSG00000152127.9|chr2	37	92	73	51	29	3	0.093780510518969	0.300783832518157	3718	-0.733104560292762	0.43746960417017	118.624299366167	-1.67578399345796
TMEM163|ENSG00000152128.13|chr2	0	22	24	18	21	0	0.397840093700915	0.669619529641859	7645	-0.404994614800218	0.479008623255455	72.5594603546	-0.845485018720079
ACMSD|ENSG00000153086.14|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CCNT2|ENSG00000082258.13|chr2	111	150	60	88	61	127	0.286968613227274	0.565808886782766	6349	0.817892162824606	0.768121564720929	35.3551229949893	1.0647952100157
MAP3K19|ENSG00000176601.14|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
RAB3GAP1|ENSG00000115839.19|chr2	93	185	108	147	72	59	0.000820575846614516	0.0118215187889982	785	0.847957202801616	0.253442378365688	309.547440153294	3.34575933302722
ZRANB3|ENSG00000121988.18|chr2	26	19	5	23	2	0	0.265839987556334	0.54434467081608	6044	-1.55557553867903	1.39802669057974	11.0004262102511	-1.11269373407596
R3HDM1|ENSG00000048991.17|chr2	48	44	39	14	1	49	0.18431281790646	0.443757458076344	5038	-0.706824069006934	0.532410477274585	91.4848522516039	-1.32759233557006
UBXN4|ENSG00000144224.17|chr2	82	117	113	166	107	63	0.00688781949332949	0.0551190251483708	1413	0.658981892426195	0.243866865310057	291.304980044712	2.70221988374006
LCT|ENSG00000115850.10|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
MCM6|ENSG00000076003.5|chr2	358	371	382	315	390	328	0.00779398341715484	0.0593949854882777	1484	0.383696164217705	0.14419970061928	1064.14361720943	2.6608665799574
DARS1|ENSG00000115866.11|chr2	593	728	482	660	511	621	0.153650105680266	0.400929636626241	4642	0.153804862598424	0.107800361928813	2235.66311019825	1.42675645838731
CXCR4|ENSG00000121966.8|chr2	40	36	10	8	0	7	0.264450529941241	0.543363198238643	6024	1.83161683806924	1.64133128552158	9.50621353160152	1.11593366569333
THSD7B|ENSG00000144229.13|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
HNMT|ENSG00000150540.14|chr2	12	0	0	3	0	0	0.365012786592123	1	7255	-1.73117833245987	1.91109944429893	6.07106578109558	-0.905854657445595
SPOPL|ENSG00000144228.9|chr2	23	103	33	18	79	9	0.584789884111212	0.804842253792589	9511	0.424108394678395	0.776184339229502	37.9763945415862	0.546401638429599
NXPH2|ENSG00000144227.5|chr2	3	13	0	0	0	0	0.243629206394359	1	5780.5	4.58278365896907	3.93046925599392	1.99972065579676	1.16596349201317
LRP1B|ENSG00000168702.18|chr2	6	0	8	0	0	0	0.871535365674304	0.950516152929771	12246	0.398174989362554	2.46230005752165	6.68489201254423	0.161708557064863
KYNU|ENSG00000115919.15|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
ARHGAP15|ENSG00000075884.14|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
GTDC1|ENSG00000121964.15|chr2	0	3	3	9	0	0	0.227417879508401	0.50085078858043	5565	1.59036395235152	1.31757675953754	22.6003686460407	1.2070370404148
ZEB2|ENSG00000169554.23|chr2	77	43	28	10	26	13	0.742529222557804	0.891429190860531	11008	0.404393667459301	1.23100903265367	12.626176099833	0.32850584904934
ACVR2A|ENSG00000121989.15|chr2	24	91	24	6	56	78	0.0333222758614758	0.155655356347555	2460	2.00052771776282	0.940018703628903	27.4097250044709	2.12817863095687
ORC4|ENSG00000115947.14|chr2	216	132	165	195	101	126	0.00432969842848382	0.0395561020836044	1236	1.18435723320733	0.415114539931503	224.154556852581	2.85308540000252
MBD5|ENSG00000204406.14|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
EPC2|ENSG00000135999.12|chr2	78	118	34	80	83	100	0.162471702199166	0.411992243410806	4777	1.37291872731535	0.982898143114647	18.6212941205302	1.3968067158666
LYPD6B|ENSG00000150556.17|chr2	14	22	0	7	9	0	0.491756323295524	0.740058836585295	8642	0.803386336432012	1.16853124578172	27.3117064466543	0.687518061097771
LYPD6|ENSG00000187123.15|chr2	23	9	14	3	2	0	0.990138264530606	0.996904480545948	13238	0.0162749894957838	1.31672891162405	13.5946297341741	0.0123601671931926
MMADHC|ENSG00000168288.13|chr2	348	463	314	323	339	250	0.233549586228548	0.507135469206938	5646	0.160577545707224	0.134795827546618	1111.06660162775	1.19126495700833
RND3|ENSG00000115963.14|chr2	436	644	397	730	571	602	0.0169242324711061	0.099841494530902	1933	0.989276877141426	0.414209403977576	123.117084193002	2.38834963098758
RBM43|ENSG00000184898.7|chr2	19	9	10	18	7	0	0.0148731704903645	0.0914134158019196	1849	2.52246547152233	1.03572757106386	23.9961850810365	2.43545266341741
NMI|ENSG00000123609.11|chr2	0	10	24	16	0	0	0.787537198805523	0.911890155075839	11428	-0.246136573430657	0.913274146105161	22.0097503557596	-0.269510063851424
TNFAIP6|ENSG00000123610.5|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
RIF1|ENSG00000080345.18|chr2	52	151	147	203	144	86	0.414520995965953	0.681963622836626	7848	0.359068560902657	0.440054669926718	88.8572779776915	0.815963527809971
NEB|ENSG00000183091.21|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
ARL5A|ENSG00000162980.17|chr2	292	199	180	121	89	68	0.935388709894331	0.975355177263021	12790	0.0275776784173675	0.340183992380414	307.227953565283	0.0810669491659339
CACNB4|ENSG00000182389.20|chr2	23	4	3	0	0	0	0.0645193970954452	0.240016401892234	3170	1.5592220519937	0.843473037894065	29.9548531905017	1.84857367330517
STAM2|ENSG00000115145.10|chr2	47	56	39	17	1	0	0.253119447127553	0.529370373006983	5902	0.865891372939129	0.75768933688896	39.1300395441188	1.14280527754877
FMNL2|ENSG00000157827.20|chr2	24	44	58	60	43	21	0.0901523394608348	0.294237462326863	3644	1.06370862180576	0.627706815413697	82.660878559258	1.69459466694608
PRPF40A|ENSG00000196504.21|chr2	458	402	466	230	307	414	0.393764054620588	0.667127744375166	7579	0.124480009484842	0.145964336208821	815.869230347204	0.852811123031846
ARL6IP6|ENSG00000177917.12|chr2	50	87	79	47	24	75	0.936680393424462	0.975766264668132	12802	-0.0428205600051003	0.539010929158459	89.7261318353241	-0.0794428418584289
RPRM|ENSG00000177519.4|chr2	329	373	289	490	473	276	0.297658842365004	0.57799173219537	6464	0.393501202199528	0.377833562559944	151.66673498172	1.04146704049643
GALNT13|ENSG00000144278.15|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
KCNJ3|ENSG00000162989.5|chr2	0	0	7	0	0	0	1	1	16415.5	NA	NA	0	NA
NR4A2|ENSG00000153234.16|chr2	32	55	12	54	51	26	0.658705913647714	0.847252147336928	10202	0.63355382828007	1.43435146788854	11.5508574204978	0.441700547225502
GPD2|ENSG00000115159.16|chr2	81	104	46	63	61	8	0.0438856657124406	0.188072036235768	2721	0.676805804197169	0.335853570526036	236.905985391822	2.01518120869494
GALNT5|ENSG00000136542.9|chr2	0	5	0	0	0	0	0.293889698597253	1	6422	4.13455132391693	3.93906772535444	1.48045838276834	1.04962686914577
ERMN|ENSG00000136541.15|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CYTIP|ENSG00000115165.10|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
ACVR1C|ENSG00000123612.16|chr2	0	12	8	0	0	0	0.00843123855348602	0.0623658011863047	1528	-4.57326116792199	1.73604796285013	8.90312127608938	-2.63429425095717
ACVR1|ENSG00000115170.16|chr2	54	89	54	61	82	17	0.308611802048824	0.588548207313685	6608	1.00078384336642	0.982953833741817	21.2528878623579	1.01813921367673
UPP2|ENSG00000007001.13|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CCDC148|ENSG00000153237.18|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PKP4|ENSG00000144283.23|chr2	128	117	111	25	115	10	0.253439975102074	0.529709377084864	5905	0.353843677305374	0.309836434593748	251.079011388871	1.14203378879352
DAPL1|ENSG00000163331.12|chr2	5	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
TANC1|ENSG00000115183.15|chr2	38	37	46	31	29	25	0.748528766024166	0.895021338017265	11054	0.320073736736996	0.998421077498423	24.5141108667331	0.320579907566606
WDSUB1|ENSG00000196151.11|chr2	38	20	7	17	32	69	0.747437362503521	0.89452064864802	11044	0.229901751983234	0.713935723912537	31.7739167375165	0.322020238353277
BAZ2B|ENSG00000123636.19|chr2	8	27	3	22	5	0	0.123440494138664	0.354132051804707	4184	2.3707299165696	1.53894344179002	11.4483925022569	1.54049190645505
MARCHF7|ENSG00000136536.15|chr2	292	391	274	292	230	39	0.01000473684373	0.0700883750823398	1616	1.30390846071781	0.506241372760569	118.444822390091	2.57566554390351
CD302|ENSG00000241399.7|chr2	24	12	4	22	24	0	0.58993790083	0.808581713790628	9547	-0.303941219387075	0.563975771894359	87.9387041113292	-0.538926022240558
LY75|ENSG00000054219.11|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PLA2R1|ENSG00000153246.13|chr2	0	0	0	0	0	0	0.857221336264943	1	12046.5	-0.73412768554571	4.0804728567969	0.130227472799149	-0.179912405083853
ITGB6|ENSG00000115221.12|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
TANK|ENSG00000136560.14|chr2	98	42	20	19	33	2	0.154689149408371	0.402433768267601	4655	1.26155904781568	0.886447851625485	20.6848889448112	1.42316216966667
PSMD14|ENSG00000115233.12|chr2	391	488	264	430	352	259	0.0729970996350524	0.25951719577894	3334	0.274251631152875	0.152969746791279	921.851207671062	1.79284882733761
TBR1|ENSG00000136535.15|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
DPP4|ENSG00000197635.11|chr2	0	0	6	0	0	0	0.83410228038826	0.933952543214469	11807	-0.458983063099785	2.19144420673553	7.00064046985513	-0.209443188966014
GCG|ENSG00000115263.15|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
FAP|ENSG00000078098.15|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
IFIH1|ENSG00000115267.10|chr2	0	9	0	7	0	1	0.619031927962199	0.826173603461275	9836	0.654750843239708	1.31681574448572	9.1022260033467	0.497222824059883
GCA|ENSG00000115271.11|chr2	47	55	41	116	24	67	0.782124188404789	0.910018248700199	11374	0.119208609030188	0.431053270466379	110.624926619534	0.276551918748257
KCNH7|ENSG00000184611.13|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
FIGN|ENSG00000182263.14|chr2	46	47	87	23	46	1	0.163201124611091	0.412618328025441	4790	1.27633143671321	0.915335919794725	27.5010001756312	1.39438583050411
GRB14|ENSG00000115290.11|chr2	13	32	3	14	0	0	0.787849139462611	0.911890155075839	11434	0.171982697736143	0.639092216182445	44.7815129914212	0.269104666558865
COBLL1|ENSG00000082438.18|chr2	42	69	40	21	21	78	0.184080389083514	0.443515928975608	5035	0.855834228887385	0.64430994551034	48.2375681113917	1.32829585334043
SLC38A11|ENSG00000169507.10|chr2	0	0	0	0	0	0	0.342449691478709	1	6973.5	-3.73820206629907	3.93770131680938	1.30227472799149	-0.949336114027064
SCN3A|ENSG00000153253.19|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
SCN2A|ENSG00000136531.19|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
CSRNP3|ENSG00000178662.16|chr2	32	68	70	10	16	0	0.537153583567905	0.773642235423943	9037	0.911820607737291	1.47753458035225	13.1801000590624	0.617123023624873
GALNT3|ENSG00000115339.14|chr2	14	30	13	1	2	0	0.292259960568662	0.571729440247534	6406	-0.765811290778529	0.727144081513212	32.9682331721536	-1.0531768190767
TTC21B|ENSG00000123607.16|chr2	7	14	9	2	20	21	0.00133386727973819	0.0168732718865315	894	1.68051875650489	0.523755862569744	60.8347675257156	3.20859178217046
SCN1A|ENSG00000144285.23|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
SCN9A|ENSG00000169432.19|chr2	0	1	0	0	0	0	0.493102427101842	0.74076641271989	8657	0.904242630719322	1.31932505190994	19.077118757284	0.685382748861082
SCN7A|ENSG00000136546.17|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
B3GALT1|ENSG00000172318.6|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
STK39|ENSG00000198648.12|chr2	47	43	13	33	28	0	0.350198403714581	0.629633346201621	7092	0.34631218573845	0.370702750505875	214.444844823067	0.934204521724911
CERS6|ENSG00000172292.15|chr2	180	200	151	104	98	54	0.643430029384873	0.839189957969207	10069	0.103040052589272	0.222592749599237	453.572841473557	0.462908395600432
NOSTRIN|ENSG00000163072.16|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
SPC25|ENSG00000152253.9|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
G6PC2|ENSG00000152254.11|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
ABCB11|ENSG00000073734.10|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
DHRS9|ENSG00000073737.17|chr2	0	0	0	0	0	0	0.215426073116257	1	5425.5	-4.61604999899813	3.72627976824983	2.4076360015612	-1.23878245491111
LRP2|ENSG00000081479.15|chr2	11	10	29	15	7	0	0.911966670296709	0.966674606036427	12581	0.0951449265452479	0.860586540794241	26.2038393482173	0.110558232130191
BBS5|ENSG00000163093.12|chr2	10	10	14	24	40	0	0.284079099412121	0.562045230100012	6310	1.6719674062532	1.56083455474382	10.1074377187521	1.0712009169528
ENSG00000251569|ENSG00000251569.1|chr2	1	15	0	0	0	0	0.857221336264943	1	12107	-0.73412768554571	4.0804728567969	0.160509066770747	-0.179912405083853
KLHL41|ENSG00000239474.7|chr2	1	15	0	0	0	0	0.39981765453991	1	7668	-3.32394970221896	3.94793252006336	0.978904756299687	-0.84194693939845
FASTKD1|ENSG00000138399.18|chr2	32	80	91	53	88	11	0.548851748715539	0.78284691860687	9150	0.257268471393097	0.42915154279044	91.2031411971399	0.599481641660379
PPIG|ENSG00000138398.17|chr2	237	262	131	168	188	234	0.00566690806228379	0.0481495591858507	1331	1.06179584358613	0.383810734770549	112.699912903302	2.76645686895885
CFAP210|ENSG00000154479.13|chr2	0	0	0	0	0	0	1	1	16415.5	NA	NA	0	NA
PHOSPHO2|ENSG00000144362.12|chr2	50	8	21	12	66	0	0.748362748512398	0.894917449817776	11053	-0.325987044146193	1.01617238846707	20.6720834321654	-0.320798958765212
KLHL23|ENSG00000213160.10|chr2	568	665	554	313	359	249	0.00729437070452313	0.056892173406234	1449	0.637707540992943	0.237675867496035	460.940921230005	2.68309756354874
SSB|ENSG00000138385.16|chr2	527	360	435	416	415	236	0.00559775652971786	0.0477053719627576	1327	0.37452143947549	0.13518395726903	1639.26461827994	2.77045773064739
METTL5|ENSG00000138382.15|chr2	413	591	447	299	314	298	0.00547115711945233	0.0469092614585947	1319	-0.481816864818095	0.173446483430043	674.448166250036	-2.77789929948293
UBR3|ENSG00000144357.18|chr2	19	28	13	16	22	7	0.993707395106081	0.997489780670842	13275	0.00521108496573875	0.660744033156632	52.0108786313629	0.00788669243192915
MYO3B|ENSG00000071909.19|chr2	0	0	0	0	0	0	0.857221336264943	1	12046.5	-0.73412768554571	4.0804728567969	0.130227472799149	-0.179912405083853
SP5|ENSG00000204335.4|chr2	0	16	0	0	0	0	0.857221336264943	1	12046.5	-0.73412768554571	4.0804728567969	0.130227472799149	-0.179912405083853
ERICH2|ENSG00000204334.8|chr2	0	0	0	0	0	0	0.924344340164738	0.971614750760219	12693	-0.165394427922668	1.74167518563151	9.17777583385535	-0.0949628434091162
GAD1|ENSG00000128683.14|chr2	0	13	12	45	7	0	0.415468645970937	0.682728119338176	7856	1.08674993634046	1.33456899789638	16.0162344688642	0.814307793792195
GORASP2|ENSG00000115806.13|chr2	595	538	622	685	574	452	6.99499434565526e-07	3.4394083067398e-05	230	1.07042525244464	0.215746185074351	492.194774506133	4.96150257338618
TLK1|ENSG00000198586.14|chr2	52	71	32	42	35	23	0.407549033179119	0.676695348146037	7762	0.507819067227049	0.613149210586647	64.9395161444714	0.828214500580013
METTL8|ENSG00000123600.21|chr2	180	152	94	143	54	47	0.00780895225588726	0.0594289643753897	1486	0.787279441711326	0.295945188704155	266.707893565971	2.66022044540937
DCAF17|ENSG00000115827.14|chr2	2	19	9	7	33	60	0.353988195972171	0.633426029786279	7126	1.10341287446285	1.19045765632693	25.4955707685662	0.926881244871283
CYBRD1|ENSG00000071967.12|chr2	2	19	7	1	3	0	0.507865774251367	0.751269331721217	8797	-0.4809464285029	0.726324646299256	31.1133835159823	-0.662164544399535
DYNC1I2|ENSG00000077380.16|chr2	17	43	16	6	11	12	0.977819547141101	0.992386364409828	13131	0.0133283360976375	0.479390739543339	131.875835602082	0.0278026565768332
SLC25A12|ENSG00000115840.14|chr2	24	39	34	3	6	1	0.232193577626767	0.505805700707138	5626	1.40629890910128	1.17708774550788	27.7573373906728	1.19472733827036
HAT1|ENSG00000128708.13|chr2	107	107	132	161	161	118	0.143527730763327	0.386465501714873	4485	0.348231293570772	0.23806137509658	421.326929121953	1.46277947621489
METAP1D|ENSG00000172878.14|chr2	6	13	2	32	0	0	0.647105160432561	0.841742840962943	10095	-0.367237388871691	0.802200665570752	25.6294483312239	-0.457787439767839
DLX1|ENSG00000144355.15|chr2	114	148	140	124	41	125	0.230813597882427	0.50498567971607	5603	1.17433247971826	0.980026789051133	20.1809611883026	1.19826569318095
DLX2|ENSG00000115844.11|chr2	752	1124	914	1158	1005	1092	0.0386959570482554	0.172871474436825	2586	1.03362776525319	0.499963721325843	104.561759388097	2.06740553596996
PDK1|ENSG00000152256.14|chr2	40	85	17	9	1	26	0.85506256778138	0.943208196637787	11986	-0.0633258164542002	0.346681423971341	186.145845402763	-0.182662848585262
RAPGEF4|ENSG00000091428.18|chr2	0	3	0	9	0	0	0.404428638637229	1	7729	-3.29229829150608	3.94884038379882	0.96305440062448	-0.833738001924215
MAP3K20|ENSG00000091436.17|chr2	26	74	84	37	39	49	0.253575111120612	0.529709377084864	5908	0.681552270218164	0.596958096854184	59.6065019624632	1.14170872932249
CDCA7|ENSG00000144354.15|chr2	333	365	294	268	219	178	0.00871428882704916	0.0637450791365453	1547	0.857335342319725	0.326844989556855	191.426433853113	2.62306405088884
SP3|ENSG00000172845.18|chr2	184	208	91	94	132	74	0.825687472016432	0.93032774943049	11735	0.366070405769982	1.66217440803493	81.4135090702349	0.220235857320629
OLA1|ENSG00000138430.16|chr2	293	284	162	171	136	94	0.21068892460895	0.478666591273641	5369	-0.193490385574671	0.154585371451311	952.316135185598	-1.25167332301953
