rownames(readCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
CR1|ENSG00000203710.12|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
CR1L|ENSG00000197721.17|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
CD34|ENSG00000174059.17|chr1	5	3	0	0	0	5	0.701859826728799	1	10553	-0.969598593532128	2.53283820666047	2.09200598627716	-0.382811105337256
PLXNA2|ENSG00000076356.7|chr1	120	120	82	136	82	118	0.603784123144301	1	9408	-0.165293322851612	0.318504821104229	107.06738938811	-0.518966470518574
LAMB3|ENSG00000196878.15|chr1	14	1	2	9	3	0	0.623732999158177	1	9620	-0.808967618248063	1.64904741350413	4.94881522187927	-0.490566621446653
G0S2|ENSG00000123689.6|chr1	83	79	70	86	83	88	0.869799821639982	1	12586	-0.0587608821413636	0.358488759547334	80.6975909440813	-0.163912760376536
HSD11B1|ENSG00000117594.10|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
TRAF3IP3|ENSG00000009790.15|chr1	0	0	0	2	0	0	0.708548033362949	1	10664	1.51434437831573	4.05114148076564	0.274506519341473	0.37380683580311
C1orf74|ENSG00000162757.4|chr1	129	176	76	139	161	221	0.386694896793995	1	6632	0.279931606426207	0.32338605013657	145.606892240611	0.865626721709202
ENSG00000289700|ENSG00000289700.1|chr1	129	135	62	119	129	193	0.478985885169668	1	7870	0.245822557945684	0.347239088738941	124.040999336683	0.707934578559203
IRF6|ENSG00000117595.13|chr1	0	0	0	0	3	0	0.531994843151808	1	8502	2.48799893097939	3.98102912243512	0.556154872034587	0.624963760490536
UTP25|ENSG00000117597.18|chr1	312	276	208	304	300	354	0.786847349083836	0.930512191589845	11566	0.0621031528538456	0.22966569163325	287.804077115359	0.270406748226972
SYT14|ENSG00000143469.21|chr1	33	42	20	75	49	71	0.0788928696327796	1	2333	0.832610287987001	0.473842315404921	45.7909929394397	1.75714633522229
SERTAD4|ENSG00000082497.12|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
HHAT|ENSG00000054392.13|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
KCNH1|ENSG00000143473.13|chr1	1	0	1	0	0	0	0.591181253397076	1	9226.5	-2.16457115676163	4.02992048768498	0.381714981756915	-0.537125028490348
ENSG00000284299|ENSG00000284299.1|chr1	0	22	29	25	25	47	0.432762983796709	1	7231	0.706475975677665	0.900574699437795	23.6591117575811	0.784472377603656
RCOR3|ENSG00000117625.14|chr1	41	53	37	72	70	94	0.114725584005273	1	2904	0.651013472545226	0.412738100815935	58.9805744575288	1.57730403676871
TRAF5|ENSG00000082512.15|chr1	27	85	43	68	85	136	0.106142328462976	1	2763	0.73962901495648	0.457754118085752	70.5246661928784	1.61577795968167
RD3|ENSG00000198570.7|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
SLC30A1|ENSG00000170385.10|chr1	195	243	231	388	225	263	0.501222676597753	0.778158134899197	8104	0.157987989164865	0.234902906186024	250.260843636691	0.672567196932642
NEK2|ENSG00000117650.13|chr1	264	234	339	403	217	418	0.888483813301095	0.966809668164239	12816	0.0357767911246574	0.25514213359778	305.172235239773	0.140222983245323
LPGAT1|ENSG00000123684.13|chr1	820	1128	873	1314	909	1307	0.416673713850829	0.720842501898183	6998	0.106178850967428	0.130729044096241	1027.08501972208	0.812205517920417
INTS7|ENSG00000143493.13|chr1	242	472	426	416	380	411	0.629955642191254	0.854726720617741	9699	-0.111496868760337	0.231422475207995	385.191620573639	-0.481789284554698
DTL|ENSG00000143476.18|chr1	650	606	378	660	470	764	0.958015246483177	0.988431981623876	13590	-0.0104111808386947	0.197764291538205	572.164368611113	-0.0526443917540263
PPP2R5A|ENSG00000066027.12|chr1	248	224	236	358	325	453	0.0391220657462091	0.221490045762472	1528	0.455028819959259	0.220577182852946	299.350874799927	2.06290067754931
PACC1|ENSG00000065600.13|chr1	216	170	137	221	211	194	0.838453789408748	0.947754797976612	12138	0.0566683796198721	0.277961040296998	189.570558072837	0.203871663306925
NENF|ENSG00000117691.10|chr1	2539	2722	1765	2873	2286	3561	0.485697393075281	0.764448488265131	7950	0.0976369257651405	0.140047829866102	2549.99184810511	0.697168430660369
ATF3|ENSG00000162772.17|chr1	253	270	249	369	375	342	0.178313111111579	0.487991446106855	3861	0.296328911214631	0.220160582158818	304.999626073951	1.34596714956389
GARIN4|ENSG00000162771.8|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
BATF3|ENSG00000123685.9|chr1	422	416	297	618	233	536	0.911662894363481	0.97604892769368	13076	0.0269969084076987	0.243344076489505	403.200869644384	0.110941300882099
NSL1|ENSG00000117697.15|chr1	1461	1866	1425	2428	1893	2285	0.015327351052815	0.137799786409346	921	0.268382896847333	0.110693877446056	1839.17943223814	2.42455050847886
TATDN3|ENSG00000203705.11|chr1	304	344	234	283	273	327	0.361044565989618	0.678438463037235	6245	-0.194512823037812	0.212960181462813	290.027660568973	-0.91337648992273
SPATA45|ENSG00000185523.6|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
FLVCR1|ENSG00000162769.13|chr1	293	247	256	378	313	340	0.493823037516576	0.771525324142778	8025	0.150236395367405	0.219566511958669	299.803721638826	0.68424093468172
VASH2|ENSG00000143494.16|chr1	89	92	64	132	125	104	0.27613054008522	1	5161	0.372288250135725	0.341845869855596	98.9707106146309	1.08905294158735
ANGEL2|ENSG00000174606.14|chr1	137	113	120	188	175	172	0.273056999979933	1	5114	0.317386748826418	0.289573303207053	148.545958957358	1.09604975773432
RPS6KC1|ENSG00000136643.12|chr1	91	76	68	107	98	88	0.755511111231967	1	11179	0.112038295413475	0.359811131169706	87.0098653899828	0.311380848750429
PROX1|ENSG00000117707.16|chr1	12	74	56	58	49	88	0.631097364955811	1	9713	0.266943132787808	0.555919730659957	53.7981547027709	0.480182871852573
SMYD2|ENSG00000143499.14|chr1	653	875	712	975	763	827	0.950075047836105	0.986395808484429	13504	-0.00928064450209595	0.148223427806864	785.078715165924	-0.0626125346000544
PTPN14|ENSG00000152104.12|chr1	694	702	661	1045	826	1087	0.0398349211292807	0.222656599017778	1551	0.299914831056429	0.145911534956555	814.313446186563	2.05545662408203
CENPF|ENSG00000117724.14|chr1	405	383	317	429	448	429	0.825244504269604	0.941036068717134	11998	0.0457533006237274	0.207211625205491	397.801477399816	0.220804699438818
KCNK2|ENSG00000082482.14|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
KCTD3|ENSG00000136636.13|chr1	251	381	324	450	327	423	0.55897405288027	0.80959099087494	8864	0.114402827053242	0.195772536973067	349.697271068512	0.584366064934738
USH2A|ENSG00000042781.14|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
ESRRG|ENSG00000196482.18|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
GPATCH2|ENSG00000092978.11|chr1	24	60	18	80	35	69	0.215316856955367	1	4361	0.660780553870938	0.533284348955099	44.2642584767174	1.23907734244527
RRP15|ENSG00000067533.6|chr1	1027	1098	798	1209	739	1202	0.405403230031988	0.71261864121387	6863	-0.123219487433848	0.148098543368222	985.91609428036	-0.832010124012383
TGFB2|ENSG00000092969.12|chr1	9	48	2	23	4	19	0.608618734467999	1	9455	-0.514203492178708	1.00421324484867	15.9295369497186	-0.512046116516015
LYPLAL1|ENSG00000143353.12|chr1	368	408	317	523	456	428	0.384902733757559	0.695471608708198	6609	0.167152590454403	0.192373010057131	408.930928694162	0.868898347043391
ZC3H11B|ENSG00000215817.9|chr1	0	5	0	8	0	0	0.859345061783151	1	12481	0.519587446929169	2.93207774300432	1.85760991856794	0.177207936647948
SLC30A10|ENSG00000196660.12|chr1	68	77	53	106	98	143	0.0834067833422765	1	2410	0.60299633648435	0.348300679690025	87.5269366937814	1.7312522531423
EPRS1|ENSG00000136628.18|chr1	1425	1451	1166	1493	1199	1382	0.127631301491649	0.410488178052693	3120	-0.200807778391374	0.13180606138589	1335.15060890374	-1.52350943712268
BPNT1|ENSG00000162813.18|chr1	738	985	765	1209	741	940	0.978917889174866	0.993650848416168	13849	-0.00388299603346595	0.146940790962875	871.904894412901	-0.0264255827671909
IARS2|ENSG00000067704.10|chr1	927	1007	775	931	633	943	0.0167254806050767	0.143382430920384	969	-0.336964954585407	0.140831160424862	854.751154414439	-2.39268748172524
RAB3GAP2|ENSG00000118873.17|chr1	270	339	234	312	260	330	0.603315080293001	0.839140223539654	9404	-0.104873055051257	0.201818988592791	284.907231188424	-0.519639186493291
MARK1|ENSG00000116141.17|chr1	113	137	45	107	69	118	0.602136481162958	1	9396	-0.204179354461893	0.39165042430951	94.7412568498906	-0.52133060961664
C1orf115|ENSG00000162817.7|chr1	236	204	166	285	208	330	0.383751549887981	0.695081603274861	6582	0.209123979361514	0.240095102949365	231.448423386441	0.871004767663325
MTARC1|ENSG00000186205.14|chr1	644	966	554	798	655	764	0.352995351234262	0.670772596491865	6142	-0.151252271423956	0.162847857874936	713.269222314256	-0.92879497094837
HLX|ENSG00000136630.13|chr1	66	100	18	91	40	63	0.830054543131922	1	12053	-0.112324624900506	0.523336810914911	59.7822701557844	-0.214631614971126
DUSP10|ENSG00000143507.18|chr1	14	31	17	17	18	33	0.94194395385281	1	13408	-0.0506184524371691	0.69505265663328	20.941993807038	-0.0728267879477743
HHIPL2|ENSG00000143512.13|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
TAF1A|ENSG00000143498.18|chr1	16	32	5	49	15	32	0.377014861691908	1	6503	0.65977866359001	0.74685453309192	22.8245719466305	0.883409866789691
MIA3|ENSG00000154305.18|chr1	83	161	107	205	185	184	0.0677152786678184	1	2121	0.53269027145447	0.291582017295008	149.087519618988	1.8268968587165
AIDA|ENSG00000186063.13|chr1	130	154	134	265	99	181	0.685225187511047	1	10359	0.12367228296126	0.305105043087917	153.937974960414	0.405343293278911
BROX|ENSG00000162819.12|chr1	281	393	235	427	440	474	0.0627860665665716	0.282945332941399	2017	0.384153472422357	0.206456043641967	364.733982996416	1.86070344876196
FAM177B|ENSG00000197520.11|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
DISP1|ENSG00000154309.9|chr1	2	15	43	23	35	19	0.856325707030036	1	12442	0.158289243843169	0.874268556374468	23.3453944032941	0.181053341892545
TLR5|ENSG00000187554.14|chr1	0	1	0	3	0	9	0.249685556006383	1	4813	3.14813978227462	2.73486485625577	1.82741106326292	1.15111347278222
SUSD4|ENSG00000143502.16|chr1	15	39	20	48	11	33	0.912443760533193	1	13083	0.0742695151353805	0.675443641950575	25.8859568664352	0.109956642601449
CCDC185|ENSG00000178395.7|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
CAPN8|ENSG00000203697.12|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
CAPN2|ENSG00000162909.18|chr1	1217	1245	1197	1419	1188	1396	0.513446514907064	0.787619304757344	8230	-0.0885740186551721	0.135541932561012	1260.80490315039	-0.653480564882029
TP53BP2|ENSG00000143514.18|chr1	310	370	194	442	288	420	0.392847960488704	0.701400178710529	6703	0.186830539192745	0.218652329550305	324.96599466358	0.854463977479652
FBXO28|ENSG00000143756.12|chr1	336	518	259	453	474	577	0.219209182044824	0.539428121611423	4415	0.264147811711512	0.214993139224044	423.011073243527	1.22863367949729
DEGS1|ENSG00000143753.13|chr1	1678	2154	1806	1672	632	1873	0.0406502174907384	0.225715454174597	1562	-0.702811801298909	0.343324030504598	1602.33888099938	-2.04708013087798
NVL|ENSG00000143748.18|chr1	399	557	307	573	371	525	0.944628506702464	0.984517137303375	13444	0.0131140425327283	0.188817118814397	440.134852530904	0.0694536735602832
CNIH4|ENSG00000143771.12|chr1	5729	6918	5090	7357	6245	6891	0.925804855753147	0.980246465201356	13214	0.00974149216686536	0.104607474469656	6248.37846973747	0.0931242458175499
WDR26|ENSG00000162923.17|chr1	825	822	713	913	814	1139	0.690243695714773	0.882841548608653	10416	0.0617475689864631	0.154940508345688	854.112223882649	0.398524373294929
CNIH3|ENSG00000143786.8|chr1	74	100	72	130	77	102	0.744228421727718	1	11065	0.110000909989704	0.337158261140604	89.4887178782481	0.326258978847415
DNAH14|ENSG00000185842.16|chr1	0	0	0	0	6	0	0.371420362133022	1	6398.5	3.49872999740685	3.91437399614729	1.11230974406917	0.893815971813236
LBR|ENSG00000143815.15|chr1	3328	3991	3029	4101	3737	4419	0.685896169220412	0.880587522922757	10364	0.0446530424054011	0.110409678425702	3694.53137349393	0.404430508648293
ENAH|ENSG00000154380.19|chr1	2775	3795	3029	4684	3999	4776	0.00857278090953486	0.0996903459509512	688	0.285683247867019	0.108681131961918	3740.15291881438	2.62863702935229
SRP9|ENSG00000143742.14|chr1	2401	3319	2723	3380	2484	3657	0.690996387175097	0.883006824022472	10428	-0.0448227123737151	0.112760617379122	2921.3701059763	-0.397503254376596
EPHX1|ENSG00000143819.13|chr1	135	210	169	149	119	146	0.0543391595904663	1	1849	-0.516713290980431	0.268544824558082	153.072050548009	-1.9241230652303
LEFTY1|ENSG00000243709.1|chr1	4	0	0	0	6	0	0.849108461217528	1	12251.5	0.562065626730256	2.9542582865266	1.85965450442045	0.190256088742698
ENSG00000255835|ENSG00000255835.1|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
PYCR2|ENSG00000143811.20|chr1	2055	2183	1729	2552	2054	2336	0.941948539285726	0.98430329721738	13409	0.00866599373472597	0.119004005386533	2111.588441939	0.072821025700591
LEFTY2|ENSG00000143768.13|chr1	2	0	2	0	0	0	0.424303103125027	1	7103.5	-3.17081944034748	3.96859361755646	0.76342996351383	-0.79897811313314
SDE2|ENSG00000143751.10|chr1	416	447	437	865	562	580	0.0333206059046862	0.204263063173844	1397	0.400218810265694	0.188055182593235	535.143766891944	2.12819878052163
H3-3A|ENSG00000163041.13|chr1	122	173	135	163	118	155	0.477763870598265	1	7858	-0.191859029770484	0.270260651135259	141.396275929279	-0.709903676190223
ACBD3|ENSG00000182827.9|chr1	505	880	617	935	647	902	0.519951866711968	0.790621833962486	8315	0.105687058229363	0.164258374609928	723.209393193483	0.64341960329477
MIXL1|ENSG00000185155.12|chr1	34	2	0	1	4	0	0.078556690092109	1	2324	-2.97056571959367	1.68866328587284	7.53505708851681	-1.7591225820121
LIN9|ENSG00000183814.16|chr1	239	266	161	257	157	205	0.193350568371634	0.508473286655845	4067	-0.321432324521681	0.247116690319094	209.603785255975	-1.30073093851583
PARP1|ENSG00000143799.14|chr1	6592	8062	6414	7467	4760	8023	0.00833741309306728	0.0986138129837756	676	-0.288505118528039	0.10936130914943	6740.18132085168	-2.63809130278268
STUM|ENSG00000203685.11|chr1	8	0	0	4	0	12	0.77588994378481	1	11465	0.597044712026467	2.09725458150621	3.72868191406589	0.284679178813705
ITPKB|ENSG00000143772.11|chr1	17	55	43	46	47	35	0.993250452504572	1	14000	-0.00470502060661471	0.556188178376145	39.8526915843669	-0.00845940419005588
PSEN2|ENSG00000143801.18|chr1	159	234	222	253	207	241	0.928774798961054	0.982186470642985	13246	-0.0215923626888578	0.241561946993429	215.458332649673	-0.0893864408595995
COQ8A|ENSG00000163050.18|chr1	506	500	536	486	458	510	0.106992179493015	0.37506489593481	2773	-0.300901886001037	0.186679792202201	498.175545877119	-1.61186105068682
CDC42BPA|ENSG00000143776.20|chr1	193	200	192	256	163	190	0.485099528472858	0.764138292075494	7933	-0.1724300286303	0.24699047817603	195.892888640858	-0.698124194518177
ZNF678|ENSG00000181450.18|chr1	217	261	279	299	246	311	0.838414953952998	0.947754797976612	12137	-0.0453466974886764	0.222373457011246	264.877385059335	-0.203921358682584
SNAP47|ENSG00000143740.15|chr1	790	1192	768	1271	890	1247	0.455036628594066	0.745764837181695	7511	0.104441618288282	0.139806399479162	992.891232932784	0.747044617967214
JMJD4|ENSG00000081692.13|chr1	734	968	716	924	607	977	0.241364986917912	0.563441467867176	4708	-0.169514044153469	0.14468818134387	800.26249352057	-1.17158182913777
PRSS38|ENSG00000185888.6|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
WNT9A|ENSG00000143816.8|chr1	9	24	9	64	25	19	0.107523947574255	1	2784	1.17519384150513	0.730195895838288	23.1681538043747	1.60942268808012
WNT3A|ENSG00000154342.6|chr1	9	8	2	14	14	0	0.738164524898217	1	11002	0.447787726879171	1.33953888546149	7.80355247827022	0.334284978016821
ARF1|ENSG00000143761.17|chr1	11974	13607	11304	14469	10613	14788	0.221646062402141	0.541774055364621	4456	-0.109810452992237	0.0898492832304894	12537.0820578143	-1.22216281581837
C1orf35|ENSG00000143793.13|chr1	821	1133	751	1223	623	1175	0.663217866535719	0.873237817382441	10101	-0.0726745795473587	0.166885865063258	920.211309837591	-0.435474745088876
MRPL55|ENSG00000162910.19|chr1	3076	3679	2577	3286	2492	3329	0.0201578163690344	0.158142868895163	1066	-0.245081921935422	0.105484290916087	3016.24743815689	-2.32339734956729
GUK1|ENSG00000143774.17|chr1	2066	2432	1930	3042	945	2988	0.680455274764471	0.878393782702814	10303	-0.160441344990753	0.389570190135945	2143.85427692816	-0.41184194543932
GJC2|ENSG00000198835.4|chr1	0	9	27	24	6	15	0.990009994162894	1	13964	-0.0141536572931371	1.13039869543184	13.1415904587467	-0.0125209426995403
IBA57|ENSG00000181873.13|chr1	619	614	421	746	388	723	0.700366549882461	0.88775063737746	10534	-0.0751042912906771	0.195164432738603	566.812769940331	-0.384825709463514
OBSCN|ENSG00000154358.23|chr1	4	0	0	5	3	1	0.698763972431042	1	10512	0.898893653645091	2.32278556861267	2.13018087696291	0.386989511985806
TRIM11|ENSG00000154370.16|chr1	1034	1502	1313	1644	731	1525	0.19852485917411	0.513856567932987	4150	-0.233875736354021	0.181896082740218	1252.53701561784	-1.28576565713094
TRIM17|ENSG00000162931.12|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
H3-4|ENSG00000168148.4|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
H2AW|ENSG00000181218.6|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
H2BU1|ENSG00000196890.5|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
RNF187|ENSG00000168159.15|chr1	1	0	0	0	2	1	0.718995009036963	1	10799.5	1.41211251210078	3.92469044341705	0.69802105100091	0.359802265289315
RHOU|ENSG00000116574.6|chr1	0	0	0	0	8	0	0.265118340947553	1	5011	3.91431431983246	3.51256470795053	1.4830796587589	1.11437500666467
CCSAP|ENSG00000154429.11|chr1	426	576	384	764	510	843	0.0183391525728258	0.149164352297929	1027	0.393484657883217	0.166822792572489	559.707349785441	2.3586984237315
ACTA1|ENSG00000143632.15|chr1	0	0	0	11	0	0	0.255062304703726	1	4883.5	3.95757042358173	3.47722839887453	1.5097858563781	1.13813933673804
NUP133|ENSG00000069248.12|chr1	970	1043	807	1219	1080	1273	0.326608543038396	0.645540812013029	5823	0.13586360089935	0.13849952982423	1043.22318255032	0.980967957593608
ABCB10|ENSG00000135776.5|chr1	291	403	278	408	316	619	0.252431524075595	0.571461265427059	4859	0.247508414628515	0.216265913729608	371.26592117935	1.1444633616094
TAF5L|ENSG00000135801.11|chr1	453	561	395	748	571	566	0.205893268301805	0.520858594283644	4261	0.221002272885591	0.1747138070323	534.834332241998	1.26493879699349
URB2|ENSG00000135763.10|chr1	496	766	549	798	386	727	0.408111323573348	0.715292190216368	6888	-0.156791304412206	0.189539604747893	599.195812038799	-0.827221860152948
GALNT2|ENSG00000143641.10|chr1	607	857	705	918	364	832	0.159472541585516	0.46078771872918	3583	-0.293710416683474	0.208771999579117	691.295638001158	-1.40684774431242
PGBD5|ENSG00000177614.11|chr1	210	222	144	307	231	266	0.243321273160591	0.564824801880685	4729	0.274739976379695	0.23547954927084	223.334720029158	1.16672542150868
COG2|ENSG00000135775.14|chr1	290	370	285	359	145	346	0.0999572755430421	0.359170363047245	2682	-0.407563306407631	0.247749693473763	290.670465430196	-1.64506078975549
AGT|ENSG00000135744.9|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
CAPN9|ENSG00000135773.13|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
C1orf198|ENSG00000119280.17|chr1	492	627	578	963	513	1006	0.0981721196257039	0.356056284168073	2655	0.299984575331811	0.181393223293389	668.349968876223	1.65378049899147
TTC13|ENSG00000143643.13|chr1	266	391	247	420	309	396	0.553945853044351	0.807454804592407	8813	0.11529684771404	0.194805000373891	327.767584073352	0.591857742320522
FAM89A|ENSG00000182118.8|chr1	1804	2107	1690	2221	1932	2232	0.894614490651258	0.967587312225798	12899	-0.015387381274426	0.116159630351855	1962.89566281128	-0.13246754683892
TRIM67|ENSG00000119283.16|chr1	0	0	0	0	0	4	0.524104846284139	1	8369.5	2.5345511369932	3.97869542933534	0.561659784893469	0.63703070064265
C1orf131|ENSG00000143633.13|chr1	372	402	334	541	351	467	0.704018215213256	0.889982742807473	10595	0.0679742615185711	0.178925812930637	400.561033359019	0.379901929214217
GNPAT|ENSG00000116906.13|chr1	794	758	513	734	825	1024	0.509333402994797	0.784597271092967	8183	0.128016847235324	0.19400136704228	760.945052722765	0.659876005963527
EXOC8|ENSG00000116903.7|chr1	229	316	268	358	332	368	0.379368466220234	0.690809116438613	6527	0.181244312895591	0.206179563513118	305.375875472215	0.879060513114625
SPRTN|ENSG00000010072.16|chr1	248	354	280	436	338	422	0.222254442056009	0.542464301967679	4464	0.231870498614685	0.189971318680993	336.437616871497	1.22055529342327
EGLN1|ENSG00000135766.9|chr1	481	515	360	595	506	630	0.395449594712448	0.703393729668277	6727	0.146687752014556	0.172619301328678	502.193602118236	0.849776073043266
ENSG00000287856|ENSG00000287856.1|chr1	120	156	137	176	154	214	0.4877071253597	1	7970	0.184490810962998	0.26585212311991	155.572408739667	0.693960269332832
TSNAX|ENSG00000116918.15|chr1	1935	2491	2068	2064	2174	2163	0.140356667955487	0.434974245527815	3295	-0.208216318706802	0.141214909252873	2132.99719258776	-1.47446413277757
DISC1|ENSG00000162946.23|chr1	28	15	2	27	20	15	0.763033688789369	1	11255	0.266549449951445	0.884079465165731	17.4196837807609	0.301499424490622
SIPA1L2|ENSG00000116991.12|chr1	166	219	234	291	257	254	0.50272985517129	0.778613582505783	8121	0.165158595372398	0.246431545643718	233.136245992345	0.670200703976341
MAP10|ENSG00000212916.6|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
NTPCR|ENSG00000135778.12|chr1	1796	1818	1778	2324	1550	2108	0.498699504666851	0.775833270952443	8079	-0.0857386476336931	0.126731569883178	1860.55493964463	-0.67653740668349
PCNX2|ENSG00000135749.19|chr1	74	121	127	152	134	228	0.162384271709592	1	3627	0.449853100700321	0.321991214065345	134.676101058655	1.39709743946314
MAP3K21|ENSG00000143674.11|chr1	268	180	176	355	322	242	0.213124163229117	0.532953044789769	4333	0.350000519652874	0.281120254777825	254.115064994782	1.24502064047106
KCNK1|ENSG00000135750.15|chr1	84	147	111	215	173	202	0.0339693437816966	1	1408	0.589861280084541	0.278179320809038	149.602418360976	2.12043540249156
SLC35F3|ENSG00000183780.13|chr1	0	0	0	1	0	0	0.853865958661269	1	12365.5	0.751574209360629	4.0804728567969	0.137253259670737	0.184188018334376
COA6|ENSG00000168275.16|chr1	2713	2886	2259	3099	2208	2764	0.108263218675786	0.377289588087484	2799	-0.180133335875983	0.112159326336454	2608.33431612902	-1.60604866095238
TARBP1|ENSG00000059588.10|chr1	186	324	147	328	174	376	0.446001679073663	0.739868714826984	7416	0.207233603078379	0.271925234262249	242.691818171578	0.762097727489754
IRF2BP2|ENSG00000168264.11|chr1	2346	2846	2179	3021	2245	3124	0.777348286240345	0.924968662646463	11481	-0.0289801322605046	0.102484286502114	2564.8013301115	-0.282776347961467
TOMM20|ENSG00000173726.11|chr1	5612	6506	4654	8006	6777	8161	0.0161180590494629	0.140872691161751	949	0.249864371046207	0.103840548451667	6444.99091835187	2.4062312340589
RBM34|ENSG00000188739.15|chr1	664	800	575	782	583	732	0.244297914180884	0.565682578185484	4743	-0.169175962041295	0.14530132510507	675.843169850445	-1.1643112127089
ARID4B|ENSG00000054267.22|chr1	55	122	97	91	94	101	0.749891368766804	1	11124	-0.117907071721185	0.369866703351842	91.8112211610766	-0.318782606416516
GGPS1|ENSG00000152904.11|chr1	627	559	479	809	606	792	0.279286311538942	0.600096769821201	5205	0.18064569344184	0.166967086354069	630.004514474468	1.08192397308033
TBCE|ENSG00000285053.1|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
TBCE|ENSG00000284770.2|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
B3GALNT2|ENSG00000162885.14|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
GNG4|ENSG00000168243.11|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
LYST|ENSG00000143669.16|chr1	0	6	2	13	6	12	0.198566301232484	1	4151	1.79117686383669	1.39321051968109	5.88283966724981	1.28564695610158
NID1|ENSG00000116962.15|chr1	492	674	470	724	613	760	0.302770742946155	0.623554181732846	5497	0.159608021420089	0.154882581114085	605.636037385491	1.03050982410038
GPR137B|ENSG00000077585.14|chr1	87	166	91	166	129	163	0.448206406622631	1	7450	0.228711199604123	0.301567251970747	128.793238944674	0.758408607398486
ERO1B|ENSG00000086619.15|chr1	95	97	108	132	144	121	0.53072947404244	1	8476	0.205707047167256	0.328137491084156	115.33534670515	0.626892850577989
EDARADD|ENSG00000186197.15|chr1	866	1235	895	854	451	1027	0.00110291978208363	0.026526428335515	298	-0.600606730984637	0.184073413840516	868.862917229539	-3.26286517131156
LGALS8|ENSG00000116977.19|chr1	205	348	231	331	383	358	0.223039360096975	0.543575955265926	4471	0.287318998903718	0.235800009439462	302.887273553288	1.21848595166186
HEATR1|ENSG00000119285.11|chr1	739	683	747	862	634	725	0.243062746183434	0.564824801880685	4726	-0.197269629316916	0.168987012101389	725.052763364672	-1.16736562688355
ACTN2|ENSG00000077522.15|chr1	14	3	0	6	6	11	0.894739097408359	1	12900	0.18448087381665	1.39430785783139	6.55185067650131	0.132310000822615
MTR|ENSG00000116984.15|chr1	871	1071	725	1254	949	1157	0.339841861507701	0.658246729377582	5996	0.128486282741693	0.134614223702477	977.230309239878	0.954477760282387
MT1HL1|ENSG00000244020.3|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
RYR2|ENSG00000198626.18|chr1	3	11	11	0	4	2	0.151581052993533	1	3459	-2.14313538244453	1.49454771090758	5.39762945109422	-1.43396919804125
ZP4|ENSG00000116996.10|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
CHRM3|ENSG00000133019.12|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
FMN2|ENSG00000155816.21|chr1	11	62	15	35	15	46	0.953923215578403	1	13545	-0.0408292245261275	0.706622441273828	28.4409455718315	-0.0577808206211576
GREM2|ENSG00000180875.5|chr1	0	9	0	22	3	7	0.288293500793187	1	5329	1.70300678587926	1.60377685475149	5.92588212251805	1.06187265443679
FH|ENSG00000091483.8|chr1	770	796	488	780	789	781	0.955251656777636	0.98777787826214	13560	0.0105458497108433	0.18793895908601	722.880811110226	0.0561131644132231
KMO|ENSG00000117009.12|chr1	0	0	0	0	0	0	1	1	16790.5	NA	NA	0	NA
