rownames(readCount)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
NCKAP5|ENSG00000176771.18|chr2	20	10	9	2	13	45	0.490091208731768	1	8915	0.600769452847634	0.870473770435065	16.539064526024	0.690163762829256
MGAT5|ENSG00000152127.9|chr2	392	378	393	299	328	304	0.00492877522549179	0.0315865274287419	1678	-0.412663731044888	0.146769119505976	348.718764733655	-2.81165229057659
TMEM163|ENSG00000152128.13|chr2	124	81	77	77	88	93	0.492254676670314	0.713220235651924	8936	-0.203022170031172	0.29563730846945	89.3180895368405	-0.686727162692158
ACMSD|ENSG00000153086.14|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
CCNT2|ENSG00000082258.13|chr2	423	418	323	565	500	527	0.0100160345073245	0.0540743280617256	2005	0.362567365426021	0.1407878113359	454.494974876821	2.57527524567441
MAP3K19|ENSG00000176601.14|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
RAB3GAP1|ENSG00000115839.19|chr2	509	460	519	600	655	560	0.110453196653038	0.292268931008676	4334	0.194099487620624	0.121604070743035	545.790939193344	1.59615945777656
ZRANB3|ENSG00000121988.18|chr2	44	48	32	79	84	60	0.0380229279610403	0.141344360366409	2991	0.75090298270285	0.361949423508811	56.8637492292898	2.07460748361869
R3HDM1|ENSG00000048991.17|chr2	189	212	252	248	170	237	0.673059644874154	0.836927851632114	11097	-0.0920823443187605	0.218229140157265	217.73147232476	-0.421952559829554
UBXN4|ENSG00000144224.17|chr2	765	752	738	887	867	839	0.269881948273595	0.513942518687996	6389	0.109298724195622	0.0990621868926117	802.389245829479	1.10333445711336
LCT|ENSG00000115850.10|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
MCM6|ENSG00000076003.5|chr2	1335	1344	1331	1590	1733	1412	0.0948584134031066	0.264211003077792	4091	0.144532693381774	0.086530556774258	1445.9894918418	1.67030814049692
DARS1|ENSG00000115866.11|chr2	2856	2357	2639	2891	2952	2439	0.833431420515464	0.926941907883798	12840	-0.01451772353372	0.0690325081966486	2667.17266593404	-0.210302709737335
CXCR4|ENSG00000121966.8|chr2	60	55	33	40	13	33	0.0783061674412914	0.232197034312814	3812	-0.865630927506456	0.491668204096749	38.9995265617794	-1.76059977093032
THSD7B|ENSG00000144229.13|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
HNMT|ENSG00000150540.14|chr2	25	16	4	1	15	13	0.468523166872674	1	8644	-0.677959666442253	0.93526635980267	12.2601260007818	-0.724884049700338
SPOPL|ENSG00000144228.9|chr2	205	181	211	224	170	231	0.91541164999229	0.966123544744375	13599	-0.0217832388880702	0.205085984744164	202.767104088821	-0.106215151246165
NXPH2|ENSG00000144227.5|chr2	2	13	20	13	7	5	0.505174677721838	1	9083	-0.630148200691835	0.945643211569898	10.1351555189448	-0.666369929992626
LRP1B|ENSG00000168702.18|chr2	17	9	13	4	22	14	0.966695502053585	1	14092	-0.033229121398379	0.795847501809652	13.0714367221291	-0.0417531264756381
KYNU|ENSG00000115919.15|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
ARHGAP15|ENSG00000075884.14|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
GTDC1|ENSG00000121964.15|chr2	27	16	34	48	71	49	0.0218549721195922	0.0952175266790627	2518	1.03510110881239	0.451441662883957	40.0973835052088	2.29287900057746
ZEB2|ENSG00000169554.23|chr2	68	118	81	94	96	126	0.642916514846547	0.81875409284999	10661	0.14638790857876	0.315746436593543	97.2248898473758	0.463624895210468
ACVR2A|ENSG00000121989.15|chr2	96	93	117	160	114	124	0.281062250593835	0.524705703938799	6535	0.281596684255732	0.261236886609032	116.273724879936	1.07793615178537
ORC4|ENSG00000115947.14|chr2	410	348	395	521	545	479	0.0107073344468807	0.0567928606157944	2042	0.331440907259709	0.129869471241997	444.846075507457	2.55210792875339
MBD5|ENSG00000204406.14|chr2	7	0	0	1	0	0	0.360317581374488	1	7489	-2.69529192859399	2.94644672976058	1.26548371624209	-0.914760107953149
EPC2|ENSG00000135999.12|chr2	118	137	127	280	229	242	2.05130053004201e-05	0.000369967950793097	588	0.878439296126083	0.206243567004124	186.108909686158	4.25923246424708
LYPD6B|ENSG00000150556.17|chr2	25	29	32	87	40	36	0.082692022725884	0.241040871310279	3883	0.809817626864639	0.466679576995453	40.6675165652845	1.73527547975927
LYPD6|ENSG00000187123.15|chr2	57	77	24	76	69	54	0.572056009045087	0.772432800927844	9893	0.235638974695529	0.417040864227935	58.8373382498531	0.565026103932923
MMADHC|ENSG00000168288.13|chr2	1344	1380	1253	1216	1166	1140	0.00201875666048369	0.0158129979335931	1361	-0.268037549030658	0.0868149359131761	1246.51206514547	-3.08745892871157
RND3|ENSG00000115963.14|chr2	719	601	597	1159	1039	864	6.36723349988794e-08	2.44238771968528e-06	276	0.583462498750155	0.107885404543449	816.684162321391	5.40816898466722
RBM43|ENSG00000184898.7|chr2	61	40	30	61	90	83	0.0412292569070208	0.149535506294837	3065	0.765478243601264	0.375010702815634	59.8449910569056	2.04121705821712
NMI|ENSG00000123609.11|chr2	36	28	28	28	20	28	0.471400494867249	0.699359100724943	8669	-0.358194429084888	0.49735257293773	27.8931694501517	-0.720202223885419
TNFAIP6|ENSG00000123610.5|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
RIF1|ENSG00000080345.18|chr2	623	585	764	864	980	770	0.0167355907859011	0.0788516687362416	2312	0.309344604618098	0.129299492307935	757.264646673002	2.39246573282264
NEB|ENSG00000183091.21|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
ARL5A|ENSG00000162980.17|chr2	1198	1114	1140	1254	1182	902	0.148733407383905	0.356839449325587	4849	-0.145317270802287	0.100633849591569	1123.96781506538	-1.44401979445355
CACNB4|ENSG00000182389.20|chr2	121	78	145	143	145	125	0.51900621621781	0.734126062396609	9248	0.172494071287035	0.267483241017011	124.95761505834	0.644878051541422
STAM2|ENSG00000115145.10|chr2	137	135	183	162	193	213	0.328072859871955	0.571549673764092	7112	0.229467274529251	0.234628404822138	169.823886812449	0.97800296048213
FMNL2|ENSG00000157827.20|chr2	209	194	205	315	320	254	0.00883703182477662	0.0493187432413864	1936	0.453198568190515	0.173089179223591	246.343437748382	2.61829520610926
PRPF40A|ENSG00000196504.21|chr2	1676	1428	1918	1864	1824	1593	0.819852827832692	0.919679176923947	12601	-0.0223343453044083	0.0980719554674699	1706.23081974703	-0.227734271208822
ARL6IP6|ENSG00000177917.12|chr2	241	203	218	251	206	290	0.640443958539286	0.817307158757886	10637	0.0912514632183128	0.195366580762826	233.50658404913	0.467078160768404
RPRM|ENSG00000177519.4|chr2	520	475	403	612	477	463	0.670955059632064	0.835487913588426	11075	0.0589748972849504	0.138817506062095	486.982612698077	0.424837608439458
GALNT13|ENSG00000144278.15|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
KCNJ3|ENSG00000162989.5|chr2	0	0	0	0	1	0	0.831080014846296	1	12767	0.870432657655199	4.0804728567969	0.158158773410031	0.213316615059773
NR4A2|ENSG00000153234.16|chr2	39	45	25	77	62	74	0.0223783668874557	0.0967019470357118	2542	0.877308252362852	0.384130003079516	52.8811802513391	2.2838836990852
GPD2|ENSG00000115159.16|chr2	471	451	420	494	416	331	0.151812000132232	0.361349163392138	4913	-0.210103197560873	0.146601312579166	427.681182839925	-1.43316041217172
GALNT5|ENSG00000136542.9|chr2	1	0	0	0	0	0	0.796339065306535	1	12334.5	-1.05312069398729	4.0804728567969	0.158710289933608	-0.258087905727174
ERMN|ENSG00000136541.15|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
CYTIP|ENSG00000115165.10|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
ACVR1C|ENSG00000123612.16|chr2	20	37	34	18	41	18	0.523744407067956	0.737681778962374	9299	-0.354202741553445	0.55553880051998	28.1025390484848	-0.637584163737823
ACVR1|ENSG00000115170.16|chr2	120	78	137	159	126	162	0.216397188303789	0.447702522240863	5775	0.330552841191184	0.267401848203529	129.121238260089	1.23616513278393
UPP2|ENSG00000007001.13|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
CCDC148|ENSG00000153237.18|chr2	1	0	0	0	0	0	0.796339065306535	1	12334.5	-1.05312069398729	4.0804728567969	0.158710289933608	-0.258087905727174
PKP4|ENSG00000144283.23|chr2	473	549	373	543	529	437	0.913679821921524	0.965478418473218	13583	0.0166418955580246	0.153525558582783	480.588742538564	0.10839820881714
DAPL1|ENSG00000163331.12|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
TANC1|ENSG00000115183.15|chr2	172	139	146	200	219	168	0.187288627092852	0.410013377798186	5407	0.270800587070744	0.205363142740055	171.913565202392	1.31864259310405
WDSUB1|ENSG00000196151.11|chr2	79	53	32	81	45	69	0.657993704260543	0.826923567955419	10898	0.176616470327096	0.398966604601834	58.9768150052316	0.442684847027129
BAZ2B|ENSG00000123636.19|chr2	51	44	30	72	46	52	0.369667353632586	0.611923537360742	7579	0.355874698886038	0.396696057717545	48.4602335437256	0.897096635982773
MARCHF7|ENSG00000136536.15|chr2	610	516	559	828	854	874	2.51747282263209e-06	6.56465142197191e-05	406	0.51422711914567	0.109254059913802	698.788436719348	4.70670947653002
CD302|ENSG00000241399.7|chr2	134	121	48	79	155	127	0.613465243509167	0.798362993827171	10312	0.179757627658717	0.355861794480233	109.586808967185	0.505133258042685
LY75|ENSG00000054219.11|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
PLA2R1|ENSG00000153246.13|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
ITGB6|ENSG00000115221.12|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
TANK|ENSG00000136560.14|chr2	68	84	47	105	112	60	0.278592017857134	0.522504516287388	6501	0.3736604424219	0.344868197853855	78.1953492451258	1.0834876765884
PSMD14|ENSG00000115233.12|chr2	1090	979	1020	1082	923	1056	0.299576085222523	0.54429586652666	6761	-0.101920889917673	0.0982518810236572	1020.07649133637	-1.03734288703473
TBR1|ENSG00000136535.15|chr2	0	10	0	0	0	0	0.123545741033114	1	4503	-4.32868158013541	2.81072277785731	1.78502265523233	-1.54005994978817
DPP4|ENSG00000197635.11|chr2	6	2	5	7	12	0	0.734690288887708	1	11728	0.443604550311928	1.30898090277507	5.17232735476116	0.338893065110024
GCG|ENSG00000115263.15|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
FAP|ENSG00000078098.15|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
IFIH1|ENSG00000115267.10|chr2	16	15	7	13	15	3	0.636349525493016	1	10603	-0.396951793412385	0.83956075133122	11.3432234416106	-0.472808897727737
GCA|ENSG00000115271.11|chr2	200	155	196	185	180	180	0.605193873750736	0.792390446441041	10239	-0.103808977263418	0.200812043461805	181.596512854729	-0.516945973328349
KCNH7|ENSG00000184611.13|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
FIGN|ENSG00000182263.14|chr2	204	179	199	149	178	134	0.0382481118887642	0.141867940725493	2998	-0.428912062524678	0.206985324783807	173.37306983312	-2.07218585652229
GRB14|ENSG00000115290.11|chr2	79	56	57	59	71	43	0.49646367930279	0.716723193626597	8992	-0.239029102585129	0.351480094570358	60.2379027457024	-0.68006440841924
COBLL1|ENSG00000082438.18|chr2	101	132	113	179	182	183	0.016804208753906	0.0790416142623112	2315	0.555957700560377	0.232524514183294	147.008848829925	2.39096381950562
SLC38A11|ENSG00000169507.10|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
SCN3A|ENSG00000153253.19|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
SCN2A|ENSG00000136531.19|chr2	0	0	0	0	4	0	0.489535799110467	1	8905.5	2.74605894938112	3.97376393385699	0.632635093640126	0.691047328197918
CSRNP3|ENSG00000178662.16|chr2	110	130	50	127	59	83	0.58541877939456	0.780386378424856	10032	-0.202065681717841	0.370431867439148	92.5161444926628	-0.545486766877677
GALNT3|ENSG00000115339.14|chr2	78	75	70	61	50	42	0.0560911056378463	0.184531662919184	3413	-0.639731834005679	0.33488077569365	62.5862877905024	-1.91032713860801
TTC21B|ENSG00000123607.16|chr2	103	61	100	84	65	131	0.966202268238802	0.986135487693454	14087	0.0144787214569762	0.341706139510816	90.361809364416	0.0423718504961715
SCN1A|ENSG00000144285.23|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
SCN9A|ENSG00000169432.19|chr2	20	17	30	16	40	30	0.634521661778943	1	10590	0.270417120531228	0.568853385776636	25.3916031811698	0.475372261627725
SCN7A|ENSG00000136546.17|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
B3GALT1|ENSG00000172318.6|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
STK39|ENSG00000198648.12|chr2	269	244	211	239	240	222	0.438496025199284	0.671029107825197	8325	-0.135345789322444	0.174699372653486	236.034131721614	-0.77473540555238
CERS6|ENSG00000172292.15|chr2	1203	1178	1102	1192	1096	958	0.0303066014229073	0.120555547241473	2778	-0.196357749796358	0.0906520358392516	1115.77700705385	-2.16606001154292
NOSTRIN|ENSG00000163072.16|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
SPC25|ENSG00000152253.9|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
G6PC2|ENSG00000152254.11|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
ABCB11|ENSG00000073734.10|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
DHRS9|ENSG00000073737.17|chr2	0	0	0	0	0	1	0.831080014846296	1	12767	0.870432657655199	4.0804728567969	0.169429232247439	0.213316615059773
LRP2|ENSG00000081479.15|chr2	83	31	65	54	109	28	0.98962354498296	0.996587800404579	14317	0.00606970982566896	0.466709606804394	60.5199421336832	0.0130053243755338
BBS5|ENSG00000163093.12|chr2	37	23	45	90	34	52	0.156708291565552	0.367701835727947	5002	0.648617016215243	0.457988602506456	46.0237689772043	1.41622960192792
ENSG00000251569|ENSG00000251569.1|chr2	14	8	5	25	5	13	0.48722305787361	1	8875	0.592988560119798	0.853549672716606	11.389702233439	0.6947323384619
KLHL41|ENSG00000239474.7|chr2	15	14	5	28	16	23	0.190918838655431	1	5465	0.89714786802656	0.68596325627345	16.5170000066172	1.30786577826397
FASTKD1|ENSG00000138399.18|chr2	204	220	216	210	186	222	0.464329871177461	0.693546888565997	8600	-0.142422720604242	0.194636821430448	209.296069820976	-0.731735750499478
PPIG|ENSG00000138398.17|chr2	394	341	444	600	433	556	0.0326197211421607	0.127339597246333	2837	0.339496677601383	0.158885874326741	457.254911684025	2.13673291625173
CFAP210|ENSG00000154479.13|chr2	7	3	6	4	0	15	0.86675660933741	1	13126	0.214010068410651	1.27554224171867	5.86625285213767	0.167779679426605
PHOSPHO2|ENSG00000144362.12|chr2	18	28	21	66	44	45	0.0165476718984508	0.0782448425140234	2304	1.10404326672158	0.460669344225183	36.346932241511	2.39660676483371
KLHL23|ENSG00000213160.10|chr2	1083	1041	1010	1387	1278	1319	0.00302092844434426	0.0215308246623439	1502	0.255294836851788	0.0860853834140751	1176.09782886401	2.96560027645816
SSB|ENSG00000138385.16|chr2	1543	1650	1498	1474	1467	1450	0.0283925037460086	0.114786126567851	2730	-0.188564010447742	0.0860307905289927	1509.57901831302	-2.19182003662043
METTL5|ENSG00000138382.15|chr2	888	707	744	863	862	710	0.760921796648136	0.885326306844812	11938	-0.0317226908221218	0.104258177873613	788.582853030327	-0.304270527925181
UBR3|ENSG00000144357.18|chr2	124	110	129	149	124	163	0.464569152254537	0.693639849509084	8607	0.17706729835355	0.242112240527266	132.362428340934	0.731343850967378
MYO3B|ENSG00000071909.19|chr2	0	0	0	4	0	0	0.494650202166298	1	8965.5	2.71480161302353	3.97521871281218	0.618046746827341	0.682931382938426
SP5|ENSG00000204335.4|chr2	5	0	0	1	0	0	0.496974428384819	1	8998.5	-2.21078688368014	3.25470883320845	0.948063136374877	-0.679257960381291
ERICH2|ENSG00000204334.8|chr2	6	7	9	7	0	10	0.696353674661931	1	11348	-0.452892359393449	1.16052651171338	6.56808492092719	-0.390247318628513
GAD1|ENSG00000128683.14|chr2	96	98	87	104	95	92	0.874130024790423	0.947890366765057	13201	-0.0426142519440088	0.269004390285237	94.7853856477914	-0.158414708023252
GORASP2|ENSG00000115806.13|chr2	898	691	821	1268	1363	1138	1.82224613041433e-08	7.90660646831823e-07	244	0.556000874214592	0.0987904739498839	1015.25144922006	5.62808185834445
TLK1|ENSG00000198586.14|chr2	264	220	338	301	317	315	0.626489126155271	0.807479958437527	10503	0.090718097489601	0.186404107268255	290.914174131414	0.486674348645377
METTL8|ENSG00000123600.21|chr2	497	420	400	655	528	557	0.0154060929774057	0.073970206962265	2266	0.313322177792788	0.129328249487969	503.620954831644	2.42268938946657
DCAF17|ENSG00000115827.14|chr2	82	99	78	111	101	147	0.183583313052001	0.405761280852096	5348	0.383792502549232	0.288608623018091	102.500652882021	1.32980261828551
CYBRD1|ENSG00000071967.12|chr2	34	43	40	18	31	41	0.339994083330864	0.582688774206277	7247	-0.463051313497701	0.485288726086012	34.7710701037793	-0.954176943759519
DYNC1I2|ENSG00000077380.16|chr2	188	175	169	204	208	181	0.736758965994038	0.870057688006567	11746	0.0646817536045081	0.192420236613799	186.024332041426	0.33614839448685
SLC25A12|ENSG00000115840.14|chr2	72	67	113	134	90	75	0.669995448854496	0.834875877332141	11026	0.138978561816579	0.326122666850776	91.001613024586	0.426154254037702
HAT1|ENSG00000128708.13|chr2	452	502	435	562	408	546	0.825792647105626	0.92248792172639	12659	0.0340993826885724	0.15492620544502	482.088834303589	0.220100805997431
METAP1D|ENSG00000172878.14|chr2	37	51	38	39	28	38	0.410145266165436	0.647562119647871	8008	-0.359613344006666	0.436615764774127	38.5837709031392	-0.82363802001676
DLX1|ENSG00000144355.15|chr2	169	154	156	114	139	90	0.0150807400930433	0.0729040161484246	2251	-0.576852165538913	0.237345303443057	136.725929263039	-2.43043429623755
DLX2|ENSG00000115844.11|chr2	1198	1147	1061	1859	1635	1498	6.29223951072356e-08	2.42239780727383e-06	275	0.457910408218929	0.0846369266491756	1382.00323791883	5.41029106736107
PDK1|ENSG00000152256.14|chr2	348	282	329	486	415	361	0.0432700965354041	0.154715922250584	3112	0.302926530367027	0.149882498775388	365.600512273367	2.0210934087841
RAPGEF4|ENSG00000091428.18|chr2	13	14	4	16	14	13	0.620384971218627	1	10415	0.385621023629548	0.778552944417491	12.1581145177245	0.495304816961508
MAP3K20|ENSG00000091436.17|chr2	138	148	143	202	155	177	0.312604790190733	0.556423596721983	6914	0.221078140055484	0.218938785498791	159.305516302011	1.0097714735734
CDCA7|ENSG00000144354.15|chr2	689	677	711	967	1086	801	0.00151415681487677	0.0126864646259266	1273	0.361610062563292	0.114002213361894	812.727689788501	3.17195650768094
SP3|ENSG00000172845.18|chr2	454	423	404	567	520	454	0.174341496699695	0.393383083026357	5226	0.173201842603281	0.127505692869143	465.725268819097	1.35838517250391
OLA1|ENSG00000138430.16|chr2	1212	1010	1089	941	973	937	0.000742412892650013	0.00743606934199214	1063	-0.303535964861886	0.0899787721215522	1023.12575029506	-3.3734175039846
SP9|ENSG00000217236.2|chr2	66	85	93	65	36	60	0.0515140215030422	0.174500609863007	3307	-0.699091164050023	0.359028825856059	67.9847774487984	-1.94717279979714
CIR1|ENSG00000138433.16|chr2	126	121	110	153	173	143	0.184173714800682	0.406264285380054	5361	0.302023774121382	0.227425263898829	136.265034654797	1.32801329519722
SCRN3|ENSG00000144306.15|chr2	221	161	172	214	255	169	0.57980168115117	0.776865173489516	9975	0.114715137610042	0.207188796188261	196.238312720028	0.553674425067879
GPR155|ENSG00000163328.14|chr2	132	101	117	138	185	151	0.139498362394903	0.342740580801772	4733	0.351543775172794	0.237905459414765	135.819918516974	1.47766165617877
WIPF1|ENSG00000115935.19|chr2	33	65	55	35	21	47	0.153463967146343	0.363106274585338	4947	-0.669831477683437	0.469266075763928	43.2518179774918	-1.42740230389125
CHRNA1|ENSG00000138435.16|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
CHN1|ENSG00000128656.15|chr2	273	247	278	228	257	263	0.298294534599919	0.543196137879119	6743	-0.181631859135673	0.174629621410758	256.980040343939	-1.04009765163748
ATF2|ENSG00000115966.18|chr2	297	253	234	374	290	320	0.148554119668645	0.356792755202347	4846	0.239753393917781	0.165958642633757	291.520061748363	1.44465747678399
ATP5MC3|ENSG00000154518.10|chr2	6580	5765	5790	5496	5249	4750	2.24118239305001e-11	1.5818265330147e-09	150	-0.3178252661229	0.047511917580305	5580.71844110144	-6.68937989264922
LNPK|ENSG00000144320.14|chr2	459	440	447	489	414	337	0.132981970558982	0.332388851120225	4642	-0.216157657378826	0.143870502520685	428.512133432818	-1.50244597462046
EVX2|ENSG00000174279.5|chr2	3	0	0	0	9	0	0.536387579812048	1	9439	1.55894615741828	2.5214043833618	1.89955983049111	0.618284860494977
HOXD13|ENSG00000128714.6|chr2	546	428	426	446	497	444	0.455661972436873	0.685922551143064	8516	-0.0986424638061584	0.132226906798753	461.07899420165	-0.746009009772049
HOXD12|ENSG00000170178.7|chr2	2	5	4	0	0	3	0.307510566524676	1	6852	-1.93736844283747	1.89852547663938	2.42507880122155	-1.02045954435484
HOXD11|ENSG00000128713.14|chr2	703	510	579	880	842	730	0.00136949967836631	0.0117685820575196	1240	0.364757206489992	0.113950900173229	697.750669059218	3.20100329120248
HOXD10|ENSG00000128710.6|chr2	814	718	809	856	779	721	0.416504180379661	0.652973457378864	8087	-0.0836866125962587	0.102998773832813	777.943240001919	-0.812501056877613
HOXD9|ENSG00000128709.13|chr2	94	81	116	123	150	100	0.34241988316077	0.585128107818237	7269	0.260227444257373	0.274098257043332	109.54804417521	0.94939474283572
HOXD8|ENSG00000175879.9|chr2	164	181	175	208	293	160	0.287376241802765	0.531432711260414	6616	0.244156124241994	0.229492676254241	194.850116081137	1.06389505855737
HOXD3|ENSG00000128652.12|chr2	15	13	22	16	6	6	0.216335247612357	1	5773	-0.947188316791292	0.76612791231572	13.0266244055375	-1.23633182078994
HOXD4|ENSG00000170166.6|chr2	6	19	9	21	3	7	0.770347994808353	1	12028	-0.26716676203982	0.915206239743089	10.8394643445895	-0.291919733976921
HOXD1|ENSG00000128645.15|chr2	0	25	0	0	7	0	0.594611630002105	1	10124	-2.00938115370693	3.77586022059408	5.56966805195106	-0.532165132265088
MTX2|ENSG00000128654.14|chr2	433	548	483	502	435	461	0.265224262228553	0.507578025681637	6351	-0.165133108447422	0.14821735291867	476.364854311498	-1.11412803693798
NFE2L2|ENSG00000116044.17|chr2	452	423	376	712	719	639	8.93423949946441e-08	3.28426366600103e-06	288	0.635732257841548	0.118891453163533	545.682032307122	5.34716534221439
AGPS|ENSG00000018510.18|chr2	336	292	305	344	355	295	0.99841898389427	0.999268461191967	14420	-0.000297292530190943	0.150033237356163	318.627341022117	-0.00198151113333109
TTC30B|ENSG00000196659.10|chr2	88	95	72	76	134	126	0.308343085941694	0.552582790675801	6861	0.313796887305878	0.308035121368447	97.9319333746311	1.01870489933691
TTC30A|ENSG00000197557.7|chr2	119	102	94	111	103	90	0.58567563355396	0.780466435124126	10037	-0.141435077482125	0.25945999057895	102.394728502833	-0.545113245269652
PDE11A|ENSG00000128655.19|chr2	5	15	22	10	26	14	0.862411178436652	1	13092	0.131506874275967	0.758814672396432	15.3880652431871	0.173305655596579
OSBPL6|ENSG00000079156.17|chr2	332	400	406	579	557	472	0.00738595754831406	0.0428466479802745	1858	0.397058672399798	0.148215833832848	453.366231975767	2.67892209713292
PRKRA|ENSG00000180228.14|chr2	357	241	390	300	327	338	0.518369235470775	0.733686510150949	9228	-0.118961365479042	0.184190289736273	323.935896621259	-0.645861221291162
PJVK|ENSG00000204311.15|chr2	4	15	10	17	36	14	0.147173210689104	1	4834	1.08306726108329	0.747154802238645	15.771946903314	1.44958883733086
FKBP7|ENSG00000079150.19|chr2	50	46	65	67	89	69	0.260582007398246	0.502876724813202	6295	0.387648850587327	0.344571677053548	63.7521115298558	1.12501658262262
PLEKHA3|ENSG00000116095.11|chr2	226	241	289	317	358	309	0.108663950884344	0.289269612273713	4308	0.282894356164985	0.176343059054686	287.912826830362	1.60422733778967
TTN|ENSG00000155657.29|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
CCDC141|ENSG00000163492.16|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
SESTD1|ENSG00000187231.14|chr2	333	292	354	440	295	275	0.765245998037848	0.887269672678424	11980	-0.0540090074489155	0.180874685512112	328.765246189821	-0.298599039970681
ZNF385B|ENSG00000144331.20|chr2	17	14	12	14	4	27	0.994958160491084	1	14381	0.00490230376869233	0.775797494452525	14.6880722154008	0.00631905078805629
CWC22|ENSG00000163510.14|chr2	209	182	165	285	237	163	0.337784485747828	0.580539667307185	7225	0.203970884832448	0.212790631916803	203.95222966339	0.958551995428993
UBE2E3|ENSG00000170035.16|chr2	1689	1762	1752	1533	1617	1505	0.00221708548608165	0.0169965851130677	1391	-0.254633362923155	0.0832271812166407	1639.78714669198	-3.05949762085951
ITGA4|ENSG00000115232.14|chr2	100	76	101	76	88	54	0.15089143086997	0.360281366400625	4895	-0.440622855183793	0.306757142312435	82.0954346884358	-1.43638988113605
CERKL|ENSG00000188452.15|chr2	30	34	31	23	36	6	0.269059461569182	1	6381	-0.662963029563979	0.599841088402386	26.572604533019	-1.10523110600795
NEUROD1|ENSG00000162992.5|chr2	0	0	0	3	0	0	0.564902906233595	1	9806.5	2.30097353756438	3.99769976039966	0.463535060120506	0.575574374133175
PPP1R1C|ENSG00000150722.11|chr2	12	10	4	0	5	6	0.277052365872649	1	6484	-1.29253908014663	1.18912689613272	6.20377459196628	-1.08696480110763
DNAJC10|ENSG00000077232.19|chr2	536	539	521	600	602	435	0.643424414941455	0.819037427075289	10669	-0.0618989445086887	0.13371521833855	534.970156574723	-0.462916228068884
FRZB|ENSG00000162998.5|chr2	12	6	6	3	4	1	0.156028709334351	1	4994	-1.66919181439489	1.17668435582985	5.30142525384455	-1.41855528725688
NCKAP1|ENSG00000061676.15|chr2	1265	1119	1195	1204	1495	1388	0.296315207899551	0.541250708425215	6720	0.104176679814772	0.0997509398297623	1269.3339483915	1.0443679026239
DUSP19|ENSG00000162999.13|chr2	128	103	116	115	89	95	0.237404726548043	0.475393198404413	6021	-0.304466525445562	0.257695215766796	107.14031904156	-1.18149855650053
NUP35|ENSG00000163002.13|chr2	403	283	272	315	266	341	0.458681900636652	0.688412997170434	8549	-0.132319856691571	0.178564720942783	311.059596618136	-0.741019032163525
ZNF804A|ENSG00000170396.9|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
FSIP2|ENSG00000188738.16|chr2	0	0	0	0	0	0	1	1	16968.5	NA	NA	0	NA
ZC3H15|ENSG00000065548.18|chr2	758	885	913	1057	1035	861	0.36618566515639	0.608986433712018	7543	0.106654893480108	0.118027916992042	912.509268765593	0.903641241819924
ITGAV|ENSG00000138448.13|chr2	297	223	216	293	235	317	0.524542185998737	0.737900851982905	9311	0.119993483064876	0.188562437957127	261.261660538637	0.636359416885343
FAM171B|ENSG00000144369.14|chr2	148	148	107	143	89	127	0.336972961712372	0.58027533273404	7211	-0.254903181167727	0.265478948065005	126.504756255247	-0.960163444316916
