rownames(tcReadCount)	DMSO.P0.1	DMSO.P0.2	DMSO.P0.3	DMSO.L10a.1	DMSO.L10a.2	DMSO.L10a.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
CCDC30|ENSG00000186409.19|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CLDN19|ENSG00000164007.11|chr1	0	0	0	6	0	3	0.268525387302816	1	4102	3.68061985509388	3.326468065374	1.24476439669452	1.10646480975012
P3H1|ENSG00000117385.16|chr1	24	24	17	33	13	36	0.907639397558397	1	12149	0.0752923249554422	0.648978979172961	23.4373105369109	0.116016585084763
C1orf50|ENSG00000164008.17|chr1	176	190	140	165	152	136	0.188104273390447	0.588246778008002	3095	-0.352185294458039	0.267575733941373	158.952120303276	-1.31620789849055
TMEM269|ENSG00000274386.6|chr1	0	0	0	0	1	0	0.853865958661269	1	11392	0.751574209360629	4.0804728567969	0.185384957344862	0.184188018334376
SVBP|ENSG00000177868.12|chr1	438	408	340	548	397	632	0.313175900258984	0.709911598514602	4638	0.179242504371136	0.177717612152545	447.629942246687	1.00858042261609
ERMAP|ENSG00000164010.15|chr1	0	0	6	3	24	6	0.143740003208505	1	2543	2.30915561269269	1.57944504635522	6.87276118264369	1.46200440339559
ZNF691|ENSG00000164011.18|chr1	63	78	50	46	29	59	0.0887208500253032	1	1763	-0.736913331451948	0.432922210259084	53.3384230167729	-1.70218416609058
SLC2A1|ENSG00000117394.24|chr1	574	337	388	438	412	486	0.407987444536638	0.774520696096544	5799	-0.192218746320913	0.232305224262223	438.790089201458	-0.827440480218987
FAM183A|ENSG00000186973.11|chr1	0	0	0	0	2	0	0.637612825571267	1	8704	1.89280019873528	4.01835063776712	0.370769914689725	0.47103908278822
EBNA1BP2|ENSG00000117395.13|chr1	648	634	461	687	581	601	0.54105967830173	0.85133687351151	7522	-0.102484112596772	0.167673775381434	593.615237492184	-0.611211337990305
TMEM125|ENSG00000179178.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
C1orf210|ENSG00000253313.6|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TIE1|ENSG00000066056.14|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
MPL|ENSG00000117400.18|chr1	0	0	0	7	0	0	0.402419974384829	1	5719.5	3.30658315681065	3.94906861774071	0.960772817695156	0.837307091083761
CDC20|ENSG00000117399.14|chr1	337	306	316	327	160	266	0.00741918340740041	0.134753971075267	358	-0.607151540533596	0.226767490051661	282.925810091519	-2.67741879753257
ELOVL1|ENSG00000066322.15|chr1	39	16	14	11	20	21	0.415825987054095	1	5889	-0.611947982407717	0.752070782019123	20.6117816626049	-0.813684026874158
MED8|ENSG00000159479.17|chr1	411	416	286	447	305	456	0.575315881518407	0.862882245721862	7896	-0.104523644023863	0.186569471832167	377.646218672323	-0.560239802350355
SZT2|ENSG00000198198.17|chr1	7	9	12	27	39	44	0.0111754804300964	1	448	1.77481682298164	0.69952801544835	22.1277587261953	2.53716332124897
HYI|ENSG00000178922.18|chr1	23	10	7	15	11	19	0.925041416187617	1	12350	-0.0805859252323349	0.856520045149236	13.9464690002061	-0.0940852764494192
PTPRF|ENSG00000142949.17|chr1	202	124	201	129	142	164	0.105602679109792	0.470574478022576	2015	-0.512955407536512	0.316976055576385	162.807612406166	-1.61827809549766
KDM4A|ENSG00000066135.13|chr1	287	284	198	345	261	284	0.992678385473888	0.997307398499579	13094	0.00197415320014682	0.215133458262419	270.968042666811	0.00917641177756159
ST3GAL3|ENSG00000126091.21|chr1	0	0	0	16	8	6	0.00389196193918853	1	235	5.53433912155568	1.91712687064596	4.52162149083089	2.88678814443352
ARTN|ENSG00000117407.17|chr1	0	2	0	10	10	8	0.0357925423146595	1	945	3.72403865198947	1.77396299358598	4.65353527642375	2.09927640286425
IPO13|ENSG00000117408.11|chr1	24	39	14	36	17	32	0.920045559259845	1	12284	-0.0630448475291666	0.628084791843955	25.7230655090079	-0.100376331902699
DPH2|ENSG00000132768.14|chr1	196	288	241	406	344	301	0.11990680261344	0.492234470902781	2210	0.343050341715829	0.220587760697692	289.099858868888	1.55516489505493
ATP6V0B|ENSG00000117410.14|chr1	427	565	414	525	166	387	0.00834121396892767	0.146353550096477	381	-0.644122887171921	0.244176775245005	403.464295409163	-2.63793674286022
B4GALT2|ENSG00000117411.18|chr1	141	149	145	282	180	311	0.0151064391685687	0.208350016521901	532	0.58757972284439	0.2418205449353	192.980685886913	2.4298172142553
CCDC24|ENSG00000159214.13|chr1	12	17	11	11	0	0	0.109842381907971	1	2073	-2.17491776358721	1.36025708753212	8.47807190587895	-1.59890198957397
SLC6A9|ENSG00000196517.13|chr1	17	5	12	15	1	5	0.348740215817884	1	5080	-1.06496214282128	1.13652253571958	9.22060315624686	-0.937035658643592
KLF17|ENSG00000171872.5|chr1	0	0	0	0	4	0	0.462948688286946	1	6493.5	2.9084067522193	3.96240657829841	0.741539829379449	0.734000081704957
DMAP1|ENSG00000178028.14|chr1	12	23	13	24	19	0	0.781435580260499	1	10508	-0.28740089492905	1.03587034183019	15.0859366639316	-0.277448714692676
ERI3|ENSG00000117419.16|chr1	23	44	60	57	2	28	0.237089652596653	1	3735	-0.889335706680073	0.752212918358343	34.8001218849197	-1.18229251981074
RNF220|ENSG00000187147.18|chr1	651	843	622	855	330	808	0.0918304706662867	0.447049840434374	1806	-0.342517042198148	0.203175332060225	662.894653282778	-1.6858200192168
TMEM53|ENSG00000126106.14|chr1	4	42	25	44	34	4	0.912030141747279	1	12195	0.0966649587785836	0.874968663649764	24.9037105783071	0.110478195156572
ARMH1|ENSG00000198520.12|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
KIF2C|ENSG00000142945.13|chr1	355	533	399	590	268	408	0.209167145040827	0.609854798892654	3393	-0.257886130924325	0.205346427238321	413.007012662575	-1.2558588644205
RPS8|ENSG00000142937.12|chr1	4210	4787	3767	5726	5242	5480	0.0969466617177868	0.45562767019375	1889	0.168464523852533	0.101494440767799	4775.0883546345	1.65983991416781
BEST4|ENSG00000142959.5|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PLK3|ENSG00000173846.13|chr1	89	41	23	50	64	88	0.723895302949012	1	9779	0.185278185041951	0.524484587577638	58.4230361453262	0.353257635076884
DYNLT4|ENSG00000188396.4|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
BTBD19|ENSG00000222009.9|chr1	0	0	0	1	0	0	0.853865958661269	1	11392	0.751574209360629	4.0804728567969	0.137253259670737	0.184188018334376
PTCH2|ENSG00000117425.14|chr1	0	0	3	24	17	7	0.00997501312347216	1	417	3.73503580133039	1.44954557773691	8.0131635055312	2.57669428177738
EIF2B3|ENSG00000070785.17|chr1	60	51	48	44	36	115	0.945690062476346	1	12587	0.0331869168572072	0.487182736255548	57.1728292912613	0.0681200592456939
HECTD3|ENSG00000126107.15|chr1	30	54	31	38	0	41	0.304120373520391	1	4521	-0.844530948284941	0.821817947791279	30.8224703920047	-1.02763750847095
UROD|ENSG00000126088.14|chr1	83	154	141	192	114	184	0.627101834723677	1	8563	0.145398850637476	0.29929155435965	139.70335681085	0.485810068876031
ZSWIM5|ENSG00000162415.7|chr1	0	8	8	23	9	4	0.450855334080873	1	6352	0.956203956462029	1.26819212964032	8.16131385270023	0.75398982071685
HPDL|ENSG00000186603.7|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
MUTYH|ENSG00000132781.20|chr1	33	24	12	16	14	16	0.275684117039096	1	4199	-0.790241819372829	0.724948666857206	19.1882229078307	-1.09006589776719
TOE1|ENSG00000132773.12|chr1	498	561	376	524	422	490	0.224125889932943	0.62420246197594	3578	-0.201700999405279	0.165923015001652	470.500639030632	-1.21563002819874
TESK2|ENSG00000070759.17|chr1	0	11	9	58	18	51	0.00450435597276193	1	261	2.42494515546386	0.853705089602051	21.8837741261684	2.84049513702002
CCDC163|ENSG00000280670.3|chr1	10	18	26	48	24	20	0.449932862892221	1	6340	0.522971031059171	0.692193739601154	23.5154066775415	0.755526958912557
MMACHC|ENSG00000132763.15|chr1	209	204	159	287	265	234	0.275869344989681	0.670332262984159	4201	0.26270804757542	0.24109497507829	222.401308962942	1.08964547058731
PRDX1|ENSG00000117450.15|chr1	1833	2490	1827	2439	1836	2237	0.204558358538781	0.605337489674495	3327	-0.123032463178461	0.096977422692163	2066.0227584528	-1.268671199574
AKR1A1|ENSG00000117448.14|chr1	131	217	124	176	116	124	0.186241534035854	1	3076	-0.374442677428055	0.283286760549424	144.679131862392	-1.32177965783448
NASP|ENSG00000132780.17|chr1	282	401	260	564	479	621	0.000281735908680989	0.0204549984733732	70	0.62281083248233	0.171500514557763	417.68283013033	3.63153914778817
CCDC17|ENSG00000159588.15|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
GPBP1L1|ENSG00000159592.11|chr1	170	274	241	277	371	427	0.0618647814354675	0.375273637138353	1367	0.468193255440639	0.250737628806527	287.107289746169	1.86726363198523
TMEM69|ENSG00000159596.7|chr1	386	432	272	405	179	474	0.227583735707618	0.628429581026084	3614	-0.293303020565607	0.243080929041988	346.082006629004	-1.20660646526879
IPP|ENSG00000197429.11|chr1	69	62	27	117	38	16	0.844116083880068	1	11217	-0.11987952792051	0.609666593840643	52.9221630221853	-0.196631288529882
MAST2|ENSG00000086015.23|chr1	42	27	93	92	41	105	0.661301567501077	1	9023	0.227780420135537	0.519907898839562	65.0442528457061	0.438116867706654
PIK3R3|ENSG00000117461.15|chr1	46	169	56	194	136	163	0.0623698183610164	1	1378	0.718033729694217	0.385282023450816	119.908733719571	1.86365749240797
P3R3URF-PIK3R3|ENSG00000278139.1|chr1	0	4	0	0	0	0	0.471888235054622	1	6612.5	-2.86542406263636	3.98301858769922	0.60766707296164	-0.719410165818877
TSPAN1|ENSG00000117472.10|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
P3R3URF|ENSG00000250719.2|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
POMGNT1|ENSG00000085998.15|chr1	77	71	24	78	41	78	0.953266668816499	1	12671	-0.0278638014240031	0.475450320504627	59.1084714927689	-0.0586050744364404
LURAP1|ENSG00000171357.6|chr1	41	5	10	20	1	22	0.452604519613775	1	6370	-0.767102890507498	1.02133315287807	16.3882345191672	-0.751079986335348
RAD54L|ENSG00000085999.13|chr1	60	72	111	145	119	177	0.0781909564699876	1	1623	0.614588633113516	0.348944230903848	110.59570265168	1.76128039578584
LRRC41|ENSG00000132128.18|chr1	303	465	312	387	249	367	0.0889343020677751	0.438486547756628	1768	-0.318422685926342	0.187192256075805	338.864996964579	-1.70104625373709
UQCRH|ENSG00000173660.12|chr1	823	830	841	990	868	1080	0.911639826378724	0.980886185493379	12188	0.0157029533746214	0.14150579498936	892.193177846131	0.110970390829592
NSUN4|ENSG00000117481.11|chr1	213	274	207	373	285	395	0.0425580946899378	0.314747204811608	1076	0.389088430757326	0.191856204553334	281.255295320781	2.02802109873472
FAAH|ENSG00000117480.16|chr1	8	9	0	2	0	0	0.137389197971439	1	2457	-3.3290646615752	2.24091315696216	3.13644695420771	-1.4855839688532
DMBX1|ENSG00000197587.11|chr1	18	6	22	16	16	8	0.611447847565392	1	8367	-0.444757369828343	0.875493128146926	14.8474164897798	-0.508007836417539
TMEM275|ENSG00000282881.3|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
KNCN|ENSG00000162456.10|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
MKNK1|ENSG00000079277.22|chr1	72	51	6	55	78	51	0.553505548268417	1	7659	0.37734876348374	0.636859056299875	51.5393518287799	0.592515345037443
MOB3C|ENSG00000142961.16|chr1	5	0	0	1	6	0	0.872457173880302	1	11667	0.408875066993212	2.54690285872648	2.183743954179	0.160538147574918
ATPAF1|ENSG00000123472.13|chr1	209	332	140	212	250	328	0.847044622907018	0.967952484955618	11242	0.0527812206635667	0.273632889728227	238.26819436552	0.192890630640159
TEX38|ENSG00000186118.9|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
EFCAB14|ENSG00000159658.15|chr1	158	266	295	292	325	430	0.199584206713796	0.600320781765569	3267	0.334691502638463	0.260919801545157	288.125711765191	1.28273707344721
CYP4B1|ENSG00000142973.15|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CYP4A11|ENSG00000187048.14|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CYP4X1|ENSG00000186377.8|chr1	34	24	26	9	7	9	0.00667323122043443	1	330	-1.98673389160975	0.732375508422327	18.8619900386131	-2.71272573804324
CYP4Z1|ENSG00000186160.5|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CYP4A22|ENSG00000162365.13|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PDZK1IP1|ENSG00000162366.8|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TAL1|ENSG00000162367.12|chr1	4	28	0	8	30	12	0.538319830565851	1	7473	0.712047675455719	1.15713181505566	13.3455684234749	0.61535571504571
STIL|ENSG00000123473.17|chr1	136	175	77	175	200	139	0.427510946019438	0.790970383869883	6052	0.260246064497874	0.327989656819436	147.614812688935	0.793458144447353
CMPK1|ENSG00000162368.15|chr1	215	283	161	212	184	276	0.47524218916108	0.817353785557828	6659	-0.169798233719113	0.237820737279849	216.500760098942	-0.713975726680673
FOXE3|ENSG00000186790.6|chr1	0	1	0	0	0	0	0.773946551284644	1	10379	-1.17197914228186	4.0804728567969	0.15191676824041	-0.287216502452572
FOXD2|ENSG00000186564.6|chr1	137	110	45	127	101	145	0.701509662643285	1	9484	0.145112763975735	0.378604375838757	107.592160045988	0.383283377679546
TRABD2B|ENSG00000269113.4|chr1	10	2	5	30	3	13	0.341389872579551	1	4988	1.06765406153403	1.12216592079606	9.64573635876494	0.95142263879894
SLC5A9|ENSG00000117834.13|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
SPATA6|ENSG00000132122.12|chr1	0	0	6	6	2	1	0.92327058213449	1	12329	0.212171434152847	2.2028961673297	2.50397716895209	0.0963147683942073
AGBL4|ENSG00000186094.18|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
BEND5|ENSG00000162373.13|chr1	0	3	0	2	0	7	0.599139224324252	1	8208	1.43235504315709	2.72497990218629	1.71316144762627	0.525638754989676
ELAVL4|ENSG00000162374.18|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
DMRTA2|ENSG00000142700.12|chr1	237	256	190	287	66	142	0.0294399621311085	0.279845779986677	817	-0.742372766695206	0.340921965977437	191.763855211467	-2.17754454327046
FAF1|ENSG00000185104.21|chr1	354	333	298	355	192	271	0.0159688157604887	0.213119881023207	548	-0.511012276548188	0.212071068574908	297.173444452393	-2.40962748941724
CDKN2C|ENSG00000123080.12|chr1	855	959	647	974	537	876	0.0733814900870382	0.401462511697171	1555	-0.275053899064871	0.153622718003267	787.759591382701	-1.79045067448306
C1orf185|ENSG00000204006.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
RNF11|ENSG00000123091.5|chr1	208	274	263	449	314	435	0.0183717892053244	0.22480727327674	604	0.459358239366423	0.194805235880377	312.658336050723	2.35803846488243
TTC39A|ENSG00000085831.16|chr1	11	27	35	23	26	28	0.850286750062957	1	11278	-0.125713762327924	0.666024122402447	24.8861608995231	-0.188752566310146
EPS15|ENSG00000085832.17|chr1	68	73	57	130	106	84	0.16904810168885	1	2866	0.495735546376362	0.360464455146195	84.1914608511741	1.37526887685862
OSBPL9|ENSG00000117859.19|chr1	223	256	169	320	283	321	0.136952015473719	0.516904469947417	2448	0.315357831537086	0.212042641231531	254.947862612138	1.48723780134744
NRDC|ENSG00000078618.23|chr1	49	73	43	31	22	70	0.199097571354202	1	3260	-0.652524382894061	0.508146354849519	46.7870517846397	-1.28412685964715
RAB3B|ENSG00000169213.7|chr1	112	68	65	103	88	118	0.783826630714727	1	10532	0.100738955103117	0.367210483366252	90.9430406354659	0.274335727508739
TXNDC12|ENSG00000117862.13|chr1	497	424	489	486	330	439	0.0286954655271292	0.277785299620094	803	-0.411705123776014	0.188195575148015	442.090306849609	-2.18764507854241
KTI12|ENSG00000198841.4|chr1	238	392	237	469	309	358	0.344877949094388	0.728030896655498	5030	0.192661787508806	0.203967506779307	322.128941369821	0.944570978735682
BTF3L4|ENSG00000134717.18|chr1	523	889	557	866	624	1068	0.298751867497311	0.695822055736063	4457	0.171201631712807	0.164757364212912	725.821520165948	1.03911368411774
ZFYVE9|ENSG00000157077.16|chr1	7	5	0	0	5	1	0.624813384844737	1	8535	-0.990703897830204	2.02581366883502	3.13477690476445	-0.489039990731194
ORC1|ENSG00000085840.13|chr1	84	172	129	182	133	115	0.928196349930873	1	12374	-0.0286495783163144	0.317924724563836	132.747299632669	-0.0901143450092442
PRPF38A|ENSG00000134748.13|chr1	490	549	495	799	720	726	0.0275857888092315	0.272621247622274	786	0.345648140880604	0.156889783904421	616.500815506603	2.20312713982178
TUT4|ENSG00000134744.14|chr1	71	64	10	78	44	43	0.993948909715428	1	13116	-0.00446856991170924	0.589210967867847	49.8373656454085	-0.00758398970046242
GPX7|ENSG00000116157.6|chr1	0	0	0	1	0	0	0.853865958661269	1	11392	0.751574209360629	4.0804728567969	0.137253259670737	0.184188018334376
SHISAL2A|ENSG00000182183.15|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
COA7|ENSG00000162377.6|chr1	417	589	450	629	469	601	0.92738530814833	0.98576647602922	12368	0.0138068848955708	0.151499228439913	512.752352019193	0.0911350178990972
ZYG11B|ENSG00000162378.13|chr1	295	274	222	369	354	323	0.345775776136546	0.728030896655498	5048	0.205523873535394	0.217989717014873	301.631717673049	0.942814534326733
ZYG11A|ENSG00000203995.10|chr1	46	39	51	112	100	118	0.00561990967800575	1	302	1.05015490935708	0.379230764209284	74.9378615525056	2.76917119724373
ECHDC2|ENSG00000121310.17|chr1	0	7	0	8	7	0	0.590780021737687	1	8083	1.13573916988815	2.11219351337712	3.4591381564628	0.537706021108007
SCP2|ENSG00000116171.19|chr1	293	352	271	345	282	289	0.299840283152388	0.696322366880733	4478	-0.201700639164527	0.194546023002407	301.240710674889	-1.0367759569263
SLC1A7|ENSG00000162383.13|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CPT2|ENSG00000157184.7|chr1	252	239	212	299	261	188	0.67091396842532	0.904359385735923	9134	-0.108480232069271	0.255311298717624	240.527339743989	-0.424893973020955
CZIB|ENSG00000162384.14|chr1	171	187	98	184	150	225	0.745329482882813	0.930130261310802	10005	0.0900113071064306	0.277125069986115	164.111252030948	0.324803912944218
MAGOH|ENSG00000162385.11|chr1	321	413	253	352	307	373	0.500258791113753	0.828886190715748	6971	-0.129080951108622	0.191491292159376	329.621480844048	-0.674082615731629
LRP8|ENSG00000157193.18|chr1	203	231	146	266	183	330	0.392452037793142	0.765931471713073	5598	0.203407576057996	0.237853790257996	218.244570155287	0.855179040188361
DMRTB1|ENSG00000143006.7|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
GLIS1|ENSG00000174332.6|chr1	0	5	0	0	2	0	0.75686283171715	1	10123	-1.09176718706667	3.5263449901835	1.13035375589177	-0.309603056452472
NDC1|ENSG00000058804.12|chr1	206	204	182	281	218	401	0.115194313658639	0.489161754674139	2142	0.368932135176243	0.234202591264785	240.235696067137	1.57526922816637
DIO1|ENSG00000211452.12|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
HSPB11|ENSG00000081870.12|chr1	375	413	191	413	375	298	0.93675904851949	0.987276292478372	12483	-0.0200807619032725	0.253084975168636	338.07565499792	-0.0793439511369343
LRRC42|ENSG00000116212.15|chr1	163	336	222	250	300	263	0.942613362648427	0.988695611007828	12554	0.0188510753091291	0.261872842095949	251.61935784152	0.0719856062898731
LDLRAD1|ENSG00000203985.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TMEM59|ENSG00000116209.12|chr1	422	449	410	553	402	422	0.516352516238316	0.840091560420807	7143	-0.11392820960809	0.175550154024868	436.636718498146	-0.648978123892451
TCEANC2|ENSG00000116205.14|chr1	68	71	39	86	92	146	0.0850260818233351	1	1718	0.664636260476101	0.385913882401548	80.4510029021578	1.72223983325
CDCP2|ENSG00000157211.12|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
CYB5RL|ENSG00000215883.11|chr1	40	32	24	81	72	106	0.00534565740738192	1	288	1.21158672219857	0.434972760790399	56.3610904491008	2.78543125320531
MRPL37|ENSG00000116221.15|chr1	586	619	419	527	200	549	0.00933741554380131	0.1548025860431	405	-0.609214051821115	0.234362963695741	471.673965433706	-2.59944678209489
SSBP3|ENSG00000157216.16|chr1	230	315	212	289	179	318	0.43648078154602	0.795822438782471	6186	-0.168044047524225	0.215953374017694	249.64246185838	-0.778149673690474
ACOT11|ENSG00000162390.18|chr1	3	0	0	6	0	0	0.859520955528841	1	11532	0.576025715039623	3.25467673670824	1.38402812828787	0.176984002295175
FAM151A|ENSG00000162391.12|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
MROH7|ENSG00000184313.20|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
TTC4|ENSG00000243725.7|chr1	176	313	241	322	238	282	0.984578050367376	0.996486655646956	13009	0.00430496560190805	0.222711899742842	255.313091004001	0.0193297511577911
PARS2|ENSG00000162396.6|chr1	117	156	91	150	74	108	0.262117518541968	1	4021	-0.353919196507208	0.315604698827343	112.76411011392	-1.12140027642879
TTC22|ENSG00000006555.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
LEXM|ENSG00000162398.12|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
DHCR24|ENSG00000116133.13|chr1	511	541	393	685	437	777	0.339118866107202	0.724329563002601	4955	0.162010724553418	0.169483647605509	538.381752328607	0.955907704621247
TMEM61|ENSG00000143001.5|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
BSND|ENSG00000162399.9|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
PCSK9|ENSG00000169174.11|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
USP24|ENSG00000162402.14|chr1	28	28	30	37	55	84	0.113069963183287	1	2109	0.821390779027239	0.518376736387197	42.4008453278108	1.58454406104696
PLPP3|ENSG00000162407.9|chr1	308	385	357	491	268	453	0.853608078594798	0.968879681661104	11318	-0.0354776520913743	0.192273328836438	366.287720651413	-0.184516762184703
PRKAA2|ENSG00000162409.12|chr1	251	274	170	379	349	345	0.0443556855819566	0.319285114505332	1111	0.438240715207938	0.217952795997619	286.811964769289	2.01071389427243
FYB2|ENSG00000187889.13|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
C8A|ENSG00000157131.12|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
C8B|ENSG00000021852.14|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
OMA1|ENSG00000162600.12|chr1	65	43	28	39	36	27	0.2531467859076	1	3922	-0.613354498923328	0.536740461487262	39.9513186963852	-1.1427394484548
TACSTD2|ENSG00000184292.7|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
MYSM1|ENSG00000162601.12|chr1	8	28	7	65	18	54	0.0356522888144948	1	937	1.46851257026783	0.699001769729382	26.9533087799849	2.10087103332565
JUN|ENSG00000177606.8|chr1	1578	2643	1902	2824	2296	2615	0.233462715506291	0.636311046883	3685	0.144794101331185	0.121523928813756	2247.43513992067	1.19148634136979
FGGY|ENSG00000172456.18|chr1	0	0	6	0	0	7	0.93450605571429	1	12451	-0.228210963860398	2.77707007975365	2.15217737357815	-0.0821768833002021
HOOK1|ENSG00000134709.13|chr1	71	79	49	69	72	85	0.986416324579875	1	13035	-0.00651805640110448	0.382842284620084	69.5693172541103	-0.0170254349191671
CYP2J2|ENSG00000134716.11|chr1	7	12	7	17	21	15	0.305389325294772	1	4534	0.879252876623238	0.857854044534159	12.8276198031785	1.02494460709887
C1orf87|ENSG00000162598.13|chr1	0	0	0	0	0	1	0.853865958661269	1	11392	0.751574209360629	4.0804728567969	0.140414946223367	0.184188018334376
NFIA|ENSG00000162599.18|chr1	649	687	446	846	615	939	0.179305022611265	0.574368682041287	3003	0.212037111470267	0.157895179284771	674.517089184848	1.3428979429945
PATJ|ENSG00000132849.22|chr1	8	0	0	14	1	8	0.523331693300002	1	7218	1.13125001721726	1.77251311751702	4.72493968322465	0.638218135616366
L1TD1|ENSG00000240563.2|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
KANK4|ENSG00000132854.19|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
USP1|ENSG00000162607.13|chr1	934	1234	944	1220	973	1169	0.418770049995282	0.783188929705371	5921	-0.0936869250000992	0.115869300080724	1057.90948531628	-0.808556925215128
DOCK7|ENSG00000116641.18|chr1	31	21	25	9	25	10	0.208252506479243	1	3374	-0.946643344059066	0.752268379816408	21.1281965503902	-1.25838513150067
ANGPTL3|ENSG00000132855.5|chr1	0	0	0	0	0	0	1	1	16338.5	NA	NA	0	NA
ATG4C|ENSG00000125703.15|chr1	158	95	38	134	76	106	0.790264897657535	1	10620	-0.115342945427777	0.433674476410994	98.722782953905	-0.265966644803108
FOXD3|ENSG00000187140.6|chr1	64	55	32	59	23	36	0.235463009979356	1	3713	-0.602617077798291	0.507936046438052	43.9657941558005	-1.186403449852
ALG6|ENSG00000088035.18|chr1	26	18	18	35	46	32	0.25980158896985	1	3996	0.681088265491573	0.604412383719487	28.9249114261416	1.12686020974658
EFCAB7|ENSG00000203965.13|chr1	7	10	0	7	5	23	0.502984818193818	1	7004	0.848525233750551	1.2668323218002	7.94426238057574	0.669800745646258
PGM1|ENSG00000079739.17|chr1	54	104	65	80	31	102	0.475885148935956	1	6670	-0.307831750095474	0.431780134593962	69.6051385863692	-0.712936342902744
ROR1|ENSG00000185483.13|chr1	73	102	88	86	160	96	0.53742552259019	1	7463	0.24065954571365	0.390230820071947	101.229094248118	0.616710760234876
UBE2U|ENSG00000177414.14|chr1	0	6	0	0	0	0	0.384067072332683	1	5509.5	-3.44511821256752	3.95796320108631	0.91150060944246	-0.870427044804753
CACHD1|ENSG00000158966.16|chr1	50	26	22	34	48	81	0.362536058962108	1	5242	0.506705370065152	0.556486849046734	42.5176783208129	0.910543296635206
RAVER2|ENSG00000162437.15|chr1	43	94	67	74	73	69	0.823917198572842	1	10990	-0.0896247865784248	0.402790645416931	68.749485821426	-0.222509602936914
JAK1|ENSG00000162434.14|chr1	112	133	59	125	159	172	0.212546164501473	1	3432	0.421932967185337	0.338468456670254	123.412668601381	1.24659464972358
AK4|ENSG00000162433.15|chr1	93	156	86	253	197	209	0.0033714052075593	0.0915934666389176	219	0.793298028320083	0.270595587140129	158.426992661531	2.93167392973512
DNAJC6|ENSG00000116675.16|chr1	79	52	59	97	54	68	0.90307394447077	1	12089	-0.0498682758648994	0.409497725497047	67.0301499017886	-0.121779127843432
LEPROT|ENSG00000213625.9|chr1	150	212	134	224	182	258	0.355926034703863	0.736046196831329	5165	0.219885233606873	0.238188657619363	187.057389992437	0.92315576990345
LEPR|ENSG00000116678.20|chr1	0	0	0	0	1	0	0.853865958661269	1	11392	0.751574209360629	4.0804728567969	0.185384957344862	0.184188018334376
