RIBO-DMSO-1	RIBO-DMSO-2	RIBO-DMSO-3	RIBO-TPG-1	RIBO-TPG-2	RIBO-TPG-3
KANSL3|ENSG00000114982.19|chr2	217	234	214	361	332	362
FER1L5|ENSG00000249715.13|chr2	0	0	0	0	0	0
LMAN2L|ENSG00000114988.12|chr2	226	351	258	438	329	246
CNNM4|ENSG00000158158.12|chr2	112	138	90	57	120	88
CNNM3|ENSG00000168763.16|chr2	369	569	346	225	294	265
ANKRD23|ENSG00000163126.15|chr2	0	0	0	0	0	0
ANKRD39|ENSG00000213337.9|chr2	558	478	352	524	456	173
SEMA4C|ENSG00000168758.11|chr2	79	56	36	10	50	1
FAM178B|ENSG00000168754.15|chr2	5	0	0	4	0	0
FAHD2B|ENSG00000144199.12|chr2	178	209	126	106	121	182
COX5B|ENSG00000135940.7|chr2	5852	6956	5084	4860	4350	3492
ACTR1B|ENSG00000115073.8|chr2	424	663	446	327	367	253
C2orf92|ENSG00000228486.11|chr2	12	6	0	6	0	2
ZAP70|ENSG00000115085.15|chr2	0	0	0	0	0	0
TMEM131|ENSG00000075568.17|chr2	125	130	89	71	28	51
VWA3B|ENSG00000168658.19|chr2	0	0	0	0	0	0
CNGA3|ENSG00000144191.12|chr2	0	0	0	0	0	0
INPP4A|ENSG00000040933.16|chr2	68	86	76	83	204	41
COA5|ENSG00000183513.9|chr2	170	300	316	240	239	90
UNC50|ENSG00000115446.12|chr2	312	308	164	219	157	153
MGAT4A|ENSG00000071073.13|chr2	77	104	47	72	15	83
CRACDL|ENSG00000196872.12|chr2	0	22	0	0	0	0
TSGA10|ENSG00000135951.16|chr2	0	9	1	0	1	11
C2orf15|ENSG00000273045.7|chr2	61	27	38	22	25	39
LIPT1|ENSG00000144182.17|chr2	48	25	42	42	20	56
ENSG00000273155|ENSG00000273155.1|chr2	58	107	73	26	18	17
MITD1|ENSG00000158411.11|chr2	72	84	136	159	174	164
MRPL30|ENSG00000185414.20|chr2	1042	1114	984	925	867	938
LYG2|ENSG00000185674.10|chr2	5	2	12	0	0	0
LYG1|ENSG00000144214.10|chr2	15	5	0	0	0	0
TXNDC9|ENSG00000115514.12|chr2	237	284	223	358	312	206
EIF5B|ENSG00000158417.11|chr2	1611	2450	1974	2175	2234	1298
REV1|ENSG00000135945.10|chr2	34	64	16	18	52	0
AFF3|ENSG00000144218.21|chr2	118	68	108	147	78	71
LONRF2|ENSG00000170500.13|chr2	266	293	252	306	185	242
CHST10|ENSG00000115526.11|chr2	127	143	60	164	135	36
NMS|ENSG00000204640.1|chr2	0	0	0	0	0	0
PDCL3|ENSG00000115539.14|chr2	198	300	156	195	171	262
NPAS2|ENSG00000170485.17|chr2	5	3	21	11	3	0
RPL31|ENSG00000071082.11|chr2	2941	3744	2737	3469	2826	3121
TBC1D8|ENSG00000204634.13|chr2	6	0	6	11	8	28
CNOT11|ENSG00000158435.8|chr2	695	674	537	458	430	434
RNF149|ENSG00000163162.9|chr2	87	154	103	175	215	144
CREG2|ENSG00000175874.10|chr2	2	0	0	0	0	0
RFX8|ENSG00000196460.14|chr2	0	0	0	0	0	0
MAP4K4|ENSG00000071054.17|chr2	625	815	566	572	605	319
IL1R2|ENSG00000115590.14|chr2	0	0	0	0	0	0
IL1R1|ENSG00000115594.12|chr2	0	0	0	0	0	0
IL1RL2|ENSG00000115598.10|chr2	0	0	0	0	0	0
IL1RL1|ENSG00000115602.17|chr2	0	0	0	0	0	0
IL18R1|ENSG00000115604.12|chr2	14	9	8	0	0	0
IL18RAP|ENSG00000115607.10|chr2	0	0	0	0	0	0
SLC9A4|ENSG00000180251.5|chr2	0	0	0	0	0	0
SLC9A2|ENSG00000115616.3|chr2	15	33	8	4	0	0
MFSD9|ENSG00000135953.11|chr2	90	77	64	100	52	32
TMEM182|ENSG00000170417.16|chr2	26	40	10	15	9	1
POU3F3|ENSG00000198914.5|chr2	91	138	82	154	41	30
MRPS9|ENSG00000135972.9|chr2	554	567	521	769	600	500
GPR45|ENSG00000135973.3|chr2	0	0	0	0	0	0
TGFBRAP1|ENSG00000135966.13|chr2	265	264	192	201	140	132
C2orf49|ENSG00000135974.10|chr2	202	234	177	262	272	131
FHL2|ENSG00000115641.19|chr2	287	512	403	377	308	262
NCK2|ENSG00000071051.14|chr2	237	270	193	215	263	64
ECRG4|ENSG00000119147.10|chr2	0	0	0	0	0	0
UXS1|ENSG00000115652.15|chr2	176	209	203	152	177	111
RGPD3|ENSG00000153165.19|chr2	0	0	0	0	0	0
CD8B2|ENSG00000254126.8|chr2	0	0	0	0	0	0
ST6GAL2|ENSG00000144057.16|chr2	0	0	0	0	0	0
RGPD4|ENSG00000196862.10|chr2	0	0	0	0	0	0
SLC5A7|ENSG00000115665.9|chr2	0	0	0	0	0	0
SULT1C3|ENSG00000196228.5|chr2	0	0	0	0	0	0
SULT1C2|ENSG00000198203.10|chr2	34	27	15	29	3	0
SULT1C4|ENSG00000198075.10|chr2	5	19	8	33	17	2
GCC2|ENSG00000135968.22|chr2	26	24	6	27	14	0
LIMS1|ENSG00000169756.17|chr2	971	1071	841	733	975	716
RANBP2|ENSG00000153201.17|chr2	326	223	192	336	270	144
CCDC138|ENSG00000163006.12|chr2	164	101	101	292	145	165
EDAR|ENSG00000135960.10|chr2	0	0	0	0	0	0
SH3RF3|ENSG00000172985.11|chr2	51	62	66	69	29	96
SEPTIN10|ENSG00000186522.15|chr2	193	192	194	130	200	169
SOWAHC|ENSG00000198142.5|chr2	308	318	176	142	84	175
RGPD5|ENSG00000015568.13|chr2	0	0	0	0	0	0
LIMS3|ENSG00000256977.13|chr2	0	0	0	0	0	0
MALL|ENSG00000144063.4|chr2	0	0	0	0	0	0
NPHP1|ENSG00000144061.14|chr2	28	28	33	4	13	15
LIMS4|ENSG00000256671.7|chr2	0	0	12	0	0	0
RGPD6|ENSG00000183054.13|chr2	0	0	0	0	0	0
BUB1|ENSG00000169679.15|chr2	258	282	253	310	334	175
ACOXL|ENSG00000153093.20|chr2	6	16	21	7	0	14
BCL2L11|ENSG00000153094.24|chr2	245	263	279	218	225	276
ANAPC1|ENSG00000153107.13|chr2	78	87	49	86	74	117
MERTK|ENSG00000153208.18|chr2	18	16	36	22	24	0
TMEM87B|ENSG00000153214.11|chr2	49	95	60	80	55	20
FBLN7|ENSG00000144152.13|chr2	9	0	0	0	0	0
ZC3H6|ENSG00000188177.14|chr2	0	1	0	8	0	0
RGPD8|ENSG00000169629.12|chr2	11	0	0	0	0	0
TTL|ENSG00000114999.8|chr2	438	422	291	188	242	116
POLR1B|ENSG00000125630.16|chr2	405	613	507	632	559	578
CHCHD5|ENSG00000125611.16|chr2	136	189	159	123	78	72
SLC20A1|ENSG00000144136.11|chr2	893	976	691	1224	817	714
NT5DC4|ENSG00000144130.12|chr2	0	0	0	0	0	0
CKAP2L|ENSG00000169607.13|chr2	169	88	119	185	155	100
IL1A|ENSG00000115008.6|chr2	0	0	0	0	0	0
IL1B|ENSG00000125538.12|chr2	0	0	0	0	0	0
IL37|ENSG00000125571.10|chr2	0	0	0	0	0	0
IL36G|ENSG00000136688.11|chr2	0	0	0	0	0	0
IL36B|ENSG00000136696.11|chr2	0	0	0	0	0	0
IL36RN|ENSG00000136695.15|chr2	0	0	0	0	0	0
IL1F10|ENSG00000136697.13|chr2	0	0	0	0	0	0
IL1RN|ENSG00000136689.20|chr2	0	0	0	0	0	0
PSD4|ENSG00000125637.16|chr2	15	7	5	0	0	0
PAX8|ENSG00000125618.18|chr2	0	0	0	0	0	0
CBWD2|ENSG00000136682.16|chr2	0	0	13	0	0	0
FOXD4L1|ENSG00000184492.7|chr2	0	0	0	0	0	0
RABL2A|ENSG00000144134.19|chr2	93	119	80	139	44	50
ACTR3|ENSG00000115091.12|chr2	1063	1093	823	1020	825	774
DPP10|ENSG00000175497.17|chr2	0	0	0	0	0	0
DDX18|ENSG00000088205.13|chr2	1129	1035	839	925	607	584
CCDC93|ENSG00000125633.11|chr2	61	58	30	56	97	69
INSIG2|ENSG00000125629.16|chr2	74	95	91	132	90	20
EN1|ENSG00000163064.7|chr2	86	76	90	44	41	3
MARCO|ENSG00000019169.11|chr2	0	0	0	0	0	0
C1QL2|ENSG00000144119.4|chr2	0	1	0	0	0	0
STEAP3|ENSG00000115107.20|chr2	232	237	178	179	245	187
C2orf76|ENSG00000186132.15|chr2	170	204	185	89	199	157
DBI|ENSG00000155368.18|chr2	3648	4515	3184	2812	2567	1406
TMEM37|ENSG00000171227.7|chr2	12	15	41	7	18	17
SCTR|ENSG00000080293.10|chr2	0	0	0	0	0	0
CFAP221|ENSG00000163075.13|chr2	0	0	0	0	0	0
TMEM177|ENSG00000144120.13|chr2	277	372	282	353	347	283
PTPN4|ENSG00000088179.9|chr2	47	84	72	40	35	35
EPB41L5|ENSG00000115109.14|chr2	28	55	51	3	0	0
TMEM185B|ENSG00000226479.4|chr2	346	450	246	502	377	220
RALB|ENSG00000144118.14|chr2	114	160	246	95	131	144
INHBB|ENSG00000163083.6|chr2	26	38	40	19	40	32
GLI2|ENSG00000074047.22|chr2	57	65	44	67	52	12
TFCP2L1|ENSG00000115112.8|chr2	64	85	60	65	42	91
CLASP1|ENSG00000074054.21|chr2	80	151	141	124	133	53
NIFK|ENSG00000155438.12|chr2	839	1135	653	1264	1319	852
TSN|ENSG00000211460.12|chr2	919	1178	1160	1009	446	909
CNTNAP5|ENSG00000155052.15|chr2	0	0	0	0	0	0
GYPC|ENSG00000136732.16|chr2	0	0	0	0	0	0
BIN1|ENSG00000136717.15|chr2	70	60	41	35	80	28
CYP27C1|ENSG00000186684.14|chr2	30	46	16	8	33	28
ERCC3|ENSG00000163161.14|chr2	267	545	461	414	375	221
MAP3K2|ENSG00000169967.17|chr2	678	845	623	709	599	546
PROC|ENSG00000115718.18|chr2	0	0	0	0	0	0
IWS1|ENSG00000163166.15|chr2	300	179	219	434	282	248
MYO7B|ENSG00000169994.20|chr2	0	0	0	0	0	0
LIMS2|ENSG00000072163.20|chr2	8	5	6	11	0	0
GPR17|ENSG00000144230.17|chr2	0	0	0	0	0	0
WDR33|ENSG00000136709.12|chr2	141	223	212	194	184	87
SFT2D3|ENSG00000173349.6|chr2	179	264	223	248	179	211
POLR2D|ENSG00000144231.11|chr2	707	778	688	624	601	619
AMMECR1L|ENSG00000144233.12|chr2	113	240	226	301	413	233
SAP130|ENSG00000136715.19|chr2	138	160	118	153	138	200
UGGT1|ENSG00000136731.13|chr2	279	380	302	273	203	245
HS6ST1|ENSG00000136720.7|chr2	143	248	201	92	84	147
RAB6C|ENSG00000222014.6|chr2	0	6	0	0	0	0
POTEF|ENSG00000196604.13|chr2	0	0	0	0	0	0
CCDC74B|ENSG00000152076.19|chr2	80	65	42	0	33	0
SMPD4|ENSG00000136699.20|chr2	941	1305	1147	1262	1265	974
MZT2B|ENSG00000152082.15|chr2	6447	7263	6220	5815	4879	4685
TUBA3E|ENSG00000152086.9|chr2	0	0	0	0	0	0
CCDC115|ENSG00000136710.10|chr2	315	366	277	413	466	252
IMP4|ENSG00000136718.10|chr2	448	944	528	916	703	1086
PTPN18|ENSG00000072135.13|chr2	120	266	163	155	207	82
POTEI|ENSG00000196834.14|chr2	0	0	0	0	0	0
CFC1B|ENSG00000152093.8|chr2	0	0	0	0	0	0
CFC1|ENSG00000136698.10|chr2	0	5	0	0	0	0
POTEJ|ENSG00000222038.4|chr2	0	0	0	0	0	0
GPR148|ENSG00000173302.5|chr2	0	0	0	0	0	0
AMER3|ENSG00000178171.11|chr2	0	0	0	0	0	0
ARHGEF4|ENSG00000136002.20|chr2	4	14	18	34	41	13
PLEKHB2|ENSG00000115762.17|chr2	673	725	484	371	507	417
POTEE|ENSG00000188219.16|chr2	0	0	0	0	0	0
RAB6D|ENSG00000233087.8|chr2	5	12	0	0	0	0
MZT2A|ENSG00000173272.16|chr2	3364	3391	2889	2786	2755	2590
TUBA3D|ENSG00000075886.11|chr2	0	0	0	0	0	0
CCDC74A|ENSG00000163040.15|chr2	48	37	63	0	44	0
ANKRD30BL|ENSG00000163046.16|chr2	0	0	0	0	0	0
GPR39|ENSG00000183840.7|chr2	0	0	0	0	0	0
LYPD1|ENSG00000150551.11|chr2	523	786	490	366	368	383
NCKAP5|ENSG00000176771.18|chr2	8	17	0	29	0	3
MGAT5|ENSG00000152127.9|chr2	184	327	192	138	158	45
TMEM163|ENSG00000152128.13|chr2	92	122	105	96	65	55
ACMSD|ENSG00000153086.14|chr2	0	0	0	0	0	0
CCNT2|ENSG00000082258.13|chr2	141	169	93	149	76	177
MAP3K19|ENSG00000176601.14|chr2	0	0	0	0	0	0
RAB3GAP1|ENSG00000115839.19|chr2	286	474	359	657	399	362
ZRANB3|ENSG00000121988.18|chr2	56	26	20	32	10	0
R3HDM1|ENSG00000048991.17|chr2	106	149	241	104	57	102
UBXN4|ENSG00000144224.17|chr2	312	378	365	581	460	316
LCT|ENSG00000115850.10|chr2	0	0	0	0	0	0
MCM6|ENSG00000076003.5|chr2	1404	1407	1333	1520	1675	1251
DARS1|ENSG00000115866.11|chr2	3051	3453	2328	3197	2724	2538
CXCR4|ENSG00000121966.8|chr2	40	38	21	20	31	8
THSD7B|ENSG00000144229.13|chr2	0	0	0	0	0	0
HNMT|ENSG00000150540.14|chr2	20	12	11	12	0	0
SPOPL|ENSG00000144228.9|chr2	32	152	83	52	110	62
NXPH2|ENSG00000144227.5|chr2	3	13	0	13	0	0
LRP1B|ENSG00000168702.18|chr2	24	0	8	0	22	0
KYNU|ENSG00000115919.15|chr2	0	0	0	0	0	0
ARHGAP15|ENSG00000075884.14|chr2	0	0	0	0	0	0
GTDC1|ENSG00000121964.15|chr2	10	26	9	15	0	76
ZEB2|ENSG00000169554.23|chr2	82	53	48	20	55	16
ACVR2A|ENSG00000121989.15|chr2	38	113	26	22	120	118
ORC4|ENSG00000115947.14|chr2	300	320	347	397	310	545
MBD5|ENSG00000204406.14|chr2	0	0	0	0	0	0
EPC2|ENSG00000135999.12|chr2	93	129	42	90	114	131
LYPD6B|ENSG00000150556.17|chr2	25	64	16	28	9	67
LYPD6|ENSG00000187123.15|chr2	42	22	26	20	2	20
MMADHC|ENSG00000168288.13|chr2	1359	1880	1376	1460	1529	1226
RND3|ENSG00000115963.14|chr2	497	729	519	886	720	754
RBM43|ENSG00000184898.7|chr2	26	10	24	47	81	15
NMI|ENSG00000123609.11|chr2	12	38	62	26	25	20
TNFAIP6|ENSG00000123610.5|chr2	0	0	0	0	0	0
RIF1|ENSG00000080345.18|chr2	134	235	236	340	230	152
NEB|ENSG00000183091.21|chr2	0	0	0	0	0	0
ARL5A|ENSG00000162980.17|chr2	565	598	516	391	259	467
CACNB4|ENSG00000182389.20|chr2	41	36	6	55	44	30
STAM2|ENSG00000115145.10|chr2	59	99	77	82	71	15
FMNL2|ENSG00000157827.20|chr2	102	136	71	134	125	165
PRPF40A|ENSG00000196504.21|chr2	1308	1320	1270	1168	1120	1080
ARL6IP6|ENSG00000177917.12|chr2	149	183	182	172	140	98
RPRM|ENSG00000177519.4|chr2	510	527	387	658	602	456
GALNT13|ENSG00000144278.15|chr2	0	0	0	0	0	0
KCNJ3|ENSG00000162989.5|chr2	0	0	7	0	0	0
NR4A2|ENSG00000153234.16|chr2	47	61	20	54	77	38
GPD2|ENSG00000115159.16|chr2	243	348	245	344	239	348
GALNT5|ENSG00000136542.9|chr2	0	5	0	0	0	7
ERMN|ENSG00000136541.15|chr2	0	0	0	0	0	0
CYTIP|ENSG00000115165.10|chr2	0	0	0	0	0	0
ACVR1C|ENSG00000123612.16|chr2	21	17	35	1	0	1
ACVR1|ENSG00000115170.16|chr2	75	107	62	71	99	63
UPP2|ENSG00000007001.13|chr2	0	0	0	0	0	0
CCDC148|ENSG00000153237.18|chr2	0	0	0	0	0	0
PKP4|ENSG00000144283.23|chr2	338	433	323	439	384	155
DAPL1|ENSG00000163331.12|chr2	5	0	0	0	0	0
TANC1|ENSG00000115183.15|chr2	69	76	51	40	84	38
WDSUB1|ENSG00000196151.11|chr2	68	63	32	52	55	106
BAZ2B|ENSG00000123636.19|chr2	8	41	3	43	20	18
MARCHF7|ENSG00000136536.15|chr2	403	437	336	381	465	181
CD302|ENSG00000241399.7|chr2	85	147	131	78	164	31
LY75|ENSG00000054219.11|chr2	0	0	0	0	0	0
PLA2R1|ENSG00000153246.13|chr2	0	1	0	0	0	0
ITGB6|ENSG00000115221.12|chr2	0	0	0	0	0	0
TANK|ENSG00000136560.14|chr2	114	55	31	65	52	22
PSMD14|ENSG00000115233.12|chr2	1383	1423	1080	1579	1350	994
TBR1|ENSG00000136535.15|chr2	0	0	0	0	0	0
DPP4|ENSG00000197635.11|chr2	21	0	10	0	0	14
GCG|ENSG00000115263.15|chr2	0	0	0	0	0	0
FAP|ENSG00000078098.15|chr2	0	0	0	0	0	0
IFIH1|ENSG00000115267.10|chr2	3	17	12	15	8	15
GCA|ENSG00000115271.11|chr2	134	204	158	199	125	197
KCNH7|ENSG00000184611.13|chr2	0	0	0	0	0	0
FIGN|ENSG00000182263.14|chr2	70	51	109	58	65	52
GRB14|ENSG00000115290.11|chr2	50	117	27	64	49	36
COBLL1|ENSG00000082438.18|chr2	82	119	65	59	67	160
SLC38A11|ENSG00000169507.10|chr2	0	10	0	0	0	0
SCN3A|ENSG00000153253.19|chr2	0	0	0	0	0	0
SCN2A|ENSG00000136531.19|chr2	0	0	0	0	0	0
CSRNP3|ENSG00000178662.16|chr2	41	69	88	37	16	21
GALNT3|ENSG00000115339.14|chr2	50	86	59	38	14	21
TTC21B|ENSG00000123607.16|chr2	33	52	41	102	126	81
SCN1A|ENSG00000144285.23|chr2	0	0	0	0	0	0
SCN9A|ENSG00000169432.19|chr2	30	6	7	19	0	45
SCN7A|ENSG00000136546.17|chr2	0	0	0	0	0	0
B3GALT1|ENSG00000172318.6|chr2	0	0	0	0	0	0
STK39|ENSG00000198648.12|chr2	206	258	257	242	175	296
CERS6|ENSG00000172292.15|chr2	597	711	660	504	581	480
NOSTRIN|ENSG00000163072.16|chr2	0	0	0	0	0	0
SPC25|ENSG00000152253.9|chr2	0	0	0	0	0	0
G6PC2|ENSG00000152254.11|chr2	0	0	0	0	0	0
ABCB11|ENSG00000073734.10|chr2	0	0	0	0	0	0
DHRS9|ENSG00000073737.17|chr2	15	0	0	0	0	0
LRP2|ENSG00000081479.15|chr2	31	52	53	72	21	11
BBS5|ENSG00000163093.12|chr2	10	17	23	55	41	13
ENSG00000251569|ENSG00000251569.1|chr2	2	15	0	0	0	0
KLHL41|ENSG00000239474.7|chr2	2	20	1	0	0	0
FASTKD1|ENSG00000138399.18|chr2	117	181	179	134	191	103
PPIG|ENSG00000138398.17|chr2	316	351	204	307	333	375
CFAP210|ENSG00000154479.13|chr2	0	0	0	0	0	0
PHOSPHO2|ENSG00000144362.12|chr2	69	14	67	41	76	14
KLHL23|ENSG00000213160.10|chr2	902	1205	890	868	782	828
SSB|ENSG00000138385.16|chr2	2001	2061	1965	2212	2567	1549
METTL5|ENSG00000138382.15|chr2	1294	1668	1112	858	891	752
UBR3|ENSG00000144357.18|chr2	52	71	103	45	81	61
MYO3B|ENSG00000071909.19|chr2	0	1	0	0	0	0
SP5|ENSG00000204335.4|chr2	0	17	0	0	0	0
ERICH2|ENSG00000204334.8|chr2	11	11	10	28	0	0
GAD1|ENSG00000128683.14|chr2	11	17	29	45	37	27
GORASP2|ENSG00000115806.13|chr2	968	970	876	1306	1195	1071
TLK1|ENSG00000198586.14|chr2	116	145	73	126	60	122
METTL8|ENSG00000123600.21|chr2	428	364	276	407	470	314
DCAF17|ENSG00000115827.14|chr2	5	48	32	55	91	60
CYBRD1|ENSG00000071967.12|chr2	54	57	36	37	24	18
DYNC1I2|ENSG00000077380.16|chr2	133	216	163	214	166	47
SLC25A12|ENSG00000115840.14|chr2	51	55	41	31	6	76
HAT1|ENSG00000128708.13|chr2	470	537	557	541	718	503
METAP1D|ENSG00000172878.14|chr2	28	57	33	67	14	16
DLX1|ENSG00000144355.15|chr2	118	160	164	161	73	138
DLX2|ENSG00000115844.11|chr2	854	1228	940	1311	1113	1225
PDK1|ENSG00000152256.14|chr2	253	283	228	280	166	124
RAPGEF4|ENSG00000091428.18|chr2	6	3	0	9	0	0
MAP3K20|ENSG00000091436.17|chr2	71	119	143	131	137	74
CDCA7|ENSG00000144354.15|chr2	496	524	421	598	387	384
SP3|ENSG00000172845.18|chr2	263	267	182	245	263	74
OLA1|ENSG00000138430.16|chr2	1395	1474	1216	1034	1143	745
SP9|ENSG00000217236.2|chr2	47	118	31	58	66	1
CIR1|ENSG00000138433.16|chr2	124	181	122	121	157	174
SCRN3|ENSG00000144306.15|chr2	225	238	128	229	221	259
GPR155|ENSG00000163328.14|chr2	86	101	44	68	36	69
WIPF1|ENSG00000115935.19|chr2	22	34	31	24	15	9
CHRNA1|ENSG00000138435.16|chr2	0	0	0	0	0	0
CHN1|ENSG00000128656.15|chr2	318	276	230	118	172	55
ATF2|ENSG00000115966.18|chr2	110	183	99	115	216	279
ATP5MC3|ENSG00000154518.10|chr2	9949	12663	10106	9303	8612	7488
LNPK|ENSG00000144320.14|chr2	302	403	390	266	230	218
EVX2|ENSG00000174279.5|chr2	0	0	0	0	0	0
HOXD13|ENSG00000128714.6|chr2	309	430	382	371	333	293
HOXD12|ENSG00000170178.7|chr2	2	0	0	0	0	0
HOXD11|ENSG00000128713.14|chr2	818	1011	907	1296	1028	847
HOXD10|ENSG00000128710.6|chr2	484	580	366	444	544	326
HOXD9|ENSG00000128709.13|chr2	48	79	45	81	56	1
HOXD8|ENSG00000175879.9|chr2	214	180	146	200	101	54
HOXD3|ENSG00000128652.12|chr2	14	16	24	5	12	36
HOXD4|ENSG00000170166.6|chr2	0	4	0	0	15	11
HOXD1|ENSG00000128645.15|chr2	4	2	0	4	26	0
MTX2|ENSG00000128654.14|chr2	846	738	640	815	646	565
NFE2L2|ENSG00000116044.17|chr2	254	449	324	600	372	315
AGPS|ENSG00000018510.18|chr2	187	240	134	149	162	85
TTC30B|ENSG00000196659.10|chr2	68	123	40	91	31	27
TTC30A|ENSG00000197557.7|chr2	45	111	34	65	70	156
PDE11A|ENSG00000128655.19|chr2	10	18	12	5	59	0
OSBPL6|ENSG00000079156.17|chr2	358	355	332	421	326	257
PRKRA|ENSG00000180228.14|chr2	388	473	316	365	241	280
PJVK|ENSG00000204311.15|chr2	5	17	12	2	6	0
FKBP7|ENSG00000079150.19|chr2	61	130	55	81	6	46
PLEKHA3|ENSG00000116095.11|chr2	188	239	124	148	166	166
TTN|ENSG00000155657.29|chr2	0	0	0	0	0	0
CCDC141|ENSG00000163492.16|chr2	0	0	0	0	0	0
SESTD1|ENSG00000187231.14|chr2	299	261	208	201	205	155
ZNF385B|ENSG00000144331.20|chr2	3	7	0	0	0	3
CWC22|ENSG00000163510.14|chr2	90	172	142	179	182	126
UBE2E3|ENSG00000170035.16|chr2	1996	2693	1741	1720	1352	1191
ITGA4|ENSG00000115232.14|chr2	24	36	64	29	47	65
CERKL|ENSG00000188452.15|chr2	0	13	3	43	9	18
NEUROD1|ENSG00000162992.5|chr2	0	0	0	0	0	0
PPP1R1C|ENSG00000150722.11|chr2	0	20	0	3	19	0
DNAJC10|ENSG00000077232.19|chr2	532	600	444	426	271	306
FRZB|ENSG00000162998.5|chr2	6	7	17	0	0	0
NCKAP1|ENSG00000061676.15|chr2	808	889	772	691	559	606
DUSP19|ENSG00000162999.13|chr2	121	125	131	65	66	31
NUP35|ENSG00000163002.13|chr2	263	375	242	336	240	216
ZNF804A|ENSG00000170396.9|chr2	0	0	0	0	0	0
FSIP2|ENSG00000188738.16|chr2	0	0	0	0	0	0
ZC3H15|ENSG00000065548.18|chr2	865	965	759	897	683	605
ITGAV|ENSG00000138448.13|chr2	89	157	111	78	86	93
FAM171B|ENSG00000144369.14|chr2	79	84	82	99	38	2
ZSWIM2|ENSG00000163012.4|chr2	0	0	0	0	0	0
CALCRL|ENSG00000064989.13|chr2	0	8	0	9	0	0
TFPI|ENSG00000003436.16|chr2	26	67	79	28	8	0
GULP1|ENSG00000144366.17|chr2	182	251	191	283	167	115
COL3A1|ENSG00000168542.16|chr2	0	0	9	0	0	0
COL5A2|ENSG00000204262.14|chr2	5	3	10	0	0	0
WDR75|ENSG00000115368.10|chr2	175	193	190	348	302	547
SLC40A1|ENSG00000138449.11|chr2	79	17	5	8	52	1
ASNSD1|ENSG00000138381.10|chr2	338	340	282	474	345	318
ASDURF|ENSG00000286053.2|chr2	77	41	74	56	52	35
ANKAR|ENSG00000151687.15|chr2	0	0	0	0	0	0
ORMDL1|ENSG00000128699.14|chr2	724	791	484	500	579	401
PMS1|ENSG00000064933.19|chr2	89	48	33	96	122	103
C2orf88|ENSG00000187699.10|chr2	80	24	64	45	34	38
MSTN|ENSG00000138379.5|chr2	0	0	0	0	0	0
HIBCH|ENSG00000198130.16|chr2	474	508	383	513	581	278
INPP1|ENSG00000151689.13|chr2	209	179	160	272	285	163
MFSD6|ENSG00000151690.15|chr2	26	81	38	38	40	81
NEMP2|ENSG00000189362.12|chr2	33	6	35	48	35	16
NAB1|ENSG00000138386.17|chr2	206	247	84	210	178	182
GLS|ENSG00000115419.13|chr2	47	64	52	27	13	3
STAT1|ENSG00000115415.21|chr2	247	268	174	244	320	232
STAT4|ENSG00000138378.19|chr2	0	17	6	0	13	0
MYO1B|ENSG00000128641.19|chr2	298	391	365	390	327	340
NABP1|ENSG00000173559.15|chr2	31	83	77	18	1	20
CAVIN2|ENSG00000168497.5|chr2	0	0	0	0	0	0
TMEFF2|ENSG00000144339.12|chr2	53	36	24	1	36	45
SLC39A10|ENSG00000196950.14|chr2	159	121	115	58	91	62
DNAH7|ENSG00000118997.14|chr2	0	0	0	0	0	0
STK17B|ENSG00000081320.11|chr2	85	150	81	128	68	175
HECW2|ENSG00000138411.13|chr2	19	8	0	12	7	12
CCDC150|ENSG00000144395.18|chr2	2	31	17	45	0	0
GTF3C3|ENSG00000119041.11|chr2	231	268	259	197	272	177
PGAP1|ENSG00000197121.15|chr2	91	89	83	33	27	47
ANKRD44|ENSG00000065413.20|chr2	12	7	0	13	32	0
SF3B1|ENSG00000115524.17|chr2	1369	1452	1167	1262	1294	1028
COQ10B|ENSG00000115520.9|chr2	232	279	170	271	259	130
HSPD1|ENSG00000144381.18|chr2	2649	3114	2615	3387	3062	3247
HSPE1|ENSG00000115541.11|chr2	3238	3290	2640	2281	1752	1643
HSPE1-MOB4|ENSG00000270757.1|chr2	13	18	25	19	49	37
MOB4|ENSG00000115540.15|chr2	564	779	499	660	648	404
RFTN2|ENSG00000162944.11|chr2	0	0	0	0	0	0
MARS2|ENSG00000247626.5|chr2	74	139	117	197	143	156
BOLL|ENSG00000152430.19|chr2	0	0	0	0	0	0
PLCL1|ENSG00000115896.16|chr2	28	9	8	1	0	0
SATB2|ENSG00000119042.18|chr2	84	180	83	118	53	72
FTCDNL1|ENSG00000226124.9|chr2	17	0	12	0	0	0
C2orf69|ENSG00000178074.6|chr2	304	380	202	89	147	165
TYW5|ENSG00000162971.11|chr2	42	82	51	128	62	168
MAIP1|ENSG00000162972.11|chr2	363	576	523	437	579	341
SPATS2L|ENSG00000196141.14|chr2	367	467	293	209	169	262
KCTD18|ENSG00000155729.13|chr2	39	33	47	34	28	20
SGO2|ENSG00000163535.18|chr2	188	138	127	239	106	186
AOX1|ENSG00000138356.14|chr2	0	0	0	0	0	0
BZW1|ENSG00000082153.18|chr2	314	399	353	250	296	249
CLK1|ENSG00000013441.17|chr2	56	81	37	52	78	75
PPIL3|ENSG00000240344.9|chr2	217	371	355	250	128	313
NIF3L1|ENSG00000196290.17|chr2	474	504	391	484	363	388
